step,a_h,a_b,a_tf,a_tw,a_grade,a_sectype,action_l2,h,b,tf,tw,fy,section_type,util,section_class,reward,in_band,consec,span_m,load_kNm,scenario_section_type
0,1.0,1.0,1.0,1.0,1.0,-1.0,2.4494898319244385,595.9460533403297,209.96978987058466,22.996763200419785,14.497302667016488,690.0,rolled,2.3514484152547586,1,-732.718505859375,False,0,13.0,140.0,welded
1,1.0,1.0,1.0,1.0,1.0,0.27516046,2.252934455871582,645.7305993007446,237.84913560841701,25.98383595804468,16.986529965037235,690.0,welded,1.606522066837313,1,-137.10118103027344,False,0,13.0,140.0,welded
2,1.0,1.0,1.0,1.0,1.0,-0.77236813,2.3657033443450928,695.247072907704,265.57836082831426,28.95482437446224,19.4623536453852,690.0,rolled,1.0983531022564812,1,19.290346145629883,False,0,13.0,140.0,welded
3,0.56279176,1.0,1.0,-0.29087067,-0.017816994,-0.12483764,1.554748296737671,722.9046230069271,293.0987146880068,31.903433716572152,18.747633674885904,500.0,rolled,0.8716373563239151,1,27.54962158203125,False,0,13.0,140.0,welded
4,-0.15572077,-0.3976475,0.92507356,-0.3791417,-1.0,1.0,1.7837830781936646,715.3260215171634,282.261221536072,34.60471646694826,17.82503234125999,355.0,welded,1.1811792663872076,1,8.292963027954102,False,0,13.0,140.0,welded
5,-0.029860415,0.334083,0.020810612,-0.19543914,-0.4096339,-0.04777181,0.5667580366134644,713.8899560774548,291.2586988462771,34.664766669655904,17.355073364426012,460.0,rolled,0.8597895961269235,1,19.116069793701172,False,0,13.0,140.0,welded
6,0.287971,-0.7174648,0.50931954,-0.23097603,-1.0,0.93967265,1.6713539361953735,727.5458864182664,272.20579462614864,35.0,16.807415297904697,355.0,welded,1.208902069258587,1,4.290866374969482,False,0,13.0,140.0,welded
7,-0.3588465,0.5489461,-0.023135297,-0.059171066,-0.7371452,-0.28147808,1.0279892683029175,710.802900350394,286.54885886300394,34.9352334799838,16.669375711206573,355.0,rolled,1.0701155652001038,1,22.540369033813477,False,0,13.0,140.0,welded
8,0.3517422,-0.62129116,0.45441878,-0.009713754,-0.75786203,0.1300599,1.1434974670410156,726.915192502829,270.6115113925382,35.0,16.647127763895273,355.0,welded,1.2206139660739206,1,1.8531241416931152,False,0,13.0,140.0,welded
9,-0.5405672,0.6830362,-0.22196221,-0.40967816,-0.6994384,-0.425724,1.2830860614776611,702.6575803494886,287.77596939185486,34.40237514798161,15.727925295170651,355.0,rolled,1.1045295119992697,1,17.576148986816406,False,0,13.0,140.0,welded
10,0.58503085,-0.9031594,0.448022,0.12401922,-0.46010152,0.21828978,1.278047800064087,728.3201584682048,265.59022789280783,35.0,15.99993255750445,460.0,welded,1.0245035856047924,1,51.211185455322266,True,1,13.0,140.0,welded
11,-0.29946727,0.92455286,0.34105635,-0.46471584,-1.0,-0.034708686,1.509292483329773,715.5070799023617,287.7427873434049,35.0,15.00576029225168,355.0,rolled,1.0746079482381052,1,22.398237228393555,False,0,13.0,140.0,welded
12,0.6893695,-0.5148317,0.57377887,0.64368147,-0.8257431,0.55102634,1.5714043378829956,744.2149939874423,275.73666161565626,35.0,16.34602501238412,355.0,welded,1.1644620932169742,1,10.824294090270996,False,0,13.0,140.0,welded
13,-0.07641218,0.5392573,-0.06267356,-0.021097884,-0.38955206,-0.17455582,0.6951481103897095,741.1245161890768,287.95035757632314,34.847910700066606,16.303359992691153,460.0,rolled,0.8174430949022434,1,-3.113478899002075,False,0,13.0,140.0,welded
14,-0.09508849,-0.96395314,0.5830218,-0.22805338,-1.0,0.7927871,1.7200818061828613,737.397336387337,266.7912989283394,35.0,15.856410033092434,355.0,welded,1.2305112947824253,1,0.31048309803009033,False,0,13.0,140.0,welded
15,-0.42391807,0.60796106,0.048383124,0.4231035,-0.65767455,-0.25006878,1.1071363687515259,721.3275358640908,279.6973187641464,35.0,16.658356165063157,460.0,rolled,0.8684430874959775,1,25.411096572875977,False,0,13.0,140.0,welded
16,0.17771834,-0.6221465,0.75837326,-0.17490487,-1.0,0.61954683,1.551840901374817,727.8294133463633,266.9509283571274,35.0,16.33840885986763,355.0,welded,1.2425408349438025,1,-2.4642953872680664,False,0,13.0,140.0,welded
