h_mm,b_mm,tf_mm,tw_mm,family,label,area_proxy,catalog_index
275.0,126.0,11.0,7.0,UB,UB275x126x11,4697.0,0
300.0,120.0,11.0,7.0,UB,UB300x120x11,4740.0,1
300.0,138.0,11.0,7.0,UB,UB300x138x11,5136.0,2
325.0,130.0,12.0,7.0,UB,UB325x130x12,5395.0,3
325.0,150.0,12.0,7.0,UB,UB325x150x12,5875.0,4
350.0,120.0,13.0,8.0,UB,UB350x120x13,5920.0,5
350.0,140.0,13.0,8.0,UB,UB350x140x13,6440.0,6
375.0,128.0,14.0,9.0,UB,UB375x128x14,6959.0,7
350.0,160.0,13.0,8.0,UB,UB350x160x13,6960.0,8
400.0,136.0,14.0,9.0,UB,UB400x136x14,7408.0,9
375.0,150.0,14.0,9.0,UB,UB375x150x14,7575.0,10
400.0,160.0,14.0,9.0,UB,UB400x160x14,8080.0,11
425.0,144.0,15.0,9.0,UB,UB425x144x15,8145.0,12
375.0,172.0,14.0,9.0,UB,UB375x172x14,8191.0,13
400.0,184.0,14.0,9.0,UB,UB400x184x14,8752.0,14
250.0,212.0,15.0,10.0,UC,UC250x212x15,8860.0,15
425.0,170.0,15.0,9.0,UB,UB425x170x15,8925.0,16
450.0,152.0,16.0,10.0,UB,UB450x152x16,9364.0,17
250.0,238.0,15.0,10.0,UC,UC250x238x15,9640.0,18
425.0,196.0,15.0,9.0,UB,UB425x196x15,9705.0,19
475.0,162.0,16.0,10.0,UB,UB475x162x16,9934.0,20
250.0,256.0,15.0,10.0,UC,UC250x256x15,10180.0,21
275.0,234.0,16.0,10.0,UC,UC275x234x16,10238.0,22
450.0,180.0,16.0,10.0,UB,UB450x180x16,10260.0,23
475.0,190.0,16.0,10.0,UB,UB475x190x16,10830.0,24
275.0,262.0,16.0,10.0,UC,UC275x262x16,11134.0,25
450.0,208.0,16.0,10.0,UB,UB450x208x16,11156.0,26
500.0,170.0,17.0,11.0,UB,UB500x170x17,11280.0,27
275.0,280.0,16.0,10.0,UC,UC275x280x16,11710.0,28
475.0,218.0,16.0,10.0,UB,UB475x218x16,11726.0,29
525.0,178.0,18.0,11.0,UB,UB525x178x18,12183.0,30
500.0,200.0,17.0,11.0,UB,UB500x200x17,12300.0,31
300.0,256.0,18.0,12.0,UC,UC300x256x18,12816.0,32
550.0,188.0,18.0,11.0,UB,UB550x188x18,12818.0,33
500.0,230.0,17.0,11.0,UB,UB500x230x17,13320.0,34
525.0,210.0,18.0,11.0,UB,UB525x210x18,13335.0,35
300.0,284.0,18.0,12.0,UC,UC300x284x18,13824.0,36
550.0,220.0,18.0,11.0,UB,UB550x220x18,13970.0,37
575.0,196.0,19.0,12.0,UB,UB575x196x19,14348.0,38
325.0,276.0,19.0,12.0,UC,UC325x276x19,14388.0,39
525.0,242.0,18.0,11.0,UB,UB525x242x18,14487.0,40
550.0,252.0,18.0,11.0,UB,UB550x252x18,15122.0,41
600.0,204.0,20.0,12.0,UB,UB600x204x20,15360.0,42
575.0,230.0,19.0,12.0,UB,UB575x230x19,15640.0,43
625.0,212.0,20.0,12.0,UB,UB625x212x20,15980.0,44
350.0,298.0,20.0,13.0,UC,UC350x298x20,16470.0,45
600.0,240.0,20.0,12.0,UB,UB600x240x20,16800.0,46
575.0,264.0,19.0,12.0,UB,UB575x264x19,16932.0,47
625.0,250.0,20.0,12.0,UB,UB625x250x20,17500.0,48
650.0,222.0,21.0,13.0,UB,UB650x222x21,17774.0,49
600.0,276.0,20.0,12.0,UB,UB600x276x20,18240.0,50
625.0,288.0,20.0,12.0,UB,UB625x288x20,19020.0,51
650.0,260.0,21.0,13.0,UB,UB650x260x21,19370.0,52
675.0,230.0,22.0,14.0,UB,UB675x230x22,19570.0,53
700.0,238.0,23.0,14.0,UB,UB700x238x23,20748.0,54
650.0,300.0,21.0,13.0,UB,UB650x300x21,21050.0,55
675.0,270.0,22.0,14.0,UB,UB675x270x22,21330.0,56
725.0,246.0,23.0,14.0,UB,UB725x246x23,21466.0,57
700.0,280.0,23.0,14.0,UB,UB700x280x23,22680.0,58
725.0,290.0,23.0,14.0,UB,UB725x290x23,23490.0,59
750.0,256.0,24.0,15.0,UB,UB750x256x24,23538.0,60
750.0,300.0,24.0,15.0,UB,UB750x300x24,25650.0,61
