k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,6.0,20.0,1,241.32394330328117,241.32366342917828,-1.1597444458111283e-06,1.0009976403727738,2.0,250.0,125.52192219420556,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.0,30.909090909090907,1,293.1784667866335,302.76131134560467,0.032686045001883546,1.000994138845356,3.0,305.40196360409976,159.0422506381225,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.0,41.81818181818181,1,342.2463887683556,342.80830734998705,0.0016418539393612264,1.000993855931442,2.0,395.20779527919916,146.58974515056408,8.80615868820266,6.0,355.0,rolled,1,24
1,1.0,142,6.0,52.72727272727273,1,381.4244664406149,383.47763795541226,0.005382904599584792,1.0009931261624185,2.0,397.19117116363736,163.5901260457441,9.642993260593228,6.0,355.0,rolled,1,24
1,1.0,142,6.0,63.63636363636363,1,420.0142340236296,418.46033153050695,-0.003699642457915542,1.0009961215176502,3.0,532.4452845443764,176.15103779450152,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.0,74.54545454545453,1,446.8639375548273,448.27819767203624,0.0031648562310655493,1.0009988479978058,3.0,583.4219074615613,181.57748474384556,8.082430724742336,6.0,355.0,rolled,1,24
1,1.0,142,6.0,85.45454545454545,1,477.37692626914094,483.8035321536901,0.013462330353448904,1.00099077512732,3.0,578.5821909766659,188.98161185125784,9.20736580243334,6.0,355.0,rolled,1,24
1,1.0,142,6.0,96.36363636363636,1,512.46686792508,507.37266353097186,-0.009940553649319783,1.0009926572534646,3.0,596.4861605678625,207.5732990932563,8.918354570956776,6.0,355.0,rolled,1,24
1,1.0,142,6.0,107.27272727272728,1,535.2426456429821,537.6164470228412,0.004435000460412564,1.0009989998205697,3.0,599.702226731153,220.13559136372646,9.348654427697623,6.0,355.0,rolled,1,24
1,1.0,142,6.0,118.18181818181816,1,564.7428560600844,568.1388654426664,0.00601337289377013,1.0009949008354564,3.0,609.2319885718684,226.5818911334819,9.924142030363763,6.0,355.0,rolled,1,24
1,1.0,142,6.0,129.0909090909091,1,594.324631241322,601.3216083278015,0.011772988563279796,1.0009922451007538,3.0,608.6941665193368,234.21100447457147,10.627462198982144,6.0,355.0,rolled,1,24
1,1.0,142,6.0,140.0,1,627.5758504760335,624.934825919291,-0.004208295387305161,1.000994096194541,3.0,642.9686475086088,239.12902609323814,10.473698523126053,6.1533849960816065,355.0,rolled,1,24
1,1.0,142,6.818181818181818,20.0,1,318.7579376671374,326.4309496218758,0.02407159492527189,1.0009974418818408,3.0,287.7481200330399,151.9623454722587,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,30.909090909090907,1,391.217405378461,402.54993411540454,0.02896734291763048,1.0009941351206175,3.0,410.5628250985192,165.1051578293737,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,41.81818181818181,1,453.9046681994346,455.8974524236747,0.004390314451149235,1.0009977737919076,3.0,497.26810113268624,174.07945956610442,8.0,6.0,355.0,rolled,1,24
1,1.0,142,6.818181818181818,52.72727272727273,1,500.8636251128394,503.1879957808998,0.0046407256417089204,1.0009984301265518,3.0,542.4802979469401,187.0164699800167,8.304354160200235,6.0,355.0,rolled,1,24
