span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing
6.0,20.0,355,rolled,250.00001211989087,125.53386133233423,8.0,6.000006379775697,1.0008550487711512,168.76733122115132,241.33728364624636,433.22573924469543,GA_co2
6.0,20.0,355,welded,265.79868832828356,138.0158657690052,8.18750133236517,6.000000044992405,0.9998912311182758,176.9336130919573,300.7871422563275,511.1612082226646,GA_co2
6.0,20.0,460,rolled,259.5972733294586,120.77143555279923,8.01278441007385,6.000008273687044,1.000999999727901,167.9918692716999,269.2069705078991,394.9488846577665,GA_co2
6.0,20.0,460,welded,250.07060860641442,138.31077250132654,8.000033919840758,6.0,1.000999950810211,170.37977491503582,325.9365094124636,450.65450465026976,GA_co2
6.0,20.0,500,rolled,250.0003879315594,120.0,8.194771528653462,6.000000000776154,0.9952543275961959,166.58472823639767,349.42812594866774,416.22860197146315,GA_co2
6.0,20.0,500,welded,252.23397664546786,133.85836354652673,8.002746932328877,6.000031950991983,1.000892073122435,167.6688248282148,351.7021269596634,418.93732571577755,GA_co2
6.0,20.0,550,rolled,250.00298482382703,122.72664711300723,8.0051306133474,6.000001293676643,1.0009999999705068,166.60609713586058,405.92481947111986,408.2680412690658,GA_co2
6.0,20.0,550,welded,250.0,131.0181614102756,8.000001152580086,6.0,1.000999562210991,164.86370001238606,401.6747276330808,403.995084923823,GA_co2
6.0,20.0,620,rolled,250.0,120.0,8.0,6.0,0.9973738693832656,164.38842,455.3719677097921,379.470735474075,GA_co2
6.0,20.0,620,welded,250.00011755713334,127.34576299791478,8.000013489255133,6.000000051602495,1.0009999756523213,162.0963549781911,449.0227391230936,374.17978941767706,GA_co2
6.0,20.0,690,rolled,250.0,120.0,8.0,6.0,0.9614782660824716,164.38842,536.5370486646451,361.002592403964,GA_co2
6.0,20.0,690,welded,250.00001173282556,125.00081043667511,8.000000086936986,6.000000242059116,0.9958598671903235,160.3290177031582,523.2878207016804,352.08800632715145,GA_co2
6.0,30.909090909090907,355,rolled,356.0535408867573,137.11237864868048,8.007972461584329,6.000000041086459,1.0009317445368675,209.5017603312307,299.5875172736599,537.791018770269,GA_co2
6.0,30.909090909090907,355,welded,323.28740073338054,171.27212173707517,8.00191141605489,6.004998920120112,1.00098864114102,216.01219817847354,367.220736903405,624.05924053761,GA_co2
6.0,30.909090909090907,460,rolled,271.72003830065074,136.4165244266995,9.0294406281516,6.001850697503133,1.0009999974851482,197.1259588342173,315.8943490318332,463.4431292192449,GA_co2
6.0,30.909090909090907,460,welded,297.3808657573104,161.22143633858175,8.0,6.000419684141751,1.0009999727276815,201.0202691779759,384.5517749374679,531.6986119757464,GA_co2
6.0,30.909090909090907,500,rolled,277.7003407827395,143.34749938090346,8.000001968387792,6.000302121680052,1.000964519904821,191.08628834787135,400.82259843849494,477.44820006599133,GA_co2
6.0,30.909090909090907,500,welded,300.19783704579004,154.91664390537622,8.000265689171464,6.0,1.0007419143841314,197.06321867007495,413.35980748234925,492.38215816904926,GA_co2
6.0,30.909090909090907,550,rolled,279.9293887867991,140.22743953566328,8.000001574997484,6.0000428690433205,1.0009704553065777,189.27551635450504,461.1518437849393,463.81576678934675,GA_co2
6.0,30.909090909090907,550,welded,297.3624996683766,150.83739654869262,8.000001190342676,6.0,1.000999573475913,193.1841206860358,470.674739561673,473.39368970365126,GA_co2
6.0,30.909090909090907,620,rolled,279.9625708256813,140.1764602527727,8.000009743932445,6.000145291791087,1.0009961523433888,189.24646910345754,524.231393444363,436.85263651385435,GA_co2
6.0,30.909090909090907,620,welded,278.8819918019256,146.6495417533627,8.51196391680787,6.000009070244307,1.0009999952662252,191.58876300217815,531.4001482407507,442.6229076032757,GA_co2
6.0,30.909090909090907,690,rolled,281.97051306286295,137.67268621184257,8.000000066820792,6.000026443902209,1.0009992323581893,187.85942218887126,613.1426239211775,412.5457346712827,GA_co2
6.0,30.909090909090907,690,welded,278.2017628988277,142.25211090281786,8.590997834352832,6.000368005427646,1.000999811707586,188.88936021435455,617.4914004811046,415.2280892801162,GA_co2
6.0,41.81818181818181,355,rolled,316.23277057590224,158.37065372791486,9.643890812728712,6.003031314494455,1.0007503881370863,239.22316480131084,342.0891256658745,614.085864044965,GA_co2
6.0,41.81818181818181,355,welded,370.00597722237285,188.85292281007517,8.172810751511287,6.000000621415728,0.9999235585753649,245.338283328732,417.0750816588444,708.7823005367065,GA_co2
6.0,41.81818181818181,460,rolled,337.24151942646233,143.52947811976213,9.489672154511503,6.0000781718661065,1.0009999976299804,229.159302823204,367.22778277418445,538.7535209373525,GA_co2
6.0,41.81818181818181,460,welded,336.0502020763098,172.12621955202601,8.63517443712994,6.0000000314789,1.0009999994255754,230.10040849108157,440.182081443439,608.6155804589108,GA_co2
6.0,41.81818181818181,500,rolled,316.8388245869219,158.6988127817467,8.000008889850632,6.000671956147453,1.000999924872653,214.85323261720634,450.676140737852,536.8322870173519,GA_co2
6.0,41.81818181818181,500,welded,331.1787748037299,169.03567729897802,8.568818170693346,6.0,0.9953048582144439,225.1906953407695,472.3600025467981,562.6614713784467,GA_co2
6.0,41.81818181818181,550,rolled,307.27092020042215,155.37105638604456,8.083539864851964,6.003400333360504,1.0009999348743535,210.65402497397977,513.3436291587474,516.2729210949102,GA_co2
6.0,41.81818181818181,550,welded,322.52610559389456,164.34038503458663,8.651639442088808,6.000000177820471,1.0009961009322672,220.19082930270025,537.2976699600605,540.1183053414414,GA_co2
6.0,41.81818181818181,620,rolled,336.4235039762877,148.1828432595197,8.208576400404088,6.000011251799756,1.0009779588559324,215.26683815956738,596.6216998125202,497.08378477717446,GA_co2
6.0,41.81818181818181,620,welded,298.33334812738815,158.9302699405249,9.377490998167781,6.000001217184861,1.0009999158322662,219.401450247981,609.8603803112783,507.58157350252753,GA_co2
6.0,41.81818181818181,690,rolled,335.5943884180866,144.0383269441507,8.348568482636093,6.000002092461429,0.9939939732935906,213.5670580037797,697.7060761347751,469.2808643213885,GA_co2
6.0,41.81818181818181,690,welded,300.09399100909314,154.0464398251273,9.29704088022487,6.000653657102638,1.0009955317412356,214.47152473100505,702.4600349840782,472.0347559815905,GA_co2
6.0,52.72727272727273,355,rolled,334.5675458099386,171.38835330145653,10.555981232459853,6.000047459356151,1.0009999105132978,271.9576373069806,388.89942134898223,698.115254967019,GA_co2
6.0,52.72727272727273,355,welded,394.5261886981269,204.67471407736687,8.738961246749525,6.0028903517531065,1.0009876287503057,275.09547167214663,467.66230184264924,794.7508176608317,GA_co2
6.0,52.72727272727273,460,rolled,306.0176957168216,153.06161154496652,11.275877412415026,6.032464949569269,1.0009998249010643,255.27713004638548,409.0816008993327,600.1565327390523,GA_co2
6.0,52.72727272727273,460,welded,366.4020722669818,184.5777476673467,8.96846621436756,6.000128365377021,1.000995998790703,254.4150848251197,486.69605727045393,672.9278993624416,GA_co2
6.0,52.72727272727273,500,rolled,331.9369779632634,170.62545670818218,8.78891486654719,6.0000146068094775,1.000990125547743,241.606700700169,506.79421538867444,603.6785023694423,GA_co2
6.0,52.72727272727273,500,welded,348.56406843529277,180.92803477951819,9.259915695744713,6.02499722395152,1.0001857973351773,251.47972580478324,527.5038728481134,628.3472428958314,GA_co2
6.0,52.72727272727273,550,rolled,319.41114611483766,159.97384524239047,9.493394462078449,6.000001212472469,1.0004926705418196,239.35904182364789,585.2274749979921,587.9026988631471,GA_co2
6.0,52.72727272727273,550,welded,342.3173667701362,174.85792886889388,9.338760408093327,6.000833379629257,1.000994310008183,245.29780779411158,599.5310565463457,602.3458616988374,GA_co2
6.0,52.72727272727273,620,rolled,363.7131692837966,155.93614928398657,8.727593234903347,6.0,1.0009989720009569,237.3564268602663,658.6987226491943,548.5484894142958,GA_co2
6.0,52.72727272727273,620,welded,321.6301588492133,171.55125061897678,9.603878852503549,6.000566274003818,1.0009999898309005,240.6725463360722,669.3656776627399,556.9943035492297,GA_co2
6.0,52.72727272727273,690,rolled,326.9928816675613,154.54172172713882,9.496124117037018,6.000049798668136,1.0009997918827347,236.54889694456236,775.1851638551257,520.8020761976021,GA_co2
6.0,52.72727272727273,690,welded,314.47391417510346,161.8401543895189,10.290413824529962,6.0,1.00078951195197,239.93506992151174,787.966153085516,528.9748422054952,GA_co2
6.0,63.63636363636363,355,rolled,361.2947779403645,180.89255532158592,11.04115686779769,6.000754915610845,1.0009965962485483,298.21646997642534,426.4495520662883,765.5216784294836,GA_co2
6.0,63.63636363636363,355,welded,576.7941959730945,188.65648972221416,8.074420851832796,6.000615059218141,1.0009861034199643,301.9487150708049,513.3128156203684,872.3298378395554,GA_co2
6.0,63.63636363636363,460,rolled,323.54646577360006,166.6469663030344,11.296640804208224,6.1091134997991325,0.9964791573962617,277.12895579870025,444.0991516674172,651.5301750827442,GA_co2
6.0,63.63636363636363,460,welded,381.0648347784071,193.89304214710398,9.802178293032346,6.000046149859457,1.0009631247767292,281.1836035395432,537.904233571146,743.7306313620918,GA_co2
6.0,63.63636363636363,500,rolled,485.71455077550826,160.90940161258044,8.014346113350273,6.001804939074293,1.0009999135605805,266.96452807574656,559.984794091686,667.0375698500602,GA_co2
6.0,63.63636363636363,500,welded,355.32695100743905,194.263647247737,9.994075397664767,6.003054569454445,1.0001747739910858,277.70292785107256,582.5096614604099,693.8685355286899,GA_co2
6.0,63.63636363636363,550,rolled,342.06742373908696,173.96391731959196,9.392195005109894,6.000232039072297,1.0009999984315212,257.54083365368274,629.532277733211,632.4611697654423,GA_co2
6.0,63.63636363636363,550,welded,364.5833450791155,182.97793336071655,9.880142230203704,6.006167925415295,0.9996164932245822,267.84645345337356,655.4826746015381,658.2720821479546,GA_co2
6.0,63.63636363636363,620,rolled,379.54550485745386,164.7796608175373,9.207862432276954,6.005714856378452,0.999574718988818,257.33312732070357,715.0046965759625,595.1795658939353,GA_co2
6.0,63.63636363636363,620,welded,333.7299252270523,180.59844685136036,10.33120462175426,6.00165178739022,1.000999921321065,264.2555501431264,736.2909824471437,612.2863041042026,GA_co2
6.0,63.63636363636363,690,rolled,356.0512477831821,162.40112762980968,9.573075691781737,6.000167413280086,1.000999675557496,253.7458680247269,831.7135301920906,558.7377268761317,GA_co2
6.0,63.63636363636363,690,welded,332.0323338944718,172.50193508110496,10.505061644162618,6.001238284959081,1.0009819830057454,258.6169306328016,849.8123553002079,570.3721848749922,GA_co2
6.0,74.54545454545453,355,rolled,471.9304356835466,170.055077318812,10.136183128913604,7.383468414769545,1.0009999936662757,335.4147841283301,479.64314130351204,861.0097508574233,GA_co2
6.0,74.54545454545453,355,welded,577.3764270111778,201.89499589339877,8.777865705239716,6.00337044037883,0.9981079635633703,325.23611336826804,552.9013927260557,939.6071315209263,GA_co2
6.0,74.54545454545453,460,rolled,329.29258804004314,166.42811462354888,13.095532613906553,6.5483159286657555,1.0009999858802758,313.7293716801284,502.7513181174058,737.5777528199819,GA_co2
6.0,74.54545454545453,460,welded,545.0509609072094,184.17232085039248,9.01268667128514,6.000000010489502,1.0009999498394406,305.2988263971269,584.0366548977037,807.5153958204006,GA_co2
6.0,74.54545454545453,500,rolled,478.21629679134696,168.42227807097947,9.111503452453476,6.002463422693715,1.000875041182007,288.33517366054286,604.8118602703548,720.4342649082322,GA_co2
6.0,74.54545454545453,500,welded,371.3121839758387,204.29665370300697,10.448328988095664,6.0009632002357405,1.0009998081350397,300.1187495955245,629.5290891515722,749.8767077393775,GA_co2
6.0,74.54545454545453,550,rolled,445.1046974730169,171.80320642614342,9.013498680504842,6.0044673593346785,1.0009315395603524,279.9880017717698,683.8002441264276,687.1878577931628,GA_co2
6.0,74.54545454545453,550,welded,377.4324466380911,191.29739090247057,10.49277690886174,6.0000014425525485,1.000999575248417,289.8140038215136,710.251329362646,712.9284609763555,GA_co2
6.0,74.54545454545453,620,rolled,426.8430434394985,166.20912212122184,9.323261709068657,6.007783059119825,1.0006209150280738,274.5533110438544,763.0750559591186,635.1272227397717,GA_co2
6.0,74.54545454545453,620,welded,365.596495618675,185.5767444124734,10.4934590206615,6.00358716053642,1.0009995609022155,280.8845031090357,782.9439538653828,650.9868752832017,GA_co2
6.0,74.54545454545453,690,rolled,401.2881106906866,164.3658515100626,9.651120854129877,6.000471448712537,0.9996301655758739,270.25795979477886,886.0230576997785,595.1763866510128,GA_co2
6.0,74.54545454545453,690,welded,355.9283098278113,179.60021293642444,10.67617483407291,6.000910169199884,1.0008314718820224,275.1886656357232,904.6822790331838,607.0976306881107,GA_co2
6.0,85.45454545454545,355,rolled,468.9049261422119,174.34359917347152,11.754270898201085,7.437900841470985,1.0009999994217362,366.5296955290686,524.1374646065681,940.8817284231191,GA_co2
6.0,85.45454545454545,355,welded,616.5232703092339,206.24841995551628,9.070251217510199,6.0001964421458345,1.0009979296735203,345.3308000172583,587.0623600293391,997.6606812498592,GA_co2
6.0,85.45454545454545,460,rolled,351.43637452197504,181.8200762200428,12.471164812530093,6.237061188431232,1.0009999977837452,324.98757857369543,520.7925946643469,764.0457972267579,GA_co2
6.0,85.45454545454545,460,welded,423.68146843972363,212.30222980423028,10.466251737891373,6.0,0.9975259472488852,323.13006588993244,618.1478160474406,854.6790242788713,GA_co2
6.0,85.45454545454545,500,rolled,526.8896418878853,173.93186964924686,8.823839450261477,6.0105970924267815,1.000999869677612,303.1760659942785,635.9421160295984,757.5157184933041,GA_co2
6.0,85.45454545454545,500,welded,395.68400017524147,207.36707050069936,11.011303018235553,6.004427810126698,0.999815886309857,320.7691883767552,672.8454495390818,801.4738940781607,GA_co2
6.0,85.45454545454545,550,rolled,460.55538784757334,179.21566720718482,9.369674562350898,6.029493213154025,1.000999845045453,297.8334282566699,728.0349365285115,731.4181619091404,GA_co2
6.0,85.45454545454545,550,welded,377.9348308616672,204.48567593917844,10.992991976356118,6.001110475724503,1.0009917209678272,312.3628264713634,766.4109621177305,768.9925295530244,GA_co2
6.0,85.45454545454545,620,rolled,454.82112596200307,168.54504670720482,9.779971251430057,6.000124717682386,1.0009518612074677,292.1975881322851,813.0247752442348,676.4301461025352,GA_co2
6.0,85.45454545454545,620,welded,371.3406783050872,191.70619419097468,11.358653461750995,6.0026719068319885,1.000999928208469,303.68762000841974,848.3270168011302,704.8087243602383,GA_co2
6.0,85.45454545454545,690,rolled,411.8458846288675,171.44829665425837,10.01554635535392,6.000443213597352,1.000996294109078,286.11493599802145,938.9306023662275,630.4900274191309,GA_co2
6.0,85.45454545454545,690,welded,366.45685510610434,185.4515591862203,11.315478048731803,6.000518571833971,1.000992833615292,294.84975795019693,970.9830862353222,651.1815644521242,GA_co2
6.0,96.36363636363636,355,rolled,457.4828705034226,197.69145639770483,11.943741476531187,7.0686204207870755,1.0009743088326843,385.11956175771275,550.7209733135293,988.6019150320485,GA_co2
6.0,96.36363636363636,355,welded,594.5146457872418,224.6733891698249,9.671834203316829,6.000000095588815,1.000921291215161,367.2402759263988,624.3084690748778,1060.9571571513663,GA_co2
6.0,96.36363636363636,460,rolled,409.4010938008722,172.23256272408523,13.637248314918647,7.084044669483684,1.000990972401866,366.19243247343417,586.8233730386781,860.9184087450436,GA_co2
6.0,96.36363636363636,460,welded,437.00944049836744,221.74120331355797,10.783203357680941,6.000000437383789,1.0009996651012374,342.64399188520304,655.4779564763932,906.293358536362,GA_co2
6.0,96.36363636363636,500,rolled,516.5024029778442,181.49547107901105,9.769477347586719,6.000001943488945,1.0009992536882162,322.8429047904771,677.1952770885048,806.6552819094861,GA_co2
6.0,96.36363636363636,500,welded,508.1657997169218,203.62373539803423,10.539115337411038,6.004018044623627,1.0008900328562609,339.89765017512104,712.9693110073339,849.2682687275574,GA_co2
6.0,96.36363636363636,550,rolled,394.28062819757264,197.84555908789534,10.393512609319899,6.000004590213667,1.0009999961508647,314.2164946648979,769.875824525498,772.8388921113223,GA_co2
6.0,96.36363636363636,550,welded,499.3711503463372,197.40191453492062,10.591092354142894,6.0027292302259,1.0009984122604911,332.1417910312883,814.1772936719568,817.1803033885323,GA_co2
6.0,96.36363636363636,620,rolled,462.5165987174915,178.9775665691551,9.92885737531223,6.0,0.9916140551528427,307.11746724633593,854.855568514877,711.1385947449473,GA_co2
6.0,96.36363636363636,620,welded,384.7311885819515,197.14188457132266,11.869711042701045,6.0,1.0009999933616247,322.44589385464144,901.8641409673924,748.9510261324178,GA_co2
6.0,96.36363636363636,690,rolled,440.7745537422924,174.1187152569786,10.223745930559005,6.000250801496329,1.0009988793586577,300.80305460377485,987.684954921153,663.0927246341331,GA_co2
6.0,96.36363636363636,690,welded,382.9593792602409,192.80156027759764,11.432466783981017,6.0,1.0009928009301525,309.3980886140875,1019.2113491234379,683.44752757393,GA_co2
6.0,107.27272727272727,355,rolled,489.706571190181,196.54322887527923,12.177867979002,7.586910135259669,1.0009971036280556,411.3434439291937,588.2211248187471,1055.9186205662402,GA_co2
6.0,107.27272727272727,355,welded,610.8345011377863,233.03203760538426,10.014880766698763,6.0000124422970655,1.0009999029055516,386.8046019723303,657.5678233529617,1117.4784950980625,GA_co2
