span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing
6.0,20.0,355,rolled,250.0,125.51644601464545,8.000606489124452,6.000065830087664,1.0009952447864003,168.7614047485914,241.3288087904857,433.21052598963405,GA_cost
6.0,20.0,355,welded,265.79868832828356,138.0158657690052,8.18750133236517,6.000000044992405,0.9998912311182758,176.9336130919573,300.7871422563275,511.1612082226646,GA_cost
6.0,20.0,460,rolled,261.5390020944136,120.38194862469138,8.000002970293703,6.000000440398256,1.0009997835356337,168.11465535150776,269.4037352007912,395.23755473139477,GA_cost
6.0,20.0,460,welded,250.07060860641442,138.31077250132654,8.000033919840758,6.0,1.000999950810211,170.37977491503582,325.9365094124636,450.65450465026976,GA_cost
6.0,20.0,500,rolled,250.0003879315594,120.0,8.194771528653462,6.000000000776154,0.9952543275961959,166.58472823639767,349.42812594866774,416.22860197146315,GA_cost
6.0,20.0,500,welded,252.23397664546786,133.85836354652673,8.002746932328877,6.000031950991983,1.000892073122435,167.6688248282148,351.7021269596634,418.93732571577755,GA_cost
6.0,20.0,550,rolled,250.00301079915326,122.76694609686977,8.00003992322673,6.0000018422157595,1.0009999994340313,166.5792249112764,405.8544797491149,408.1989688923485,GA_cost
6.0,20.0,550,welded,250.00307619051742,130.9558047961575,8.006663801845196,6.003362629999932,1.0009999996750603,164.9330616165542,401.8532122545476,404.17133731669105,GA_cost
6.0,20.0,620,rolled,250.0,120.0,8.0,6.0,0.9973738693832656,164.38842,455.3719677097921,379.470735474075,GA_cost
6.0,20.0,620,welded,250.00000350340406,127.34513264616866,8.000096764375233,6.000000009894572,1.0009999995713776,162.09679914692296,449.02406312586214,374.18086472317106,GA_cost
6.0,20.0,690,rolled,250.0,120.0,8.0,6.0,0.9614782660824716,164.38842,536.5370486646451,361.002592403964,GA_cost
6.0,20.0,690,welded,250.00001406986812,125.00000937982372,8.00000100138953,6.000000597071463,0.9958725665148546,160.32842885072085,523.2859005820451,352.08671395341605,GA_cost
6.0,30.909090909090907,355,rolled,289.0765195766261,145.73095091636114,8.602420319018824,6.000001538473012,1.000956922021195,204.66992691047034,292.67799548197263,525.3877023791772,GA_cost
6.0,30.909090909090907,355,welded,323.28740073338054,171.27212173707517,8.00191141605489,6.004998920120112,1.00098864114102,216.01219817847354,367.220736903405,624.05924053761,GA_cost
6.0,30.909090909090907,460,rolled,269.06847149955746,136.53314847075393,9.291093785852581,6.000057955142305,1.0009999923317756,199.79903060534818,320.1779465450705,469.7275209531736,GA_cost
6.0,30.909090909090907,460,welded,297.3808657573104,161.22143633858175,8.0,6.000419684141751,1.0009999727276815,201.0202691779759,384.5517749374679,531.6986119757464,GA_cost
6.0,30.909090909090907,500,rolled,277.7003407827395,143.34749938090346,8.000001968387792,6.000302121680052,1.000964519904821,191.08628834787135,400.82259843849494,477.44820006599133,GA_cost
6.0,30.909090909090907,500,welded,300.19783704579004,154.91664390537622,8.000265689171464,6.0,1.0007419143841314,197.06321867007495,413.35980748234925,492.38215816904926,GA_cost
6.0,30.909090909090907,550,rolled,279.96612586917144,140.17162610899933,8.000000019992896,6.000031476367461,1.000999999048198,189.2420840085123,461.0703749795448,463.7338322010826,GA_cost
6.0,30.909090909090907,550,welded,295.00124723219204,151.6040132539426,8.000015802029697,6.001572854740202,1.0009997336486187,193.1154224119279,470.50912253563604,473.22651093351374,GA_cost
6.0,30.909090909090907,620,rolled,285.38694400757225,140.11630951398163,8.000001512066904,6.000732270430563,1.0009991603457666,190.81619704146271,528.580460963699,440.47657325899115,GA_cost
6.0,30.909090909090907,620,welded,286.0275895382122,147.2652475920989,8.201449062162473,6.0,1.0004134515799907,189.96960759372953,526.4998810806796,438.66361661681975,GA_cost
6.0,30.909090909090907,690,rolled,287.18415387808875,136.33823885677353,8.006655957480366,6.000334100288363,1.0009351267687951,188.44048313410192,615.0507102558021,413.8267053173085,GA_cost
6.0,30.909090909090907,690,welded,274.8143829808032,143.69860737269664,8.528738421157318,6.011301397876134,1.0009981185864238,188.42779454438403,615.8970346583943,414.17703237552513,GA_cost
6.0,41.81818181818181,355,rolled,314.7764202970564,159.22543496315058,9.630591662932614,6.000006241301709,1.0009999980640363,239.3603978198787,342.2853688824266,614.4381412036286,GA_cost
6.0,41.81818181818181,355,welded,370.00597722237285,188.85292281007517,8.172810751511287,6.000000621415728,0.9999235585753649,245.338283328732,417.0750816588444,708.7823005367065,GA_cost
6.0,41.81818181818181,460,rolled,292.32749263625,146.16381844739243,10.03727397830721,6.000879452702269,1.0009473341632151,225.9069625523764,362.01590749018317,531.1072689606369,GA_cost
6.0,41.81818181818181,460,welded,336.0502020763098,172.12621955202601,8.63517443712994,6.0000000314789,1.0009999994255754,230.10040849108157,440.182081443439,608.6155804589108,GA_cost
6.0,41.81818181818181,500,rolled,316.8388245869219,158.6988127817467,8.000008889850632,6.000671956147453,1.000999924872653,214.85323261720634,450.676140737852,536.8322870173519,GA_cost
6.0,41.81818181818181,500,welded,331.1787748037299,169.03567729897802,8.568818170693346,6.0,0.9953048582144439,225.1906953407695,472.3600025467981,562.6614713784467,GA_cost
6.0,41.81818181818181,550,rolled,344.7920193761997,151.7654731520257,8.146571020409162,6.00009049435128,1.000997872234738,219.76612123891877,535.6242731944499,538.6548080081883,GA_cost
6.0,41.81818181818181,550,welded,314.2630423476399,165.560200823036,8.822846102874479,6.002451716455719,1.0008785470751105,221.4574019503194,540.6090533265262,543.3712897540574,GA_cost
6.0,41.81818181818181,620,rolled,348.8015949013771,146.33459471677426,8.065389825654696,6.000784628976547,1.0009985004937394,215.4644073955987,596.9563671819706,497.4262951026528,GA_cost
6.0,41.81818181818181,620,welded,296.8894146102889,162.19848364651025,9.076125498283035,6.000007900980507,1.0009801319255849,217.44622948551523,603.9708720066822,502.8153759238012,GA_cost
6.0,41.81818181818181,690,rolled,340.72306834257165,141.94135702518042,8.404921490212192,6.000000276744258,1.0009999994980205,214.11499549740202,699.6027836300005,470.5303036860797,GA_cost
6.0,41.81818181818181,690,welded,299.29963879354796,154.1834068100314,9.309015183146157,6.000988401811014,1.0009887624627427,214.5385418995099,702.7028768416941,472.1921987084688,GA_cost
6.0,52.72727272727273,355,rolled,386.4027713626922,165.72301975500974,9.839897264881605,6.000013852800235,1.0009999819837982,270.110248772681,386.25765574493386,693.3730085994721,GA_cost
6.0,52.72727272727273,355,welded,394.5261886981269,204.67471407736687,8.738961246749525,6.0028903517531065,1.0009876287503057,275.09547167214663,467.66230184264924,794.7508176608317,GA_cost
6.0,52.72727272727273,460,rolled,309.8316640540757,156.1328744005587,10.684047359603923,6.000001031641194,0.9984645767632224,250.59064927806887,401.57151546810536,589.1386164527399,GA_cost
6.0,52.72727272727273,460,welded,366.4020722669818,184.5777476673467,8.96846621436756,6.000128365377021,1.000995998790703,254.4150848251197,486.69605727045393,672.9278993624416,GA_cost
6.0,52.72727272727273,500,rolled,331.9369779632634,170.62545670818218,8.78891486654719,6.0000146068094775,1.000990125547743,241.606700700169,506.79421538867444,603.6785023694423,GA_cost
6.0,52.72727272727273,500,welded,348.56406843529277,180.92803477951819,9.259915695744713,6.02499722395152,1.0001857973351773,251.47972580478324,527.5038728481134,628.3472428958314,GA_cost
6.0,52.72727272727273,550,rolled,421.2651165282271,153.7566555970017,8.000000474302016,6.000003069355658,1.000994142190677,241.91895291716747,589.4125272113316,592.8173896588069,GA_cost
6.0,52.72727272727273,550,welded,334.0545439857803,174.56017512706856,9.675908721474265,6.002538873501495,1.0003321794260285,248.07909080145927,606.8113238559879,609.4949294150227,GA_cost
6.0,52.72727272727273,620,rolled,353.89943944722927,157.93538194190774,8.804842550060602,6.000264655951925,1.0009996654824482,237.33552763781762,658.7683687475778,548.5683614583461,GA_cost
6.0,52.72727272727273,620,welded,326.7234272214047,170.18515601534654,9.558282517758029,6.000515553641726,1.000999573097906,240.17021764440807,667.8925199774352,555.7911270897976,GA_cost
6.0,52.72727272727273,690,rolled,351.04861201553416,151.61251470175142,9.12334081755759,6.00104885048475,0.9975319594142451,235.5831421390011,771.24620764225,518.3460170468453,GA_cost
6.0,52.72727272727273,690,welded,316.7637497676393,164.99574606395362,9.823438483283603,6.035848024382226,1.0008589533835104,237.1486607349878,777.9117135657004,522.4467930405585,GA_cost
6.0,63.63636363636363,355,rolled,355.88682392166544,178.4800648522247,11.504853765894199,6.000000237990489,1.0009106310547333,301.8751434090728,431.68145507497405,774.9134931310899,GA_cost
6.0,63.63636363636363,355,welded,576.7941959730945,188.65648972221416,8.074420851832796,6.000615059218141,1.0009861034199643,301.9487150708049,513.3128156203684,872.3298378395554,GA_cost
6.0,63.63636363636363,460,rolled,326.0286357225562,165.5712965035571,11.267602033534526,6.000005193889335,1.000999975873702,274.5813369393263,440.01659244527036,645.5407231443562,GA_cost
6.0,63.63636363636363,460,welded,381.0648347784071,193.89304214710398,9.802178293032346,6.000046149859457,1.0009631247767292,281.1836035395432,537.904233571146,743.7306313620918,GA_cost
6.0,63.63636363636363,500,rolled,485.71455077550826,160.90940161258044,8.014346113350273,6.001804939074293,1.0009999135605805,266.96452807574656,559.984794091686,667.0375698500602,GA_cost
6.0,63.63636363636363,500,welded,355.32695100743905,194.263647247737,9.994075397664767,6.003054569454445,1.0001747739910858,277.70292785107256,582.5096614604099,693.8685355286899,GA_cost
6.0,63.63636363636363,550,rolled,347.6372744378091,174.55055102713496,9.136845686537768,6.000137881691262,1.0009493245511134,255.48006965683444,624.1203311516216,627.1524189693962,GA_cost
6.0,63.63636363636363,550,welded,357.9820435287698,182.0978796707469,10.190748214080458,6.0000032931031955,1.0009999846261157,270.21419205462274,661.7493088941007,664.4037487617932,GA_cost
