span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing
6.0,20.0,355,rolled,250.11605146522834,125.47865021305653,8.000000001533492,6.0,1.0009999999168862,168.7580023099868,241.32394330328114,433.2017919297361,GA_mass
6.0,20.0,355,welded,265.79868832828356,138.0158657690052,8.18750133236517,6.000000044992405,0.9998912311182758,176.9336130919573,300.7871422563275,511.1612082226646,GA_mass
6.0,20.0,460,rolled,256.80849351583,121.58252434154068,8.000164455500684,6.0004335427750535,1.0009999258808997,167.66796737484748,268.68791771819303,394.18739129826645,GA_mass
6.0,20.0,460,welded,250.07060860641442,138.31077250132654,8.000033919840758,6.0,1.000999950810211,170.37977491503582,325.9365094124636,450.65450465026976,GA_mass
6.0,20.0,500,rolled,250.0003879315594,120.0,8.194771528653462,6.000000000776154,0.9952543275961959,166.58472823639767,291.8564438701687,370.05131530433374,GA_mass
6.0,20.0,500,welded,252.23397664546786,133.85836354652673,8.002746932328877,6.000031950991983,1.000892073122435,167.6688248282148,351.7021269596634,418.93732571577755,GA_mass
6.0,20.0,550,rolled,250.00013765933886,122.76733254501504,8.000081311298825,6.000021953719851,1.0009999998159418,166.57938890395053,318.66637097325736,352.04888050960903,GA_mass
6.0,20.0,550,welded,250.0,131.01389005724815,8.00049921042118,6.000106153278224,1.000998370615166,164.86751635578884,401.6845976146129,404.0048153255582,GA_mass
6.0,20.0,620,rolled,250.0,120.0,8.0,6.0,0.9973738693832656,164.38842,348.5034504,324.33835266,GA_mass
6.0,20.0,620,welded,250.01943789767577,127.32467871995742,8.00192609249717,6.000558389857996,1.0009999923977324,162.11393857766143,449.0742267544828,374.22186340316944,GA_mass
6.0,20.0,690,rolled,250.0,120.0,8.0,6.0,0.9614782660824716,164.38842,395.76512115,303.033613428,GA_mass
6.0,20.0,690,welded,250.00007603394397,125.00003931843982,8.00032464040781,6.000013328062404,0.9958321721921783,160.33223716636178,523.2988069665614,352.0952802110598,GA_mass
6.0,30.909090909090907,355,rolled,288.4877152662101,145.34119790131402,8.664552898692595,6.000001333388901,1.000996012726102,205.01990684379967,293.1784667866335,526.2861008680337,GA_mass
6.0,30.909090909090907,355,welded,323.28740073338054,171.27212173707517,8.00191141605489,6.004998920120112,1.00098864114102,216.01219817847354,367.220736903405,624.05924053761,GA_mass
6.0,30.909090909090907,460,rolled,287.041863603607,144.82095288485135,8.0,6.008536281194792,1.0009908639775527,195.13459930317552,312.70319538333877,458.7614429617656,GA_mass
6.0,30.909090909090907,460,welded,297.3808657573104,161.22143633858175,8.0,6.000419684141751,1.0009999727276815,201.0202691779759,384.5517749374679,531.6986119757464,GA_mass
6.0,30.909090909090907,500,rolled,277.7003407827395,143.34749938090346,8.000001968387792,6.000302121680052,1.000964519904821,191.08628834787135,334.7831771854706,424.4790809359614,GA_mass
6.0,30.909090909090907,500,welded,300.19783704579004,154.91664390537622,8.000265689171464,6.0,1.0007419143841314,197.06321867007495,413.35980748234925,492.38215816904926,GA_mass
6.0,30.909090909090907,550,rolled,279.8575556587542,140.3199887776697,8.000037604457829,6.000293496627239,1.0009999615700624,189.33118266656015,362.19055244112957,400.13252144750817,GA_mass
6.0,30.909090909090907,550,welded,298.13828226080744,150.5839903925517,8.000372628312341,6.0,1.0009995527935256,193.21744885425196,470.7563524493936,473.47563240606235,GA_mass
6.0,30.909090909090907,620,rolled,286.16683709854414,139.9121605228813,8.000000343056321,6.000000730692025,1.000887605587576,190.87631425751377,404.65778622592927,376.59896803007473,GA_mass
6.0,30.909090909090907,620,welded,284.49193482988574,147.44933332916577,8.228409138929441,6.00041885521086,1.0008961502384537,190.0423699824271,526.7376432868242,438.85091503452975,GA_mass
6.0,30.909090909090907,690,rolled,286.2352312314712,136.60540362290777,8.000352139144832,6.006591167521027,1.0009999983472595,188.37266025816368,453.50717957152915,347.2461619198989,GA_mass
