span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing
6.0,20.0,355,rolled,250.0,125.51644601464545,8.000606489124452,6.000065830087664,1.0009952447864003,168.7614047485914,241.3288087904857,433.21052598963405,GA_cost
6.0,20.0,355,welded,265.79868832828356,138.0158657690052,8.18750133236517,6.000000044992405,0.9998912311182758,176.9336130919573,300.7871422563275,511.1612082226646,GA_cost
6.0,20.0,460,rolled,257.5565264584666,121.39096023966918,8.000000457690508,6.000015379432341,1.0009999668439225,167.73149606367022,297.7234055130146,394.33674724568874,GA_cost
6.0,20.0,460,welded,250.07060860641442,138.31077250132654,8.000033919840758,6.0,1.000999950810211,170.37977491503582,362.2274014693662,450.65450465026976,GA_cost
6.0,20.0,500,rolled,250.0003879315594,120.0,8.194771528653462,6.000000000776154,0.9952543275961959,166.58472823639767,373.0831573582361,416.22860197146315,GA_cost
6.0,20.0,500,welded,252.23397664546786,133.85836354652673,8.002746932328877,6.000031950991983,1.000892073122435,167.6688248282148,375.5111000852699,418.93732571577755,GA_cost
6.0,20.0,550,rolled,250.00301079915326,122.76694609686977,8.00003992322673,6.0000018422157595,1.0009999994340313,166.5792249112764,421.0324641198455,408.1989688923485,GA_cost
6.0,20.0,550,welded,250.00307619051742,130.9558047961575,8.006663801845196,6.003362629999932,1.0009999996750603,164.9330616165542,416.8816047194171,404.17133731669105,GA_cost
6.0,20.0,620,rolled,250.0,120.0,8.0,6.0,0.9973738693832656,164.38842,457.93036277297824,379.470735474075,GA_cost
6.0,20.0,620,welded,250.00000350340406,127.34513264616866,8.000096764375233,6.000000009894572,1.0009999995713776,162.09679914692296,451.5467941218916,374.18086472317106,GA_cost
6.0,20.0,690,rolled,250.0,120.0,8.0,6.0,0.9614782660824716,164.38842,510.02308698547506,361.002592403964,GA_cost
6.0,20.0,690,welded,250.0,125.00000442924714,8.000012086845699,6.000000623902159,0.9958713509018032,160.32854570528312,497.4271461053259,352.08697727835363,GA_cost
6.0,30.909090909090907,355,rolled,289.0765195766261,145.73095091636114,8.602420319018824,6.000001538473012,1.000956922021195,204.66992691047034,292.67799548197263,525.3877023791772,GA_cost
6.0,30.909090909090907,355,welded,323.28740073338054,171.27212173707517,8.00191141605489,6.004998920120112,1.00098864114102,216.01219817847354,367.220736903405,624.05924053761,GA_cost
6.0,30.909090909090907,460,rolled,269.42949772457206,135.18524709156372,9.356844663555297,6.002963804697378,1.000998515024498,199.54363724965864,354.18995611814415,469.1270911739475,GA_cost
6.0,30.909090909090907,460,welded,297.3808657573104,161.22143633858175,8.0,6.000419684141751,1.0009999727276815,201.0202691779759,427.36909227237675,531.6986119757464,GA_cost
6.0,30.909090909090907,500,rolled,277.7003407827395,143.34749938090346,8.000001968387792,6.000302121680052,1.000964519904821,191.08628834787135,427.9568513838927,477.44820006599133,GA_cost
6.0,30.909090909090907,500,welded,300.19783704579004,154.91664390537622,8.000265689171464,6.0,1.0007419143841314,197.06321867007495,441.3427845334998,492.38215816904926,GA_cost
6.0,30.909090909090907,550,rolled,279.82943320204976,140.36105617201994,8.00000000662674,6.000000001052754,1.0009999994380676,189.3510043436432,478.58856411794756,464.0007165838333,GA_cost
6.0,30.909090909090907,550,welded,295.00124723219204,151.6040132539426,8.000015802029697,6.001572854740202,1.0009997336486187,193.1154224119279,488.10504384240915,473.22651093351374,GA_cost
6.0,30.909090909090907,620,rolled,285.38694400757225,140.11630951398163,8.000001512066904,6.000732270430563,1.0009991603457666,190.81619704146271,531.5501604998996,440.47657325899115,GA_cost
6.0,30.909090909090907,620,welded,286.0275895382122,147.2652475920989,8.201449062162473,6.0,1.0004134515799907,189.96960759372953,529.4580585241449,438.66361661681975,GA_cost
6.0,30.909090909090907,690,rolled,281.84029000140873,137.71937693147459,8.000061745292845,6.000154131911343,1.0007889749296857,187.86020866215125,582.8457946224415,412.54759574197027,GA_cost
6.0,30.909090909090907,690,welded,274.5306498798646,143.20632519387567,8.59957813005869,6.002321672393201,1.0009999119960291,188.75863661927835,586.5827543551936,414.9482115500807,GA_cost
6.0,41.81818181818181,355,rolled,314.7764202970564,159.22543496315058,9.630591662932614,6.000006241301709,1.0009999980640363,239.3603978198787,342.2853688824266,614.4381412036286,GA_cost
6.0,41.81818181818181,355,welded,370.00597722237285,188.85292281007517,8.172810751511287,6.000000621415728,0.9999235585753649,245.338283328732,417.0750816588444,708.7823005367065,GA_cost
6.0,41.81818181818181,460,rolled,294.13965980815055,147.2980695665503,9.770901639066558,6.0,1.0009819411543817,223.83615080926526,397.30916768644585,526.2387905525827,GA_cost
6.0,41.81818181818181,460,welded,336.0502020763098,172.12621955202601,8.63517443712994,6.0000000314789,1.0009999994255754,230.10040849108157,489.19346845203944,608.6155804589108,GA_cost
6.0,41.81818181818181,500,rolled,316.8388245869219,158.6988127817467,8.000008889850632,6.000671956147453,1.000999924872653,214.85323261720634,481.1852997694953,536.8322870173519,GA_cost
6.0,41.81818181818181,500,welded,331.1787748037299,169.03567729897802,8.568818170693346,6.0,0.9953048582144439,225.1906953407695,504.33708128518737,562.6614713784467,GA_cost
6.0,41.81818181818181,550,rolled,347.8541169003991,152.29710398450987,8.002613938369239,6.0000372814716565,1.0006877937955057,219.01916072950948,553.5789146167913,536.7041261801913,GA_cost
6.0,41.81818181818181,550,welded,314.2630423476399,165.560200823036,8.822846102874479,6.002451716455719,1.0008785470751105,221.4574019503194,560.8316299792207,543.3712897540574,GA_cost
6.0,41.81818181818181,620,rolled,348.8015949013771,146.33459471677426,8.065389825654696,6.000784628976547,1.0009985004937394,215.4644073955987,600.3102817639157,497.4262951026528,GA_cost
6.0,41.81818181818181,620,welded,312.3142956909988,157.1002068827527,9.072852815540081,6.008621027003795,1.0009999556974032,217.51918333497204,607.5770422114828,502.98837659616026,GA_cost
6.0,41.81818181818181,690,rolled,345.24511845342755,142.13219142128085,8.256119579912582,6.0000000015576616,1.0009999853221252,213.61187234932947,663.1986588691854,469.30497745850397,GA_cost
6.0,41.81818181818181,690,welded,304.64087685401165,152.86715068145654,9.278687819445064,6.000078239409982,1.0009997803814454,214.4621504847046,667.6721525553695,471.99883899387623,GA_cost
6.0,52.72727272727273,355,rolled,386.4027713626922,165.72301975500974,9.839897264881605,6.000013852800235,1.0009999819837982,270.110248772681,386.25765574493386,693.3730085994721,GA_cost
6.0,52.72727272727273,355,welded,394.5261886981269,204.67471407736687,8.738961246749525,6.0028903517531065,1.0009876287503057,275.09547167214663,467.66230184264924,794.7508176608317,GA_cost
6.0,52.72727272727273,460,rolled,343.48403141487364,152.84950738670716,10.76313808064296,6.0,1.0009999994693468,258.2553570871537,458.40325882969785,607.1583445118983,GA_cost
6.0,52.72727272727273,460,welded,366.4020722669818,184.5777476673467,8.96846621436756,6.000128365377021,1.000995998790703,254.4150848251197,540.8864703382046,672.9278993624416,GA_cost
6.0,52.72727272727273,500,rolled,331.9369779632634,170.62545670818218,8.78891486654719,6.0000146068094775,1.000990125547743,241.606700700169,541.1023668880985,603.6785023694423,GA_cost
6.0,52.72727272727273,500,welded,348.56406843529277,180.92803477951819,9.259915695744713,6.02499722395152,1.0001857973351773,251.47972580478324,563.2139939123925,628.3472428958314,GA_cost
6.0,52.72727272727273,550,rolled,421.2651165282271,153.7566555970017,8.000000474302016,6.000003069355658,1.000994142190677,241.91895291716747,611.4551421575792,592.8173896588069,GA_cost
6.0,52.72727272727273,550,welded,333.8167126580472,175.94886231672672,9.544698040552637,6.000062227535033,1.0008150820079746,247.14034142737435,626.9364112180746,607.063007578383,GA_cost
6.0,52.72727272727273,620,rolled,353.89943944722927,157.93538194190774,8.804842550060602,6.000264655951925,1.0009996654824482,237.33552763781762,662.470333878884,548.5683614583461,GA_cost
6.0,52.72727272727273,620,welded,326.7234272214047,170.18515601534654,9.558282517758029,6.000515553641726,1.000999573097906,240.17021764440807,671.6465503464165,555.7911270897976,GA_cost
6.0,52.72727272727273,690,rolled,366.071640952828,148.88116390953962,8.995066269013131,6.00000017583347,1.0005616493884888,235.7460990064224,733.3750255568906,518.5897714274315,GA_cost
6.0,52.72727272727273,690,welded,316.7678085010898,164.9932311892328,9.82366325194087,6.03604893676545,1.0008477477423732,237.15366468247757,739.4681555753568,522.458197025757,GA_cost
6.0,63.63636363636363,355,rolled,355.88682392166544,178.4800648522247,11.504853765894199,6.000000237990489,1.0009106310547333,301.8751434090728,431.68145507497405,774.9134931310899,GA_cost
6.0,63.63636363636363,355,welded,576.7941959730945,188.65648972221416,8.074420851832796,6.000615059218141,1.0009861034199643,301.9487150708049,513.3128156203684,872.3298378395554,GA_cost
6.0,63.63636363636363,460,rolled,324.4454152105282,162.93649275230004,11.622653805703422,6.015408872466932,1.0009999785033168,276.91588861087536,491.5257022843038,651.029254124168,GA_cost
6.0,63.63636363636363,460,welded,381.0648347784071,193.89304214710398,9.802178293032346,6.000046149859457,1.0009631247767292,281.1836035395432,597.7963411250688,743.7306313620918,GA_cost
6.0,63.63636363636363,500,rolled,485.71455077550826,160.90940161258044,8.014346113350273,6.001804939074293,1.0009999135605805,266.96452807574656,597.8937570784419,667.0375698500602,GA_cost
6.0,63.63636363636363,500,welded,355.32695100743905,194.263647247737,9.994075397664767,6.003054569454445,1.0001747739910858,277.70292785107256,621.9434772152621,693.8685355286899,GA_cost
6.0,63.63636363636363,550,rolled,347.6372744378091,174.55055102713496,9.136845686537768,6.000137881691262,1.0009493245511134,255.48006965683444,647.4690316437783,627.1524189693962,GA_cost
6.0,63.63636363636363,550,welded,362.072951450145,184.5429473462578,9.810373606891465,6.000000267057976,1.0008802839319972,267.3199987151707,678.5522228641939,656.9011058683963,GA_cost
