span_m,load_kNm,grade,section_type,h,b,tf,tw,util,mass,cost,co2,governing
16.0,20.0,355,rolled,513.4667588566741,268.9126474111387,16.4845258190801,8.270750930982414,1.0009993750189483,1693.3222953531765,2421.4508823550423,4346.758332171605,GA_cost
16.0,20.0,355,welded,595.4264868713191,299.21770981866393,16.0279549801627,6.000436352747096,1.0009965591852654,1629.3039559333847,2769.816725086754,4707.059128691549,GA_cost
16.0,20.0,460,rolled,515.3438350693,266.0246225312219,16.264851642608736,8.952837773914146,0.9991103018706943,1711.3089886939533,2742.37265438206,4023.2874324194845,GA_cost
16.0,20.0,460,welded,558.4061882038195,299.74210627461014,14.991052646430855,6.000528658277387,1.0009920176692257,1527.010039479138,2921.1702055235905,4038.9415544223198,GA_cost
16.0,20.0,500,rolled,542.0236342835067,271.55009106605587,14.681680290036773,6.000995306444212,1.0009691456019403,1457.2865465118248,3056.8042599632035,3641.1761651144457,GA_cost
16.0,20.0,500,welded,530.6259210744851,298.7294210362163,15.307322277253776,6.000383528945692,0.9999909060975984,1525.506761546946,3199.902983020874,3811.6311944011995,GA_cost
16.0,20.0,550,rolled,539.554819142956,270.5147928809415,14.83715952631406,6.263471567399865,1.0009573522967758,1479.8207702344537,3665.7602296906757,3666.198753008667,GA_cost
16.0,20.0,550,welded,518.2131565676897,290.1850133152515,15.929160631666532,6.040232743885547,1.0009994268350444,1530.1224749381006,3797.996572526372,3795.8706036722983,GA_cost
16.0,20.0,620,rolled,568.0190273063266,262.73745103750315,15.54145430766518,6.998577278189018,1.000998961997235,1572.5942372983386,4449.4222654471505,3679.909680022582,GA_cost
16.0,20.0,620,welded,519.5200871487667,281.0929008380719,16.225141663465912,6.393680434591178,1.0009997180175556,1536.8055463140681,4349.003610790264,3596.6119500011096,GA_cost
16.0,20.0,690,rolled,535.4490271455508,264.7245599985034,15.657380974961997,6.987095946546602,1.0009961314645959,1557.795713328854,5203.4121434441595,3471.6774320147824,GA_cost
16.0,20.0,690,welded,520.8599679907974,272.3502204995106,16.6642732183863,7.032414464902431,1.0009992801957421,1570.698334996979,5261.117233998206,3506.654931272497,GA_cost
16.0,37.14285714285714,355,rolled,594.7362471357046,299.96759803381144,21.235624740038155,10.690415001029855,1.0008475070623688,2458.7629005070385,3516.030947725065,6311.644365601566,GA_cost
16.0,37.14285714285714,355,welded,594.1960288151924,299.7174064611111,29.457286043531166,6.0,1.000999132006915,2621.1980830271004,4456.03674114607,7572.641261865293,GA_cost
16.0,37.14285714285714,460,rolled,616.0959032318468,299.8255266733882,20.267519582589998,10.661258663300812,1.0009997268941926,2412.0380812165035,3865.291025149447,5670.701528940001,GA_cost
16.0,37.14285714285714,460,welded,582.8145875068491,299.17632676332136,26.12458420010875,6.0,1.0009969100730853,2363.177413207716,4520.758391466361,6250.60425793441,GA_cost
16.0,37.14285714285714,500,rolled,656.6733301271237,299.9457301908775,20.01937349652759,7.211817572220506,1.0009991807838792,2170.284186026918,4552.388108610063,5422.672067206859,GA_cost
16.0,37.14285714285714,500,welded,582.1873181851121,299.5252095584041,25.07345386579791,6.352790035668861,1.0009995669512295,2311.065630578376,4847.691266701202,5774.42858456313,GA_cost
16.0,37.14285714285714,550,rolled,699.1272102056605,299.7083459097553,18.14384044478601,8.132986924794004,1.0009995535438052,2145.237367150254,5377.84875948167,5356.9379384812055,GA_cost
16.0,37.14285714285714,550,welded,597.2484189170746,299.8395503018825,23.471512388334876,7.010170202635695,1.0009820173039738,2252.3986053490626,5700.855842368234,5660.522913341293,GA_cost
16.0,37.14285714285714,620,rolled,625.0323238141657,295.5261851997959,19.877179076774315,7.629188242444526,1.0009983178532325,2138.256107185985,6123.559605084535,5042.923678196138,GA_cost
16.0,37.14285714285714,620,welded,593.4429910952703,299.6491903932977,22.574380826404614,7.195617243351203,1.000998872306621,2194.7476242142966,6319.811239210824,5194.564778607484,GA_cost
16.0,37.14285714285714,690,rolled,619.4600276312018,295.5957741860552,19.375523491606813,8.016795694497315,1.0009971650065477,2124.596162073888,7185.816764725672,4772.82093042339,GA_cost
16.0,37.14285714285714,690,welded,597.5341587611518,299.99951887278735,21.5719503164238,7.710885738257407,1.0009997841082396,2162.579464492689,7350.418776595537,4873.542937350503,GA_cost
16.0,54.285714285714285,355,rolled,749.7160846721871,296.6881847387138,27.142756718245295,13.577196201806546,1.000810114984991,3369.2527988018055,4818.031502286582,8648.871934524233,GA_cost
16.0,54.285714285714285,355,welded,749.9990420825877,299.9999586684331,34.99781030684183,14.037502754619595,1.0009998209370101,3836.355689052972,6521.804671390053,11083.231585674037,GA_cost
16.0,54.285714285714285,460,rolled,739.0212204538024,297.9097321585709,24.58752664640331,13.066667625315706,0.9971557113026703,3120.7710684148033,5001.035637134722,7336.932781843202,GA_cost
16.0,54.285714285714285,460,welded,595.0802366040983,298.0637772397806,34.370171161371374,8.987325705589065,1.0009981022381094,3167.5559043889493,6059.534445096059,8378.18536710877,GA_cost
16.0,54.285714285714285,500,rolled,747.7683352114794,299.6302109950631,25.44731317884958,8.138290400284095,1.0009973739817828,2759.05201748437,5787.387511875215,6893.767370886447,GA_cost
16.0,54.285714285714285,500,welded,598.5271142571926,299.9417723601663,34.37859225133997,6.881315804366281,1.000571043671982,3048.1444461493306,6393.787790242836,7616.093713148716,GA_cost
16.0,54.285714285714285,550,rolled,744.2151299415904,295.36301943789715,25.238406875376366,8.501052343290262,1.000999984419471,2743.9598826723177,6996.3192523633015,6929.838464271069,GA_cost
16.0,54.285714285714285,550,welded,749.4948757070106,299.9357557542851,31.19920722207169,8.493381272665525,1.0009938308422546,3083.6417490337203,7967.78907567149,7857.457919673838,GA_cost
