costing,gt_dir,n_contexts,space,proposals,ec3_per_context,gap_mean,gap_median,gap_p90,gap_worst,feasibility
original,research/pretrain_data,142,raw,40,40,0.71295497377402,0.6875309000408374,1.114412241431483,1.5065874472509484,0.8169014084507042
original,research/pretrain_data,142,raw,400,400,0.3551276885889114,0.33127733833366535,0.5232515064068017,1.1126893756026766,0.9084507042253521
original,research/pretrain_data,142,raw,4000,4000,0.19260361373807783,0.1781185839946129,0.28898625566370884,0.5814802298231783,0.9507042253521126
original,research/pretrain_data,142,raw,4800,4800,0.186186916624755,0.17434570821346518,0.27806266954306025,0.5814802298231783,0.9507042253521126
original,research/pretrain_data,142,reparam,10,240,0.16931234539564663,0.15603080719830098,0.31381265755014004,0.5077877501838948,0.9859154929577465
original,research/pretrain_data,142,reparam,20,480,0.12580440066442977,0.11807051488041553,0.22910268938660702,0.468843377650471,1.0
original,research/pretrain_data,142,reparam,40,960,0.08335951857048912,0.07768668086711705,0.14801208024237017,0.2587586796733963,1.0
original,research/pretrain_data,142,reparam,200,4800,0.037781223936169256,0.035326597209555555,0.0739028584890013,0.1421374601251073,1.0
original,research/pretrain_data,142,reparam,1000,24000,0.01895053729331943,0.01577850496689792,0.04152155506638341,0.0749749503158128,1.0
corrected,research/pretrain_data_corrected,142,raw,40,40,0.7433333498337196,0.6756923830891243,1.1891308009274986,1.9635044245344222,0.8169014084507042
corrected,research/pretrain_data_corrected,142,raw,400,400,0.4099234137401868,0.3650513078240991,0.6279524680744806,1.9316142387884012,0.9084507042253521
corrected,research/pretrain_data_corrected,142,raw,4000,4000,0.2224765613543937,0.19788910006967875,0.3517476943342396,0.8532567632072725,0.9507042253521126
corrected,research/pretrain_data_corrected,142,raw,4800,4800,0.21272774089280827,0.18802616803498884,0.33771440759359395,0.8532567632072725,0.9507042253521126
corrected,research/pretrain_data_corrected,142,reparam,10,240,0.23055607326452393,0.22035786084315911,0.4083984059732455,0.7042890180865762,0.9859154929577465
corrected,research/pretrain_data_corrected,142,reparam,20,480,0.16933889774276123,0.15853627955209082,0.3378107180923082,0.5767574102432858,1.0
corrected,research/pretrain_data_corrected,142,reparam,40,960,0.11666265008182591,0.10632080064473359,0.21649821277221076,0.3786424176560661,1.0
corrected,research/pretrain_data_corrected,142,reparam,200,4800,0.05342728164605255,0.04160493444064317,0.12039718898236658,0.1997388277685479,1.0
corrected,research/pretrain_data_corrected,142,reparam,1000,24000,0.022997179699175647,0.014885827631416992,0.056694398654508586,0.12315279727238315,1.0
