seed,region,n,feasible_pct,in_band_pct,mean_util_feasible
42,in_distribution,100,99.0,8.0,0.7060041769170232
42,span_extrapolation,100,35.0,30.0,0.9361851836690592
42,load_extrapolation,100,73.0,30.0,0.8717012132502123
42,joint_extrapolation,100,0.0,0.0,
43,in_distribution,100,99.0,10.0,0.7607297263714442
43,span_extrapolation,100,38.0,22.0,0.8751210089392844
43,load_extrapolation,100,73.0,28.999999999999996,0.8552855948484952
43,joint_extrapolation,100,0.0,0.0,
44,in_distribution,100,98.0,12.0,0.7595624681258439
44,span_extrapolation,100,31.0,17.0,0.8622043333421783
44,load_extrapolation,100,73.0,22.0,0.8327126464235054
44,joint_extrapolation,100,0.0,0.0,
45,in_distribution,100,99.0,13.0,0.764064639337507
45,span_extrapolation,100,34.0,18.0,0.8789472264222564
45,load_extrapolation,100,73.0,21.0,0.827350231286807
45,joint_extrapolation,100,0.0,0.0,
46,in_distribution,100,99.0,12.0,0.7340101466306673
46,span_extrapolation,100,37.0,24.0,0.8768721433021935
46,load_extrapolation,100,73.0,28.999999999999996,0.8551129983571243
46,joint_extrapolation,100,0.0,0.0,
