seed,repair_mode,gap_mean,gap_median,feasibility
42,none,0.4763250234311976,0.4411769129002061,1.0
42,scale,0.1945910843167799,0.1882179973291211,1.0
42,scale+thin,0.0689148812186684,0.0488281525993106,1.0
43,none,0.4065557695789923,0.3428537945180019,1.0
43,scale,0.1896549144927515,0.1578078703530204,1.0
43,scale+thin,0.0685866382791558,0.0433905588012019,1.0
44,none,0.4026573647396331,0.3045282805229441,1.0
44,scale,0.1843015092771615,0.1373268444343453,1.0
44,scale+thin,0.0981940555971691,0.0671343316669506,1.0
45,none,0.3844593160437335,0.3427090100869729,1.0
45,scale,0.1776097045388998,0.1135799373092025,1.0
45,scale+thin,0.112820236602114,0.081103494056651,1.0
46,none,0.4972078509251625,0.4431840444238489,1.0
46,scale,0.2288199837010881,0.2148945685320986,1.0
46,scale+thin,0.1038916464742978,0.0693400303302849,1.0
