method,repair_mode,n_contexts,n_seeds,feasibility,gap_mean,gap_median,gap_mass_mean,gap_mass_median,gap_co2_mean,gap_co2_median,util_mean,gap_mean_sd_across_seeds,gap_median_sd_across_seeds,gap_mass_mean_sd_across_seeds,gap_mass_median_sd_across_seeds,gap_co2_mean_sd_across_seeds,gap_co2_median_sd_across_seeds,util_mean_sd_across_seeds
ga,none,142,1,1.0,0.017200432169459396,0.00725693701699455,0.23336455577003834,0.23775955992501996,0.384265437751026,0.39410170115546683,1.0006112190651861,,,,,,,
ga,scale+thin,142,1,1.0,0.014739316904560595,0.0053959895416465994,0.23195146640144035,0.23993089046449367,0.38151692783990465,0.39160012259637733,1.0009909598614823,,,,,,,
rule_based,none,142,1,0.9436619718309859,0.35413391043977344,0.3079653550804163,0.4590461168372884,0.43510537161696516,0.8249639876138217,0.8163182551229522,0.9225265930497306,,,,,,,
rule_based,scale+thin,142,1,0.9436619718309859,0.19169454444740766,0.20159592383182734,0.32448516352589135,0.3320354784037086,0.6231110063763463,0.6502715629514049,1.0065625610004088,,,,,,,
random_search_40,none,142,1,0.8380281690140845,0.7855565878592017,0.7033217313942572,0.7152732765500106,0.7141788554197601,0.9837211233628269,0.9651218203108158,0.9103307417342922,,,,,,,
random_search_40,scale+thin,142,1,0.9788732394366197,0.33224806057408957,0.2687069668445153,0.21172087267578982,0.20244691960183525,0.39342344055604583,0.3598927828117662,1.0206721069138511,,,,,,,
random_search_4800,none,142,1,0.9788732394366197,0.23765849517319204,0.1998671714248443,0.39592027628162724,0.40644375822275514,0.5668369482626343,0.5785282711620126,0.9338069150638165,,,,,,,
random_search_4800,scale+thin,142,1,0.9929577464788732,0.11595780687164807,0.0700526113091307,0.2401826809139063,0.23995525606855628,0.4031001442309218,0.4114156164859091,1.0028378493463785,,,,,,,
ppo_5seed_headline,none,142,5,1.0,0.4334410649437438,0.3748904084903947,0.7101684848655168,0.6942659340874958,0.9539757273147288,0.9386045148110196,0.7471196416271904,0.04993722038811298,0.06338520621171571,0.07962717101744972,0.07984772255708493,0.083753795296189,0.07785646947838895,0.022697983532747153
ppo_5seed_headline,scale+thin,142,5,1.0,0.09048149163428103,0.06195931349087981,0.28123061470335364,0.2923193827579955,0.48037161476785073,0.49082383816655045,1.0009899931763484,0.020511208586489988,0.015532075527812637,0.013161976074375218,0.01678884130982724,0.018930030788284605,0.01961300073916193,2.534185963522219e-06
