context_idx,span_m,load_kNm,gt_economy,method,space,budget,seed,feasible,best_economy,gap,n_evals,n_direct,n_sizing,n_feasible_evals,n_at_best,wall_s,hp,h,b,tf,tw,fy,section_type
0,6.0,20.0,241.3288087904857,de,reparam,25,0,1,270.7072269385435,0.12173605917710062,25,4,21,21,23,0.01460256199993637,"{""pop_mult"": 1.0}",250.0,121.01474785889663,8.328468823703352,6.0,460.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,25,1,1,269.773083522202,0.11786522659385734,25,3,22,21,25,0.009298768999997264,"{""pop_mult"": 1.0}",250.0,125.00040178365558,8.0,6.0,460.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,25,2,1,254.1491688086954,0.053124034724507,25,4,21,21,19,0.009495988000026045,"{""pop_mult"": 1.0}",294.950869391744,120.0,8.0,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,25,3,1,256.38720894424546,0.06239785556159183,25,4,21,21,17,0.011480858999902921,"{""pop_mult"": 1.0}",280.00052992941556,120.0,8.532229127357482,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,25,4,1,360.7748073991325,0.4949512625835988,25,3,22,25,20,0.011355667000088943,"{""pop_mult"": 1.0}",275.63162474135584,120.0,8.0,6.0,500.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,50,0,1,273.7999380751075,0.1345514008350832,50,7,43,48,35,0.020095546999982616,"{""pop_mult"": 1.0}",250.0,120.0,8.573760629341773,6.0,460.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,50,1,1,263.133778373582,0.0903537778700374,50,6,44,46,10,0.019886618000100498,"{""pop_mult"": 1.0}",250.0,120.0,9.740126610429215,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,50,2,1,272.7130384195214,0.13004758854249565,50,6,44,44,37,0.019151360000023487,"{""pop_mult"": 1.0}",250.0,120.0,8.513609143480421,6.0,460.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,50,3,1,264.89451816365397,0.0976497977646229,50,6,44,50,30,0.029419275999998717,"{""pop_mult"": 1.0}",250.0,120.0,9.849324460546717,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,50,4,1,242.41092311749443,0.004483983211255094,50,7,43,42,25,0.02633434499989562,"{""pop_mult"": 1.0}",250.0,126.4827975611565,8.0,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,100,0,1,254.98161585407283,0.05657346560492926,100,13,87,85,32,0.05336943100019198,"{""pop_mult"": 1.0}",288.61456856983847,120.0,8.218371596351744,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,100,1,1,255.63143100723516,0.05926612031291523,100,13,87,96,90,0.03249127399999452,"{""pop_mult"": 1.0}",298.44410227007046,120.0,8.0,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,100,2,1,288.5709734737048,0.19575849613641982,100,14,86,89,5,0.03203333500005101,"{""pop_mult"": 1.0}",250.0,120.0,8.099820599629227,7.259364108333664,460.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,100,3,1,245.35452914720253,0.016681474445149336,100,13,87,77,79,0.03368886299995211,"{""pop_mult"": 1.0}",250.0,125.0457444415532,8.271390867777367,6.0,355.0,rolled
0,6.0,20.0,241.3288087904857,de,reparam,100,4,1,254.1750011551093,0.053231076840793756,100,14,86,79,30,0.03190589199994065,"{""pop_mult"": 1.0}",295.01174823079566,120.0,8.0,6.0,355.0,rolled
