method,space,budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_p95,gap_max,gap_std,seedmean_mean,seedmean_sd,seedmean_min,seedmean_max,within_ctx_sd_mean,frac_gap_le_2pct,frac_gap_le_5pct,mean_evals,max_evals,mean_sizing_frac,mean_wall_s
ga,raw,25,710,142,5,0.7929577464788733,0.8672150785569557,0.7723552162191405,1.4856909491832822,1.861141678063157,4.232809504275787,0.49696076790374905,0.8670812718670211,0.014766107573955986,0.8465124617202319,0.8819884056071586,0.3870491270688358,0.0,0.0,25.0,25,0.0,0.011771203316913595
ga,raw,50,710,142,5,0.8605633802816901,0.5880058931051199,0.503253934740763,1.073140177852756,1.2750687457805867,2.59279550360164,0.3472165880984522,0.5877887765639651,0.021505669455989727,0.5543319578494271,0.6027325990818633,0.28305329553014624,0.0,0.0028169014084507044,50.0,50,0.0,0.0226163947211388
ga,raw,100,710,142,5,0.9577464788732394,0.3939520843106514,0.34217603516898076,0.6875832941302368,0.8476624466530638,1.945934939313008,0.2506982593542806,0.3936384986196371,0.025196887685998128,0.3628313579436874,0.43249923369385024,0.1907520419672534,0.0014084507042253522,0.007042253521126761,100.0,100,0.0,0.04530635100704253
ga,raw,400,710,142,5,1.0,0.12526581605295983,0.1039872016905577,0.25091006783150915,0.3043001178693072,0.7263024267479106,0.09526963680547683,0.12526581605295978,0.010279226874022841,0.11499963533368407,0.1384679661057427,0.07915581885260427,0.04507042253521127,0.22535211267605634,400.0,400,0.0,0.18922811750140958
ga,raw,1600,710,142,5,1.0,0.03007521830052783,0.01999597886621225,0.06745196787997158,0.09747856057763156,0.3675591757697811,0.041385072145515504,0.03007521830052783,0.002235738279874872,0.02715737320820973,0.03217180644527486,0.025632086541089845,0.5,0.8253521126760563,1600.0,1600,0.0,0.7629004440211343
ga,raw,4800,710,142,5,1.0,0.005691416558157937,0.00394820926978415,0.022663490072686254,0.03067559863472017,0.1633221483435469,0.015331928812650214,0.005691416558157938,0.0009953949526571805,0.004531640361181136,0.007231438212061825,0.008688455198043466,0.8830985915492958,0.9873239436619718,4800.0,4800,0.0,2.3232690994521157
de,raw,25,710,142,5,0.8056338028169014,0.7808624210876051,0.7069253503136849,1.25071541924504,1.5255022420312756,2.503167422534878,0.40487546200991226,0.78082200068042,0.05008132124163544,0.7019694062712409,0.8259410940062383,0.3302333889714924,0.0,0.0,25.0,25,0.0,0.015870824604229995
de,raw,50,710,142,5,0.8760563380281691,0.5713554186563672,0.509829107182658,0.9997547830355279,1.1941372462583357,2.574725687905147,0.32609311228734184,0.5713345095824625,0.02994549710622224,0.5364034609175407,0.6151461083113621,0.27896661844120546,0.0,0.0028169014084507044,50.0,50,0.0,0.02946079745352087
de,raw,100,710,142,5,0.9507042253521126,0.3682256528839271,0.3174567151986565,0.6205283474553382,0.8299267827848467,2.066649919040229,0.23104492967033002,0.3681849655138139,0.02601057566271426,0.33780918009315375,0.3974755719440569,0.18222713925930834,0.0,0.0028169014084507044,100.0,100,0.0,0.05274169979999291
de,raw,400,710,142,5,0.9943661971830986,0.10290430015987191,0.07260783323735034,0.2173913700975629,0.2963384233731714,0.8437905397307399,0.1080918784144404,0.10291589636473522,0.004095608669371968,0.09842551503037182,0.10727242252054425,0.07116553305237551,0.12253521126760564,0.3464788732394366,400.0,400,0.0,0.2019363848112733
de,raw,1600,710,142,5,1.0,0.012049748519314058,0.00403206272859955,0.03362848464209301,0.05233643338693066,0.4709935597320409,0.047182916355314165,0.012049748519314058,0.0018895632957408052,0.010324500657726972,0.014843217012854036,0.017065858343405512,0.795774647887324,0.9450704225352112,1600.0,1600,0.0,0.7785920089436725
de,raw,4800,710,142,5,1.0,-0.0057887619163328645,-0.006593739090004351,0.00518024909056739,0.019259578642934094,0.41527052822492,0.03350962944333979,-0.005788761916332865,0.0010106655947717145,-0.006612088694083718,-0.004153745277097843,0.0076019123270115695,0.9507042253521126,0.9788732394366197,4800.0,4800,0.0,2.270268860232403
