mode,gen_budget,baseline,space,n_contexts,baseline_gap_mean,rl_gap_mean,diff_rl_minus_baseline,ci95_lo,ci95_hi,rl_win_rate,baseline_mean_total_evals,rl_mean_total_evals
none,40,cmaes,raw,137,0.659174138770293,0.4334885914889667,-0.22568554728132642,-0.26377892360145777,-0.1875749026568302,0.8540145985401459,40.0,39.91267605633803
none,40,cmaes,reparam,140,0.43932570399574533,0.43625920616169367,-0.0030664978340517227,-0.04907682844461049,0.042416948967320324,0.4928571428571429,40.0,39.91267605633803
none,40,de,raw,131,0.6310299403687987,0.4334809482602699,-0.1975489921085287,-0.23738818959800778,-0.1593276935277026,0.8244274809160306,40.0,39.91267605633803
none,40,de,reparam,141,0.3421113706414395,0.43460866820831684,0.09249729756687733,0.0500194212747151,0.13380628982153384,0.3262411347517731,40.0,39.91267605633803
none,40,ga,raw,136,0.6873402503683752,0.43402480984717884,-0.25331544052119653,-0.3009959629938582,-0.20808529290399724,0.8382352941176471,40.0,39.91267605633803
none,40,ga,reparam,141,0.3584208288919373,0.4331172178726024,0.07469638898066502,0.033823206129305686,0.11612153217401462,0.3262411347517731,40.0,39.91267605633803
none,40,rand,raw,127,0.8168864386319591,0.4409666505537718,-0.37591978807818727,-0.4277024235084186,-0.33014727624620155,0.9763779527559056,40.0,39.91267605633803
none,40,rand,reparam,141,0.34542900899992046,0.43460866820831684,0.08917965920839634,0.0522210965844078,0.12583233586809908,0.3404255319148936,40.0,39.91267605633803
scale,40,cmaes,raw,141,0.5054313362472146,0.19477832950072863,-0.3106530067464859,-0.34058191802000576,-0.2807781794088856,0.9645390070921985,57.88591549295775,56.91267605633803
scale,40,cmaes,reparam,142,0.4355592439694765,0.19499543926533616,-0.24056380470414027,-0.2737368056096355,-0.2077553927713388,0.9295774647887324,57.91830985915493,56.91267605633803
scale,40,de,raw,142,0.5050666851303595,0.19499543926533616,-0.3100712458650232,-0.34936640304821615,-0.27237835468654803,0.9436619718309859,57.99014084507042,56.91267605633803
scale,40,de,reparam,142,0.33518626320604955,0.19499543926533616,-0.1401908239407134,-0.16593659062458818,-0.11632415775217253,0.8661971830985915,57.92253521126761,56.91267605633803
scale,40,ga,raw,142,0.5696877806316033,0.19499543926533616,-0.37469234136626717,-0.4183197449711815,-0.33324368495817963,0.9507042253521126,58.03239436619718,56.91267605633803
scale,40,ga,reparam,142,0.35441585627229205,0.19499543926533616,-0.15942041700695583,-0.18454152263118404,-0.13407689679143814,0.9014084507042254,57.96197183098592,56.91267605633803
scale,40,rand,raw,142,0.5955080735738542,0.19499543926533616,-0.4005126343085182,-0.44550060914604267,-0.3575789648306052,0.971830985915493,57.95492957746479,56.91267605633803
scale,40,rand,reparam,142,0.3358782807571424,0.19499543926533616,-0.14088284149180616,-0.16272247808228144,-0.11977961583730176,0.8943661971830986,57.91971830985916,56.91267605633803
scale+thin,40,cmaes,raw,141,0.27590144178192405,0.09029831568295951,-0.18560312609896457,-0.21049282918758552,-0.16099107656513426,0.9645390070921985,112.63098591549296,112.62535211267605
scale+thin,40,cmaes,reparam,142,0.28793309717034404,0.09048149163428108,-0.19745160553606295,-0.22278377685411935,-0.17240048776217218,0.9577464788732394,108.38028169014085,112.62535211267605
scale+thin,40,de,raw,142,0.2705155530931493,0.09048149163428108,-0.18003406145886822,-0.2074901326332411,-0.15279202886017967,0.9366197183098591,112.80845070422535,112.62535211267605
scale+thin,40,de,reparam,142,0.2113472745887967,0.09048149163428108,-0.12086578295451564,-0.14143753351501287,-0.1012622962840712,0.9366197183098591,108.25211267605634,112.62535211267605
scale+thin,40,ga,raw,142,0.30427748036028873,0.09048149163428108,-0.21379598872600766,-0.2456305857501854,-0.18359039657834245,0.9647887323943662,113.42957746478874,112.62535211267605
scale+thin,40,ga,reparam,142,0.23614882539332402,0.09048149163428108,-0.14566733375904298,-0.16485320343420207,-0.12751877983726695,0.9436619718309859,107.4112676056338,112.62535211267605
scale+thin,40,rand,raw,142,0.32319280485088064,0.09048149163428108,-0.23271131321659952,-0.26745968078043625,-0.1995677022968325,0.9577464788732394,111.78450704225352,112.62535211267605
scale+thin,40,rand,reparam,142,0.22005638343738654,0.09048149163428108,-0.1295748918031054,-0.14662997364693608,-0.11360369465813887,0.9647887323943662,107.3774647887324,112.62535211267605
