method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
cmaes,raw,none,10,710,142,5,0.6746478873239437,1.4446469375782778,1.185908503002017,2.6022868881375443,7.74962030239473,0.10010718591022538,0.0,0.0,10.0,0.0,10.0,10
cmaes,raw,none,25,710,142,5,0.8464788732394366,0.9397948076787266,0.7878729576841144,1.645166655439286,4.888166239286936,0.027680148675565536,0.0,0.0,25.0,0.0,25.0,25
cmaes,raw,none,40,710,142,5,0.9056338028169014,0.6555572275024847,0.564601824440579,1.1717681935863502,2.053316545034952,0.046841431312899764,0.0,0.0,40.0,0.0,40.0,40
cmaes,raw,none,100,710,142,5,0.9774647887323944,0.36110997248122806,0.3177970720225418,0.6282332697450389,1.5227121431477482,0.023501444234282784,0.0,0.0014084507042253522,100.0,0.0,100.0,100
cmaes,raw,none,400,710,142,5,0.9943661971830986,0.08564397697047997,0.06006199858064995,0.1923401230068654,0.580511599009671,0.003869179093120082,0.17183098591549295,0.4323943661971831,400.0,0.0,400.0,400
cmaes,raw,none,1600,710,142,5,0.995774647887324,0.017318957131808296,-0.0006214821272406,0.07589385186437127,1.2878473436436026,0.006893247883876297,0.7633802816901408,0.8591549295774648,1600.0,0.0,1600.0,1600
de,raw,none,10,710,142,5,0.7225352112676057,1.1792418509296123,1.0685095461613918,1.982812427517946,4.180671771465791,0.04368192620565588,0.0,0.0,10.0,0.0,10.0,10
de,raw,none,25,710,142,5,0.8056338028169014,0.7808624210876051,0.7069253503136849,1.25071541924504,2.503167422534878,0.05008132124163544,0.0,0.0,25.0,0.0,25.0,25
de,raw,none,40,710,142,5,0.8422535211267606,0.6296341054482391,0.556070762436142,1.0962033046292952,2.783591002525424,0.024551447811355816,0.0,0.0,40.0,0.0,40.0,40
de,raw,none,100,710,142,5,0.9507042253521126,0.3682256528839271,0.3174567151986565,0.6205283474553382,2.066649919040229,0.02601057566271426,0.0,0.0028169014084507044,100.0,0.0,100.0,100
de,raw,none,400,710,142,5,0.9943661971830986,0.10290430015987191,0.07260783323735034,0.2173913700975629,0.8437905397307399,0.004095608669371968,0.12253521126760564,0.3464788732394366,400.0,0.0,400.0,400
de,raw,none,1600,710,142,5,1.0,0.012049748519314058,0.00403206272859955,0.03362848464209301,0.4709935597320409,0.0018895632957408052,0.795774647887324,0.9450704225352112,1600.0,0.0,1600.0,1600
ga,raw,none,10,710,142,5,0.7126760563380282,1.235639598358265,1.0585005406920736,2.2436625174936573,4.6605553517807925,0.04101295516208777,0.0,0.0,10.0,0.0,10.0,10
ga,raw,none,25,710,142,5,0.7929577464788733,0.8672150785569557,0.7723552162191405,1.4856909491832822,4.232809504275787,0.014766107573955986,0.0,0.0,25.0,0.0,25.0,25
ga,raw,none,40,710,142,5,0.8591549295774648,0.6778982903504097,0.5839424479887991,1.2036012104460743,3.064438015852641,0.03291519120521107,0.0,0.0,40.0,0.0,40.0,40
ga,raw,none,100,710,142,5,0.9577464788732394,0.3939520843106514,0.34217603516898076,0.6875832941302368,1.945934939313008,0.025196887685998128,0.0014084507042253522,0.007042253521126761,100.0,0.0,100.0,100
ga,raw,none,400,710,142,5,1.0,0.12526581605295983,0.1039872016905577,0.25091006783150915,0.7263024267479106,0.010279226874022841,0.04507042253521127,0.22535211267605634,400.0,0.0,400.0,400
ga,raw,none,1600,710,142,5,1.0,0.03007521830052783,0.01999597886621225,0.06745196787997158,0.3675591757697811,0.002235738279874872,0.5,0.8253521126760563,1600.0,0.0,1600.0,1600
rand,raw,none,10,710,142,5,0.7098591549295775,1.244583505305167,1.073505775348304,2.2237135135308,4.700083088922396,0.03987596099093892,0.0,0.0,10.0,0.0,10.0,10
rand,raw,none,25,710,142,5,0.7859154929577464,0.9310930887501708,0.8211936755293003,1.5640820347516358,3.226702936885615,0.04788581629220616,0.0,0.0,25.0,0.0,25.0,25
rand,raw,none,40,710,142,5,0.8253521126760563,0.8027556963609989,0.7080740260112646,1.333500452924937,3.3980236303850244,0.05537405851044734,0.0,0.0,40.0,0.0,40.0,40
rand,raw,none,100,710,142,5,0.8704225352112676,0.592864541323831,0.5336522316180632,0.9217147718495279,2.091783942740927,0.031300266170599216,0.0,0.0,100.0,0.0,100.0,100
rand,raw,none,400,710,142,5,0.9211267605633803,0.41979535132878465,0.37352310287304624,0.6420362488341633,1.9119974382993377,0.00526326128673122,0.0,0.0014084507042253522,400.0,0.0,400.0,400
rand,raw,none,1600,710,142,5,0.9478873239436619,0.29163140568375345,0.2548381045372621,0.4373696153784332,1.6434064692621568,0.004601864010339117,0.0,0.0028169014084507044,1600.0,0.0,1600.0,1600
cmaes,reparam,none,10,710,142,5,0.9042253521126761,0.7870703237940738,0.6817521332019207,1.4972378038234033,4.6584897101942655,0.021141283596920517,0.0,0.0014084507042253522,10.0,0.0,10.0,10
cmaes,reparam,none,25,710,142,5,0.9352112676056338,0.5503483896212118,0.45462594265153977,1.0640181619116988,2.1170892962417045,0.020378312309951203,0.0,0.004225352112676056,25.0,0.0,25.0,25
cmaes,reparam,none,40,710,142,5,0.9436619718309859,0.43206483695425973,0.36589287753254873,0.8967833232238708,1.7303450251775745,0.02794757579311917,0.004225352112676056,0.015492957746478873,40.0,0.0,40.0,40
cmaes,reparam,none,100,710,142,5,0.9788732394366197,0.22532870246227937,0.1684134472486236,0.4669176514889396,1.3512613724458309,0.006324069953003187,0.02535211267605634,0.08873239436619719,100.0,0.0,100.0,100
cmaes,reparam,none,400,710,142,5,0.9971830985915493,0.09052321821229783,0.07045184607450611,0.15797635520099035,1.3227940429103882,0.006054828690991459,0.12253521126760564,0.3380281690140845,400.0,0.0,400.0,400
cmaes,reparam,none,1600,710,142,5,1.0,0.03726143508853248,0.0261676842870295,0.08516212215996916,0.4707632155144301,0.003276261465851374,0.4422535211267606,0.6957746478873239,1600.0,0.0,1600.0,1600
de,reparam,none,10,710,142,5,0.8873239436619719,0.6598583320204277,0.5491592910275935,1.2326249694198896,2.2560326872587217,0.03377901927839635,0.0,0.0014084507042253522,10.0,0.0,10.0,10
de,reparam,none,25,710,142,5,0.9492957746478873,0.3977978709145775,0.35458917877845214,0.6481199104887272,1.9732321104087989,0.02134158762275987,0.0,0.008450704225352112,25.0,0.0,25.0,25
de,reparam,none,40,710,142,5,0.967605633802817,0.33572277349039314,0.31506763708844,0.5331446566122962,1.7523068323926112,0.015904924757719017,0.004225352112676056,0.015492957746478873,40.0,0.0,40.0,40
de,reparam,none,100,710,142,5,0.9901408450704225,0.20510196095035158,0.1849399887714233,0.35139453423283207,1.0558912513051588,0.007279393873210627,0.01267605633802817,0.056338028169014086,100.0,0.0,100.0,100
