mode,gen_budget,baseline,space,n_contexts,baseline_gap_mean,rl_gap_mean,diff_rl_minus_baseline,ci95_lo,ci95_hi,rl_win_rate,baseline_mean_total_evals,rl_mean_total_evals
none,40,de,raw,131,0.6867941485736856,0.2764404265610307,-0.4103537220126549,-0.45377985273169763,-0.36880402037667,0.9923664122137404,40.0,40.364788732394366
none,40,de,reparam,141,0.37673278345043804,0.2909070430790896,-0.08582574037134838,-0.11068324870861579,-0.06243172404767289,0.75177304964539,40.0,40.364788732394366
none,40,ga,raw,136,0.7374522572473,0.2826741494889788,-0.4547781077583212,-0.4981492385525284,-0.41264014126364756,0.9705882352941176,40.0,40.364788732394366
none,40,ga,reparam,141,0.4035138634476335,0.28737547250549017,-0.11613839094214341,-0.14391142526590403,-0.0895534883619934,0.8014184397163121,40.0,40.364788732394366
scale,40,de,raw,142,0.5439759532512071,0.16084359390201997,-0.3831323593491871,-0.417703957080882,-0.34963487613913696,0.9507042253521126,57.99014084507042,57.364788732394366
scale,40,de,reparam,142,0.36901290441611706,0.16084359390201997,-0.20816931051409707,-0.23152006461802652,-0.18603033211447034,0.9507042253521126,57.92253521126761,57.364788732394366
scale,40,ga,raw,142,0.6086071740411931,0.16084359390201997,-0.447763580139173,-0.48652085771366443,-0.40918801619763245,0.9647887323943662,58.03239436619718,57.364788732394366
scale,40,ga,reparam,142,0.3998433174574477,0.16084359390201997,-0.23899972355542776,-0.2632632054565886,-0.21356734897601917,0.9366197183098591,57.96197183098592,57.364788732394366
scale+thin,40,de,raw,142,0.29626599372875395,0.07494376580122376,-0.22132222792753023,-0.2482254236902974,-0.19381787212868012,0.9507042253521126,112.40845070422536,111.6943661971831
scale+thin,40,de,reparam,142,0.23609555094574058,0.07494376580122376,-0.16115178514451683,-0.1818212794277316,-0.1406774069141512,0.9436619718309859,109.8225352112676,111.6943661971831
scale+thin,40,ga,raw,142,0.3339020847335156,0.07494376580122376,-0.25895831893229193,-0.2883420061002599,-0.23148768935817282,0.971830985915493,113.70140845070422,111.6943661971831
scale+thin,40,ga,reparam,142,0.2775162197401852,0.07494376580122376,-0.20257245393896142,-0.22364635691336932,-0.1821730119311949,0.9507042253521126,107.57323943661972,111.6943661971831
