context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
0,6.0,20.0,241.3288087904857,ppo_corrected,policy,40,0,none,40,1,41,1,313.8746872292073,0.30061010453875703
1,6.0,30.909091,292.67799548197263,ppo_corrected,policy,40,0,none,40,1,41,1,367.7011439491176,0.25633340949871974
2,6.0,41.818182,342.2853688824266,ppo_corrected,policy,40,0,none,40,1,41,1,413.3092440012916,0.20749900981967273
3,6.0,52.727273,386.25765574493386,ppo_corrected,policy,40,0,none,40,1,41,1,539.797639636737,0.3975066425432707
4,6.0,63.636364,431.68145507497405,ppo_corrected,policy,40,0,none,40,1,41,1,575.2586134331511,0.33259978317400907
5,6.0,74.545455,466.9500019446189,ppo_corrected,policy,40,0,none,40,1,41,1,592.6487470934956,0.26919101536653334
6,6.0,85.454545,518.2473353887603,ppo_corrected,policy,40,0,none,40,1,41,1,628.0139519965306,0.21180353300886634
7,6.0,96.363636,549.7256874002802,ppo_corrected,policy,40,0,none,40,1,41,1,777.128901151628,0.4136667049829259
8,6.0,107.272727,586.6560772595034,ppo_corrected,policy,40,0,none,40,1,41,1,778.0593318868406,0.32626143672022545
9,6.0,118.181818,628.4217050081675,ppo_corrected,policy,40,0,none,40,1,41,1,781.4971955975113,0.24358721121409133
10,6.0,129.090909,657.4964976148059,ppo_corrected,policy,40,0,none,40,1,41,1,838.2785922824035,0.2749552207858432
11,6.0,140.0,697.879425726456,ppo_corrected,policy,40,0,none,40,1,41,1,1000.2845430187368,0.43332000650039637
12,6.818182,20.0,317.0885192434045,ppo_corrected,policy,40,0,none,40,1,41,1,416.2071177146744,0.3125896790832221
13,6.818182,30.909091,392.6423822212096,ppo_corrected,policy,40,0,none,40,1,41,1,483.6727564407341,0.2318404185115177
14,6.818182,41.818182,455.0251859822217,ppo_corrected,policy,40,0,none,40,1,41,1,630.8302529375261,0.3863633758553604
15,6.818182,52.727273,519.9507333014534,ppo_corrected,policy,40,0,none,40,1,41,1,676.907676186859,0.30186887493897663
16,6.818182,63.636364,570.1996303697795,ppo_corrected,policy,40,0,none,40,1,41,1,723.8180584710425,0.26941165851272153
17,6.818182,74.545455,645.0378754655677,ppo_corrected,policy,40,0,none,40,1,41,1,656.4860627516109,0.017748085378366696
18,6.818182,85.454545,698.212152166206,ppo_corrected,policy,40,0,none,40,1,41,1,955.1399839052996,0.3679796046831525
19,6.818182,96.363636,733.8166260116295,ppo_corrected,policy,40,0,none,40,1,41,1,952.6447015863826,0.29820539330664486
20,6.818182,107.272727,798.4291807439346,ppo_corrected,policy,40,0,none,40,1,41,1,1066.303193576883,0.3355012808817399
21,6.818182,118.181818,860.6462645405438,ppo_corrected,policy,40,0,none,40,1,41,1,1028.983918957134,0.19559447516623707
22,6.818182,129.090909,896.311601431932,ppo_corrected,policy,40,0,none,40,1,41,1,1251.775949042292,0.3965856818571536
23,6.818182,140.0,931.1411275891702,ppo_corrected,policy,40,0,none,40,1,41,1,1108.7633551312674,0.19075757936069393
24,7.636364,20.0,409.6201332461394,ppo_corrected,policy,40,0,none,40,1,41,1,527.5962246537443,0.2880134100652554
25,7.636364,30.909091,501.774525145321,ppo_corrected,policy,40,0,none,40,1,41,1,701.4218042621717,0.39788245339683215
26,7.636364,41.818182,593.9298338756057,ppo_corrected,policy,40,0,none,40,1,41,1,766.1053453438255,0.2898920068465205
27,7.636364,52.727273,675.9362632758116,ppo_corrected,policy,40,0,none,40,1,41,1,727.4619224801852,0.0762285765741626
28,7.636364,63.636364,779.5020738899598,ppo_corrected,policy,40,0,none,40,1,41,1,1104.4816490919943,0.4169066203766265
29,7.636364,74.545455,846.6406079690952,ppo_corrected,policy,40,0,none,40,1,41,1,1198.1548569410766,0.41518708843317453
30,7.636364,85.454545,921.2774310054268,ppo_corrected,policy,40,0,none,40,1,41,1,1056.313552759098,0.14657487224700683
31,7.636364,96.363636,990.3158107657674,ppo_corrected,policy,40,0,none,40,1,41,1,1083.1772999492111,0.09376957145785458
32,7.636364,107.272727,1055.0870687226268,ppo_corrected,policy,40,0,none,40,1,41,1,1402.8032182109894,0.3295615687047855
33,7.636364,118.181818,1088.4839809208006,ppo_corrected,policy,40,0,none,40,1,41,1,1412.1850177518477,0.2973870470351001
34,7.636364,129.090909,1173.7978050697595,ppo_corrected,policy,40,0,none,40,1,41,1,1673.1882338379646,0.4254484261354756
35,7.636364,140.0,1251.7374258469372,ppo_corrected,policy,40,0,none,40,1,41,1,1775.25781210535,0.41823498718526686
36,8.454545,20.0,516.1523336674153,ppo_corrected,policy,40,0,none,40,1,41,1,776.100601703613,0.5036270323320797
37,8.454545,30.909091,633.218032838701,ppo_corrected,policy,40,0,none,40,1,41,1,929.0432081547392,0.4671774333239709
38,8.454545,41.818182,757.3789000305048,ppo_corrected,policy,40,0,none,40,1,41,1,1049.5338334515454,0.3857447486446659
39,8.454545,52.727273,897.7427828478864,ppo_corrected,policy,40,0,none,40,1,41,1,1020.43577623276,0.13666831494390608
40,8.454545,63.636364,969.5859503873623,ppo_corrected,policy,40,0,none,40,1,41,1,1303.698918665461,0.34459345058023594
41,8.454545,74.545455,1093.1775012217977,ppo_corrected,policy,40,0,none,40,1,41,1,1238.9736571729304,0.13336915165943553
42,8.454545,85.454545,1181.2789978646645,ppo_corrected,policy,40,0,none,40,1,41,1,1608.4449030160863,0.3616130532444808
43,8.454545,96.363636,1257.923897819336,ppo_corrected,policy,40,0,none,40,1,41,1,1401.5973150928835,0.11421471324506305
44,8.454545,107.272727,1352.4875507253705,ppo_corrected,policy,40,0,none,40,1,41,1,1785.4434315275876,0.32011820040044925
45,8.454545,118.181818,1418.3994702060834,ppo_corrected,policy,40,0,none,40,1,41,1,1648.2235190485362,0.1620305518085543
46,8.454545,129.090909,1503.943042662674,ppo_corrected,policy,40,0,none,40,1,41,1,1907.8395110630088,0.2685583542347796
47,8.454545,140.0,1589.050557323039,ppo_corrected,policy,40,0,none,40,1,41,1,1985.0749242460024,0.24922074700386987
48,9.272727,20.0,633.3700898588271,ppo_corrected,policy,40,0,none,40,1,41,1,1067.2627220767563,0.6850538716071046
49,9.272727,30.909091,801.8071464602682,ppo_corrected,policy,40,0,none,40,1,41,1,1166.3061744421589,0.4545968810468224
50,9.272727,41.818182,962.5021253931346,ppo_corrected,policy,40,0,none,40,1,41,1,1251.3921719192022,0.3001448401041922
51,9.272727,52.727273,1070.6846994207378,ppo_corrected,policy,40,0,none,40,1,41,1,1466.922952800967,0.3700793086840619
52,9.272727,63.636364,1216.7126656588257,ppo_corrected,policy,40,0,none,40,1,41,1,1631.919090513538,0.3412526528026947
53,9.272727,74.545455,1356.4151141978043,ppo_corrected,policy,40,0,none,40,1,41,1,2051.4451098300133,0.5124021314398695
54,9.272727,85.454545,1422.5235716023028,ppo_corrected,policy,40,0,none,40,1,41,1,2142.982781396365,0.5064655687796802
55,9.272727,96.363636,1530.0841209322955,ppo_corrected,policy,40,0,none,40,1,41,1,2134.00791546666,0.39469973334955455
56,9.272727,107.272727,1647.0835657255905,ppo_corrected,policy,40,0,none,40,1,41,1,1940.431965469255,0.1781017101062723
57,9.272727,118.181818,1794.0191544704012,ppo_corrected,policy,40,0,none,40,1,41,1,2095.4950237073344,0.1680449556437036
