context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,n_gen,n_gen_sizing,mode,feasible,best_economy,gap,n_repair,n_total,wall_s
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,none,1,302.12812174580745,0.2519355781020982,0,10,0.02351628399992478
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,scale,1,300.60853164043607,0.24563881596670534,18,28,0.00926814199999626
0,6.0,20.0,241.3288087904857,ga,reparam,10,0,10,9,scale+thin,1,299.4037508517877,0.2406465367826056,54,64,0.04002552600002218
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,none,1,496.37909230160665,1.0568580054300427,0,10,0.008475885999928323
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,scale,1,495.21923254286287,1.0520518665999674,18,28,0.014778448000015487
0,6.0,20.0,241.3288087904857,ga,reparam,10,1,10,9,scale+thin,1,492.0180276802212,1.0387869568749921,54,64,0.03832181500001752
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,none,1,479.82203266678954,0.9882501184653687,0,10,0.005469850000054066
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,scale,1,460.2693490238183,0.9072291921160978,18,28,0.017949552999994012
0,6.0,20.0,241.3288087904857,ga,reparam,10,2,10,9,scale+thin,1,424.6620390484474,0.759682323783921,72,82,0.03984395800000584
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,none,1,355.3121101000582,0.47231535215726894,0,10,0.011880676000032508
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,scale,1,354.4076882289459,0.468567677457157,18,28,0.0091995359999828
0,6.0,20.0,241.3288087904857,ga,reparam,10,3,10,8,scale+thin,1,337.15043501001776,0.39705838146626515,75,85,0.03894718300000477
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,none,1,292.5292858561184,0.21216065053419864,0,10,0.0064156020000609715
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,scale,1,291.56467956758325,0.20816358821341874,18,28,0.01085377200001858
0,6.0,20.0,241.3288087904857,ga,reparam,10,4,10,9,scale+thin,1,255.9156925997849,0.060444021923478974,72,82,0.027495315999999548
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,none,1,423.0214471578593,0.7528841636354886,0,25,0.017015675000038755
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,scale,1,414.45871086177846,0.7174025469192897,18,43,0.007972537000000557
0,6.0,20.0,241.3288087904857,ga,reparam,25,0,25,22,scale+thin,1,414.45871086177846,0.7174025469192897,35,60,0.016170073000012053
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,none,1,274.95753135212067,0.13934814799019857,0,25,0.016291776000002756
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,scale,1,274.49851326509804,0.13744610368258714,18,43,0.014041622000036114
0,6.0,20.0,241.3288087904857,ga,reparam,25,1,25,22,scale+thin,1,255.3349253817025,0.05803748280785026,72,97,0.03395345299998098
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,none,1,407.79781369419624,0.6898016268262188,0,25,0.015836497999998755
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,scale,1,406.35331756561624,0.6838160334119072,18,43,0.008580531000006886
0,6.0,20.0,241.3288087904857,ga,reparam,25,2,25,22,scale+thin,1,393.30307633689927,0.6297394343762455,74,99,0.03215164299990647
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,none,1,303.2413554638447,0.2565485114838053,0,25,0.016163995000056275
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,scale,1,300.6083914346526,0.24563823499262205,18,43,0.016217113000038808
0,6.0,20.0,241.3288087904857,ga,reparam,25,3,25,22,scale+thin,1,299.4037508517877,0.2406465367826056,54,79,0.03218968600003791
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,none,1,457.96995503253794,0.8977011378286521,0,25,0.02514010800007327
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,scale,1,457.93036277297824,0.8975370784287067,18,43,0.009082965999937187
0,6.0,20.0,241.3288087904857,ga,reparam,25,4,25,21,scale+thin,1,457.93036277297824,0.8975370784287067,35,60,0.02343977900000027
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,none,1,302.61075232418455,0.25393546605909756,0,40,0.03392017300006955
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,scale,1,298.68232699028067,0.23765715534438137,18,58,0.008997516000022188
0,6.0,20.0,241.3288087904857,ga,reparam,40,0,40,36,scale+thin,1,298.68232699028067,0.23765715534438137,18,58,0.008142861999999695
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,none,1,403.0284410856727,0.670038662626349,0,40,0.03296461000002182
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,scale,1,373.7156620173803,0.5485745936856996,18,58,0.008416594999971494
0,6.0,20.0,241.3288087904857,ga,reparam,40,1,40,35,scale+thin,1,327.71096294800105,0.3579438136310933,72,112,0.047314868000057686
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,none,1,460.1691579246361,0.9068140278442303,0,40,0.02967127099998379
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,scale,1,457.93036277297824,0.8975370784287067,18,58,0.013851159999944684
0,6.0,20.0,241.3288087904857,ga,reparam,40,2,40,36,scale+thin,1,457.93036277297824,0.8975370784287067,18,58,0.00894115200003398
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,none,1,241.65234967119275,0.0013406641433677535,0,40,0.03684725099992647
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,scale,1,241.32488302723397,-1.6267279780768362e-05,18,58,0.02362067800004297
0,6.0,20.0,241.3288087904857,ga,reparam,40,3,40,35,scale+thin,1,241.32488302723397,-1.6267279780768362e-05,18,58,0.0207002580000335
0,6.0,20.0,241.3288087904857,ga,reparam,40,4,40,34,none,1,339.3835119573811,0.4063116362208685,0,40,0.0545556540000689
0,6.0,20.0,241.3288087904857,ga,reparam,40,4,40,34,scale,1,338.7659661230165,0.4037526966667404,18,58,0.008993870999915998
0,6.0,20.0,241.3288087904857,ga,reparam,40,4,40,34,scale+thin,1,330.9716678193878,0.37145527497600694,72,112,0.04919423299998016
0,6.0,20.0,241.3288087904857,ga,reparam,100,0,100,87,none,1,299.9042176246265,0.24272033300837337,0,100,0.07325378699999874
0,6.0,20.0,241.3288087904857,ga,reparam,100,0,100,87,scale,1,298.68200493824173,0.23765582084958758,18,118,0.015501726000024973
0,6.0,20.0,241.3288087904857,ga,reparam,100,0,100,87,scale+thin,1,298.68200493824173,0.23765582084958758,18,118,0.015001641000026211
0,6.0,20.0,241.3288087904857,ga,reparam,100,1,100,88,none,1,328.8759945517468,0.3627713831599231,0,100,0.08593961499991565
0,6.0,20.0,241.3288087904857,ga,reparam,100,1,100,88,scale,1,327.69384278338595,0.35787287239245313,18,118,0.007997646000035274
0,6.0,20.0,241.3288087904857,ga,reparam,100,1,100,88,scale+thin,1,327.69384278338595,0.35787287239245313,18,118,0.013010263999944982
0,6.0,20.0,241.3288087904857,ga,reparam,100,2,100,85,none,1,252.8727051938489,0.047834721686233594,0,100,0.1141341290000355
0,6.0,20.0,241.3288087904857,ga,reparam,100,2,100,85,scale,1,252.52502863994937,0.04639404597228958,18,118,0.010735963000001902
0,6.0,20.0,241.3288087904857,ga,reparam,100,2,100,85,scale+thin,1,252.52502863994937,0.04639404597228958,18,118,0.012053345999902376
0,6.0,20.0,241.3288087904857,ga,reparam,100,3,100,89,none,1,241.65066064647058,0.0013336652909279323,0,100,0.08200563399998373
0,6.0,20.0,241.3288087904857,ga,reparam,100,3,100,89,scale,1,241.324827055666,-1.6499210515608098e-05,18,118,0.011259404000043105
0,6.0,20.0,241.3288087904857,ga,reparam,100,3,100,89,scale+thin,1,241.324827055666,-1.6499210515608098e-05,18,118,0.020933916999979374
0,6.0,20.0,241.3288087904857,ga,reparam,100,4,100,88,none,1,302.0034150082336,0.25141882778870284,0,100,0.08281367600000067
0,6.0,20.0,241.3288087904857,ga,reparam,100,4,100,88,scale,1,300.60774042599,0.24563553739234045,18,118,0.006920143000002099
0,6.0,20.0,241.3288087904857,ga,reparam,100,4,100,88,scale+thin,1,299.4037508517877,0.2406465367826056,54,154,0.03259171700005936
0,6.0,20.0,241.3288087904857,ga,reparam,400,0,400,350,none,1,242.00901476614928,0.0028185858914759887,0,400,0.36319868399993993
0,6.0,20.0,241.3288087904857,ga,reparam,400,0,400,350,scale,1,241.32467505872566,-1.7129043899721808e-05,18,418,0.02322417199991378
0,6.0,20.0,241.3288087904857,ga,reparam,400,0,400,350,scale+thin,1,241.32467505872566,-1.7129043899721808e-05,18,418,0.009184001999983593
0,6.0,20.0,241.3288087904857,ga,reparam,400,1,400,345,none,1,241.34911460909626,8.414170986181801e-05,0,400,0.388973993000036
0,6.0,20.0,241.3288087904857,ga,reparam,400,1,400,345,scale,1,241.32472885359397,-1.6906132807692487e-05,18,418,0.00927184700003636
0,6.0,20.0,241.3288087904857,ga,reparam,400,1,400,345,scale+thin,1,241.32472885359397,-1.6906132807692487e-05,18,418,0.015348098000004029
0,6.0,20.0,241.3288087904857,ga,reparam,400,2,400,347,none,1,254.2956166647201,0.05373087423429723,0,400,0.40523005500006093
0,6.0,20.0,241.3288087904857,ga,reparam,400,2,400,347,scale,1,253.8912405439591,0.05205525115892695,18,418,0.008146523000050365
0,6.0,20.0,241.3288087904857,ga,reparam,400,2,400,347,scale+thin,1,253.8912405439591,0.05205525115892695,18,418,0.0148239029999786
0,6.0,20.0,241.3288087904857,ga,reparam,400,3,400,359,none,1,255.3230317075789,0.057988198703796456,0,400,0.32531022500006657
0,6.0,20.0,241.3288087904857,ga,reparam,400,3,400,359,scale,1,253.89177315754725,0.05205745816268581,18,418,0.01171133100001498
0,6.0,20.0,241.3288087904857,ga,reparam,400,3,400,359,scale+thin,1,253.89177315754725,0.05205745816268581,18,418,0.01928856500001075
0,6.0,20.0,241.3288087904857,ga,reparam,400,4,400,350,none,1,241.64081253690887,0.001292857442038775,0,400,0.3792599449999443
0,6.0,20.0,241.3288087904857,ga,reparam,400,4,400,350,scale,1,241.32477581814635,-1.6711524660317778e-05,18,418,0.010545756999931655
0,6.0,20.0,241.3288087904857,ga,reparam,400,4,400,350,scale+thin,1,241.32477581814635,-1.6711524660317778e-05,18,418,0.006656347999978607
0,6.0,20.0,241.3288087904857,de,reparam,10,0,10,9,none,1,265.20217563183434,0.09892464542877999,0,10,0.036055377000025146
0,6.0,20.0,241.3288087904857,de,reparam,10,0,10,9,scale,1,262.3595983363064,0.087145789395078,18,28,0.015029539000011027
0,6.0,20.0,241.3288087904857,de,reparam,10,0,10,9,scale+thin,1,258.0320105514722,0.06921345961429615,72,82,0.049122336999971594
