method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
de,raw,none,10,710,142,5,0.7225352112676057,1.2714105220478107,1.1777099925304824,2.050607145284887,4.180671771465791,0.042034019069392095,0.0,0.0,10.0,0.0,10.0,10
de,raw,none,25,710,142,5,0.8056338028169014,0.8532023790827107,0.7992499918042459,1.3557895640066067,3.1918778898518694,0.03574850045328885,0.0,0.0,25.0,0.0,25.0,25
de,raw,none,40,710,142,5,0.8422535211267606,0.6873288848927461,0.6058477502514134,1.185150826929064,3.466632288351315,0.018677873126882842,0.0,0.0,40.0,0.0,40.0,40
de,raw,none,100,710,142,5,0.9507042253521126,0.39869159792312286,0.3613522700848335,0.6972913349558202,1.5225213654733816,0.02407770540828803,0.0014084507042253522,0.0028169014084507044,100.0,0.0,100.0,100
de,raw,none,400,710,142,5,0.9943661971830986,0.10765380692012032,0.07559337918090495,0.23572152656846915,0.599165896977498,0.006538490982354337,0.12394366197183099,0.3323943661971831,400.0,0.0,400.0,400
ga,raw,none,10,710,142,5,0.7126760563380282,1.322809933291834,1.1700434259836123,2.3284132329407035,5.290821054828001,0.03900572674517439,0.0,0.0,10.0,0.0,10.0,10
ga,raw,none,25,710,142,5,0.7929577464788733,0.9367864404194973,0.856831149458688,1.5590629848784545,2.9682078451971328,0.011722522398409378,0.0,0.0,25.0,0.0,25.0,25
ga,raw,none,40,710,142,5,0.8591549295774648,0.7348427809103253,0.640096956209402,1.307707516755738,3.064438015852641,0.030353252140321033,0.0,0.0,40.0,0.0,40.0,40
ga,raw,none,100,710,142,5,0.9577464788732394,0.42076561760265013,0.3709393657652646,0.7296780972236048,1.86384019673079,0.016754993894323278,0.0014084507042253522,0.008450704225352112,100.0,0.0,100.0,100
ga,raw,none,400,710,142,5,1.0,0.1319477242964484,0.1113432489129617,0.25980937845395485,0.4989299666945912,0.005696305105947045,0.06338028169014084,0.19436619718309858,400.0,0.0,400.0,400
de,reparam,none,10,710,142,5,0.8873239436619719,0.722059533367115,0.6432413013541338,1.2300497664100658,2.3510557130431047,0.034085683214829424,0.0,0.0014084507042253522,10.0,0.0,10.0,10
de,reparam,none,25,710,142,5,0.9492957746478873,0.4382356579579182,0.3962011426288232,0.7285245758654474,1.6849661250754626,0.021775775843254023,0.0,0.007042253521126761,25.0,0.0,25.0,25
de,reparam,none,40,710,142,5,0.967605633802817,0.37430648722481247,0.3596054869874143,0.6045841415918175,1.5327119633626882,0.015640277835390695,0.0014084507042253522,0.011267605633802818,40.0,0.0,40.0,40
de,reparam,none,100,710,142,5,0.9901408450704225,0.22761514296581362,0.2073672282241698,0.393427489113022,0.8126853837631669,0.005092607305831769,0.014084507042253521,0.05211267605633803,100.0,0.0,100.0,100
de,reparam,none,400,710,142,5,1.0,0.07685187559929645,0.066362711704591,0.1553708398614131,0.3555439396179582,0.0029056508204899647,0.1352112676056338,0.3676056338028169,400.0,0.0,400.0,400
ga,reparam,none,10,710,142,5,0.8887323943661972,0.7374348026411792,0.6775254219492943,1.2310494420408469,2.2898258106551697,0.03247812711751442,0.0014084507042253522,0.005633802816901409,10.0,0.0,10.0,10
ga,reparam,none,25,710,142,5,0.9408450704225352,0.48574751128163113,0.44935092500703705,0.8253103124789231,1.4636395259210482,0.019030714926019033,0.0014084507042253522,0.007042253521126761,25.0,0.0,25.0,25
ga,reparam,none,40,710,142,5,0.9633802816901409,0.4065566913554615,0.37500099071215,0.7013267556943596,1.3454611091202282,0.025537810375884172,0.004225352112676056,0.015492957746478873,40.0,0.0,40.0,40
ga,reparam,none,100,710,142,5,0.9746478873239437,0.255057352331986,0.2182234639657788,0.4716852123830991,1.11469439799889,0.007606180160553185,0.018309859154929577,0.06901408450704226,100.0,0.0,100.0,100
ga,reparam,none,400,710,142,5,0.9985915492957746,0.09375331859781852,0.0763574752744087,0.20841971527909062,0.58215277642173,0.00521579274179212,0.20704225352112676,0.37464788732394366,400.0,0.0,400.0,400
de,raw,scale,10,710,142,5,0.9549295774647887,0.8405580267509712,0.7565356747066612,1.4887651095726153,2.71603094560066,0.049941267065583224,0.0028169014084507044,0.004225352112676056,10.0,18.104225352112675,28.104225352112675,35
de,raw,scale,25,710,142,5,0.9746478873239437,0.6487242268245856,0.5709251761654107,1.1064076434957033,1.97045169997456,0.032058751982090135,0.0014084507042253522,0.005633802816901409,25.0,18.0943661971831,43.0943661971831,50
de,raw,scale,40,710,142,5,0.9732394366197183,0.5514381243446457,0.478792659665296,0.98450816441712,2.5414819211809845,0.013595989756106104,0.005633802816901409,0.008450704225352112,40.0,17.99014084507042,57.99014084507042,65
de,raw,scale,100,710,142,5,0.9915492957746479,0.33102460314605264,0.28551703573104903,0.6241014593122789,1.4722927831799597,0.014020979081117938,0.011267605633802818,0.030985915492957747,100.0,18.001408450704226,118.00140845070422,125
de,raw,scale,400,710,142,5,0.9985915492957746,0.09634307306479836,0.0640011256015877,0.22101238070826804,0.5957495634526251,0.006509299874507721,0.18873239436619718,0.4154929577464789,400.0,17.991549295774647,417.99154929577463,419
ga,raw,scale,10,710,142,5,0.9492957746478873,0.8835880862845362,0.7735360716598886,1.5664008635295121,3.152129648475689,0.046998605408399355,0.0028169014084507044,0.0028169014084507044,10.0,18.13661971830986,28.13661971830986,35
ga,raw,scale,25,710,142,5,0.967605633802817,0.7045261665357812,0.6179226720815523,1.2661865706832751,2.6281530857419955,0.020299463984242237,0.0014084507042253522,0.004225352112676056,25.0,18.123943661971833,43.12394366197183,50
ga,raw,scale,40,710,142,5,0.9774647887323944,0.6109682338498573,0.5216894465421819,1.1472933269584933,2.009203938280679,0.014013464836088813,0.0014084507042253522,0.005633802816901409,40.0,18.032394366197185,58.03239436619718,65
ga,raw,scale,100,710,142,5,0.9887323943661972,0.373537352812217,0.32339405268226196,0.7029058677138085,1.688509165527889,0.014700593424266275,0.009859154929577466,0.02535211267605634,100.0,17.971830985915492,117.97183098591549,124
ga,raw,scale,400,710,142,5,1.0,0.11969698313925717,0.09906949131232495,0.24794822277453088,0.4808833474232308,0.005936690005090297,0.10985915492957747,0.23943661971830985,400.0,18.0,418.0,418
de,reparam,scale,10,710,142,5,0.9394366197183098,0.6957462826305894,0.6168360085363209,1.192730628374571,2.346934217350233,0.03380995741429909,0.005633802816901409,0.008450704225352112,10.0,17.528169014084508,27.528169014084508,33
de,reparam,scale,25,710,142,5,0.9788732394366197,0.4304748608256826,0.3922294746858397,0.726236200289251,1.6815542680540785,0.0214564057798004,0.005633802816901409,0.014084507042253521,25.0,17.850704225352114,42.85070422535211,49
