reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals
PPO (5 seeds),gp,50,1,none,0.053131799457536634,0.43124232324465417,-0.37811052378711746,-0.41300825435463534,-0.34387749613188456,0.9929078014184397,4.598591549295775,39.91267605633803
PPO (5 seeds),gp,50,1,scale,0.047570575769305054,0.1949954392653361,-0.14742486349603107,-0.1621614031489707,-0.1340526589429392,1.0,22.633802816901408,56.91267605633803
PPO (5 seeds),gp,50,1,scale+thin,0.03915581945230781,0.09048149163428103,-0.05132567218197322,-0.0623125273303325,-0.04210556345693614,0.9014084507042254,66.61267605633803,112.62535211267605
PPO (5 seeds),gp,50,2,none,0.06329906729570903,0.4334410649437438,-0.3701419976480348,-0.40681537190347183,-0.33413871259668,0.9788732394366197,9.422535211267606,39.91267605633803
PPO (5 seeds),gp,50,2,scale,0.05991285889723018,0.1949954392653361,-0.13508258036810597,-0.1492719759970903,-0.12046223965994791,0.9647887323943662,27.460093896713616,56.91267605633803
PPO (5 seeds),gp,50,2,scale+thin,0.051160896305282894,0.09048149163428103,-0.03932059532899814,-0.04843245791899837,-0.02957941430391381,0.8943661971830986,72.38028169014085,112.62535211267605
PPO (5 seeds),gp,50,3,none,0.06561923153378187,0.4334410649437438,-0.36782183340996194,-0.404641564673299,-0.3318442608978505,0.9859154929577465,13.97887323943662,39.91267605633803
PPO (5 seeds),gp,50,3,scale,0.06432139306587834,0.1949954392653361,-0.1306740461994578,-0.14497324630270408,-0.1165170578560412,0.9507042253521126,32.00469483568075,56.91267605633803
PPO (5 seeds),gp,50,3,scale+thin,0.05556943047393105,0.09048149163428103,-0.034912061160349984,-0.044248881970042724,-0.02517471895084156,0.8661971830985915,77.00704225352112,112.62535211267605
PPO (5 seeds),gp,100,1,none,0.05375527695440645,0.4301855307475625,-0.3764302537931561,-0.4116049859701889,-0.3416786957114438,0.9928057553956835,4.544600938967136,39.91267605633803
PPO (5 seeds),gp,100,1,scale,0.047526761415162065,0.1949954392653361,-0.1474686778501741,-0.1643002448592547,-0.13175422040779308,0.9929577464788732,22.572769953051644,56.91267605633803
PPO (5 seeds),gp,100,1,scale+thin,0.0382311037376437,0.09048149163428103,-0.052250387896637336,-0.0667816153778675,-0.04027546422472125,0.8661971830985915,66.0469483568075,112.62535211267605
PPO (5 seeds),gp,100,2,none,0.05827837538699774,0.43124232324465417,-0.3729639478576564,-0.40864701402222403,-0.33715970098021,0.9787234042553191,9.549295774647888,39.91267605633803
PPO (5 seeds),gp,100,2,scale,0.05066335719698283,0.1949954392653361,-0.14433208206835332,-0.15859884915420883,-0.13093345205006493,0.9859154929577465,27.612676056338028,56.91267605633803
PPO (5 seeds),gp,100,2,scale+thin,0.04158060097249989,0.09048149163428103,-0.048900890661781146,-0.05866249807138266,-0.03958358940243314,0.8802816901408451,72.07511737089202,112.62535211267605
PPO (5 seeds),gp,100,3,none,0.06050785484504564,0.43124232324465417,-0.37073446839960855,-0.4076585892835919,-0.33583804140647305,0.9645390070921985,13.990610328638498,39.91267605633803
PPO (5 seeds),gp,100,3,scale,0.060528248899642784,0.1949954392653361,-0.13446719036569335,-0.14997331429839253,-0.11901640408860537,0.9577464788732394,32.02582159624413,56.91267605633803
PPO (5 seeds),gp,100,3,scale+thin,0.05144549267515985,0.09048149163428103,-0.039035998959121194,-0.04959232437178221,-0.028664910381177633,0.8450704225352113,76.60798122065728,112.62535211267605
PPO (5 seeds),gp,208,1,none,0.06551656668983127,0.4302489755759964,-0.3647324088861651,-0.40147307440303137,-0.32895365529715515,0.9784172661870504,4.15962441314554,39.91267605633803
PPO (5 seeds),gp,208,1,scale,0.0579582271304523,0.1949954392653361,-0.13703721213488385,-0.15522585895562893,-0.12008647669291375,0.9225352112676056,22.215962441314552,56.91267605633803
PPO (5 seeds),gp,208,1,scale+thin,0.04011667131756215,0.09048149163428103,-0.05036482031671889,-0.06530219022718166,-0.03760657798162562,0.8309859154929577,65.85211267605634,112.62535211267605
PPO (5 seeds),gp,208,2,none,0.06709996769275316,0.4303112005999481,-0.3632112329071949,-0.40070991799665073,-0.3275088031134479,0.9787234042553191,8.69718309859155,39.91267605633803
PPO (5 seeds),gp,208,2,scale,0.059021165223855074,0.1949954392653361,-0.13597427404148107,-0.1539143924337513,-0.12000142631103618,0.9366197183098591,26.727699530516432,56.91267605633803
PPO (5 seeds),gp,208,2,scale+thin,0.04191213691686196,0.09048149163428103,-0.04856935471741908,-0.06251903997342617,-0.03697827985697198,0.8309859154929577,70.81455399061034,112.62535211267605
PPO (5 seeds),gp,208,3,none,0.06998657876176072,0.4334410649437438,-0.36345448618198317,-0.39893628715975243,-0.3286877919880855,0.971830985915493,12.694835680751174,39.91267605633803
PPO (5 seeds),gp,208,3,scale,0.0669380200946963,0.1949954392653361,-0.12805741917063984,-0.14383406793256195,-0.11182733455453345,0.9295774647887324,30.694835680751172,56.91267605633803
PPO (5 seeds),gp,208,3,scale+thin,0.04947719374364729,0.09048149163428103,-0.041004297890633756,-0.051401826794444834,-0.03102269785865913,0.7816901408450704,74.83568075117371,112.62535211267605
PPO (5 seeds),knn,50,1,none,0.02254986424673867,0.43124232324465417,-0.4086924589979155,-0.4463003555057759,-0.3719671363460881,0.9929078014184397,3.927230046948357,39.91267605633803
PPO (5 seeds),knn,50,1,scale,0.014715836986078963,0.1949954392653361,-0.18027960227925718,-0.19476335231750266,-0.1665681866378432,0.9929577464788732,21.927230046948356,56.91267605633803
PPO (5 seeds),knn,50,1,scale+thin,0.00917798751537825,0.09048149163428103,-0.08130350411890279,-0.0922772039997618,-0.07136167209291552,0.9366197183098591,64.85680751173709,112.62535211267605
PPO (5 seeds),knn,50,2,none,0.02581373502340555,0.4334410649437438,-0.4076273299203383,-0.4456973023635743,-0.3727021264963048,0.9788732394366197,8.12206572769953,39.91267605633803
PPO (5 seeds),knn,50,2,scale,0.02208302867558904,0.1949954392653361,-0.1729124105897471,-0.18627084622858758,-0.15910008253407013,0.971830985915493,26.145539906103288,56.91267605633803
PPO (5 seeds),knn,50,2,scale+thin,0.015503964456044506,0.09048149163428103,-0.07497752717823652,-0.08407393252765062,-0.06566366421122816,0.9577464788732394,69.9225352112676,112.62535211267605
PPO (5 seeds),knn,50,3,none,0.02401401472284216,0.4334410649437438,-0.4094270502209017,-0.4460188427824574,-0.3732523423785225,0.9929577464788732,12.051643192488262,39.91267605633803
PPO (5 seeds),knn,50,3,scale,0.021659552230393397,0.1949954392653361,-0.17333588703494268,-0.1873185365911256,-0.15906788126455887,0.9647887323943662,30.070422535211268,56.91267605633803
PPO (5 seeds),knn,50,3,scale+thin,0.015148535067918772,0.09048149163428103,-0.07533295656636226,-0.08482060440482692,-0.06568612384530031,0.9577464788732394,73.84507042253522,112.62535211267605
PPO (5 seeds),knn,100,1,none,0.011561845666082527,0.42807439742912345,-0.416512551763041,-0.45274781284191495,-0.38118066043383764,1.0,3.607981220657277,39.91267605633803
PPO (5 seeds),knn,100,1,scale,0.010099801187177085,0.1949954392653361,-0.18489563807815906,-0.20047249964888023,-0.17028770350373704,0.9929577464788732,21.58450704225352,56.91267605633803
PPO (5 seeds),knn,100,1,scale+thin,0.006738990525962515,0.09048149163428103,-0.08374250110831853,-0.09851819738711892,-0.07166811277185711,0.9295774647887324,64.1924882629108,112.62535211267605
PPO (5 seeds),knn,100,2,none,0.017369869280341878,0.43124232324465417,-0.41387245396431227,-0.4488050906230418,-0.3784367440963803,0.9858156028368794,7.97887323943662,39.91267605633803
PPO (5 seeds),knn,100,2,scale,0.011733009940798489,0.1949954392653361,-0.18326242932453765,-0.196743683857366,-0.17027148529910952,0.9859154929577465,26.009389671361504,56.91267605633803
PPO (5 seeds),knn,100,2,scale+thin,0.007678437346750594,0.09048149163428103,-0.08280305428753044,-0.09305525017375646,-0.07319532896463528,0.971830985915493,69.27934272300469,112.62535211267605
PPO (5 seeds),knn,100,3,none,0.012267229984247757,0.43124232324465417,-0.4189750932604064,-0.45524228963996477,-0.3846231275461293,0.9929078014184397,11.76056338028169,39.91267605633803
PPO (5 seeds),knn,100,3,scale,0.011950610013292043,0.1949954392653361,-0.1830448292520441,-0.1961769334605786,-0.1707095139398791,0.9929577464788732,29.781690140845072,56.91267605633803
PPO (5 seeds),knn,100,3,scale+thin,0.007935962970310703,0.09048149163428103,-0.08254552866397034,-0.09200677407214365,-0.07369257165371083,0.9788732394366197,73.04460093896714,112.62535211267605
PPO (5 seeds),knn,208,1,none,0.0041251845535302725,0.43124232324465417,-0.4271171386911239,-0.4623619942364538,-0.3946911049960449,1.0,3.6502347417840375,39.91267605633803
PPO (5 seeds),knn,208,1,scale,0.0017862948279821864,0.1949954392653361,-0.19320914443735393,-0.20854153500524325,-0.17922732183504533,1.0,21.661971830985916,56.91267605633803
PPO (5 seeds),knn,208,1,scale+thin,0.0013123437376109765,0.09048149163428103,-0.08916914789667006,-0.10339269932576906,-0.07743067907219806,0.9436619718309859,64.1830985915493,112.62535211267605
PPO (5 seeds),knn,208,2,none,0.008135173468966788,0.4334410649437438,-0.42530589147477704,-0.4604727469778394,-0.39203045589132834,1.0,7.913145539906103,39.91267605633803
PPO (5 seeds),knn,208,2,scale,0.0036512541537899977,0.1949954392653361,-0.1913441851115461,-0.20604706852329677,-0.17739302493922682,1.0,25.920187793427232,56.91267605633803
PPO (5 seeds),knn,208,2,scale+thin,0.0022871825536010097,0.09048149163428103,-0.08819430908068003,-0.10056633166037557,-0.07778514343414804,0.9859154929577465,68.88732394366197,112.62535211267605
PPO (5 seeds),knn,208,3,none,0.009711710955389176,0.4334410649437438,-0.42372935398835476,-0.4589148249584633,-0.39008467156446924,1.0,11.553990610328638,39.91267605633803
PPO (5 seeds),knn,208,3,scale,0.006183712897608359,0.1949954392653361,-0.18881172636772775,-0.203024415116934,-0.17546884779325123,1.0,29.544600938967136,56.91267605633803
PPO (5 seeds),knn,208,3,scale+thin,0.0044409890931337015,0.09048149163428103,-0.08604050254114734,-0.09656155166531026,-0.07623054864948133,0.9788732394366197,72.52347417840376,112.62535211267605
PPO (5 seeds),mlp,50,1,none,0.08744248813927392,0.4334410649437438,-0.3459985768044699,-0.38387437835436616,-0.30978242726354005,0.9859154929577465,3.880281690140845,39.91267605633803
PPO (5 seeds),mlp,50,1,scale,0.07903366782793363,0.1949954392653361,-0.1159617714374025,-0.13294875309544274,-0.09965964259142965,0.8661971830985915,21.854460093896712,56.91267605633803
PPO (5 seeds),mlp,50,1,scale+thin,0.050898993515847,0.09048149163428103,-0.03958249811843401,-0.051634852743663535,-0.02820844599420915,0.7887323943661971,65.82863849765258,112.62535211267605
PPO (5 seeds),mlp,50,2,none,0.08633240025162682,0.4334410649437438,-0.34710866469211693,-0.3850702476981281,-0.3127141990718658,0.9859154929577465,7.828638497652582,39.91267605633803
PPO (5 seeds),mlp,50,2,scale,0.08237392963610796,0.1949954392653361,-0.11262150962922818,-0.12890392801666614,-0.09649288425218523,0.8661971830985915,25.845070422535212,56.91267605633803
PPO (5 seeds),mlp,50,2,scale+thin,0.055375845600164106,0.09048149163428103,-0.03510564603411692,-0.04470817251296041,-0.02557790323025524,0.8169014084507042,70.48826291079813,112.62535211267605
PPO (5 seeds),mlp,50,3,none,0.08584313306227297,0.4334410649437438,-0.3475979318814708,-0.38469601312158447,-0.31134256133346133,0.9859154929577465,11.612676056338028,39.91267605633803
PPO (5 seeds),mlp,50,3,scale,0.08273283015045164,0.1949954392653361,-0.11226260911488449,-0.1287560809295209,-0.09633387787245377,0.8661971830985915,29.62676056338028,56.91267605633803
PPO (5 seeds),mlp,50,3,scale+thin,0.05573971820430563,0.09048149163428103,-0.034741773429975406,-0.04458864309340991,-0.02476681528089695,0.8169014084507042,74.3075117370892,112.62535211267605
PPO (5 seeds),mlp,100,1,none,0.08959081275123185,0.42807439742912345,-0.3384835846778917,-0.377450287015033,-0.3014419802791237,1.0,3.784037558685446,39.91267605633803
PPO (5 seeds),mlp,100,1,scale,0.08615560118809316,0.1949954392653361,-0.10883983807724294,-0.12965433928554593,-0.08878053982352214,0.8309859154929577,21.76525821596244,56.91267605633803
PPO (5 seeds),mlp,100,1,scale+thin,0.052829474962165175,0.09048149163428103,-0.03765201667211586,-0.05315295885259249,-0.024259660284725624,0.7112676056338029,65.6924882629108,112.62535211267605
PPO (5 seeds),mlp,100,2,none,0.09319518461111899,0.43124232324465417,-0.33804713863353514,-0.376164564528599,-0.30030602764578895,0.9929078014184397,8.004694835680752,39.91267605633803
PPO (5 seeds),mlp,100,2,scale,0.0863840712699811,0.1949954392653361,-0.10861136799535502,-0.12786372714656027,-0.09014994763058438,0.8380281690140845,26.03286384976526,56.91267605633803
PPO (5 seeds),mlp,100,2,scale+thin,0.05343278821125102,0.09048149163428103,-0.03704870342303002,-0.049635948369616024,-0.025669340422487155,0.7535211267605634,70.72065727699531,112.62535211267605
PPO (5 seeds),mlp,100,3,none,0.0882437697200769,0.43124232324465417,-0.3429985535245772,-0.38289119519127923,-0.3063665526584794,1.0,11.504694835680752,39.91267605633803
PPO (5 seeds),mlp,100,3,scale,0.08665416881308063,0.1949954392653361,-0.10834127045225549,-0.12688554421905338,-0.08982757456728978,0.8450704225352113,29.523474178403756,56.91267605633803
PPO (5 seeds),mlp,100,3,scale+thin,0.05366328696876274,0.09048149163428103,-0.03681820466551831,-0.04807495686984262,-0.026076139050637305,0.7605633802816901,74.2018779342723,112.62535211267605
PPO (5 seeds),mlp,208,1,none,0.07319256564741619,0.4302489755759964,-0.3570564099285802,-0.3959613690234544,-0.3204400128519179,0.9928057553956835,3.7652582159624415,39.91267605633803
PPO (5 seeds),mlp,208,1,scale,0.06917750694871108,0.1949954392653361,-0.12581793231662505,-0.14645407556117562,-0.10628812246274123,0.852112676056338,21.781690140845072,56.91267605633803
PPO (5 seeds),mlp,208,1,scale+thin,0.041960455371892094,0.09048149163428103,-0.04852103626238894,-0.06401656125098965,-0.03548645544848908,0.7605633802816901,66.88028169014085,112.62535211267605
PPO (5 seeds),mlp,208,2,none,0.07571542789614039,0.4303112005999481,-0.3545957727038077,-0.3938654305743388,-0.3182497716731879,0.9929078014184397,7.929577464788732,39.91267605633803
PPO (5 seeds),mlp,208,2,scale,0.0706419955557614,0.1949954392653361,-0.12435344370957474,-0.14360162478801067,-0.10507564144961051,0.8450704225352113,25.93661971830986,56.91267605633803
PPO (5 seeds),mlp,208,2,scale+thin,0.04329467367544537,0.09048149163428103,-0.04718681795883567,-0.06058347909986133,-0.03559821508425907,0.8098591549295775,71.60328638497653,112.62535211267605
PPO (5 seeds),mlp,208,3,none,0.07664416739110262,0.4334410649437438,-0.3567968975526412,-0.3942668911614523,-0.3191180178762319,0.9929577464788732,11.389671361502348,39.91267605633803
PPO (5 seeds),mlp,208,3,scale,0.07292383015886844,0.1949954392653361,-0.1220716091064677,-0.14019337761585782,-0.10480957257361713,0.8450704225352113,29.38262910798122,56.91267605633803
PPO (5 seeds),mlp,208,3,scale+thin,0.045147788245062485,0.09048149163428103,-0.045333703389218556,-0.056287911002364084,-0.03496766026629752,0.8028169014084507,75.06338028169014,112.62535211267605
PPO (5 seeds),poly3,50,1,none,0.1066006878643342,0.4328745093257238,-0.3262738214613896,-0.3621318032434522,-0.29056239657544275,0.9928571428571429,3.967136150234742,39.91267605633803
PPO (5 seeds),poly3,50,1,scale,0.10000957194441173,0.1949954392653361,-0.0949858673209244,-0.11315918688725507,-0.07667524981244668,0.7816901408450704,21.971830985915492,56.91267605633803
PPO (5 seeds),poly3,50,1,scale+thin,0.06428942110422126,0.09048149163428103,-0.02619207053005978,-0.03795636690681996,-0.015836879344647652,0.704225352112676,67.76291079812206,112.62535211267605
PPO (5 seeds),poly3,50,2,none,0.11370613448502319,0.4334410649437438,-0.31973493045872065,-0.3564457031909236,-0.2836406191909533,0.9788732394366197,7.934272300469484,39.91267605633803
PPO (5 seeds),poly3,50,2,scale,0.10949402694778669,0.1949954392653361,-0.08550141231754944,-0.10369979731114216,-0.06669231666069285,0.7535211267605634,25.953051643192488,56.91267605633803
