model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals
gp,50,1,none,426,3,0.9084507042253521,0.04921274940323359,0.025840588509765,0.08062673595188233,1.0407984553702794,0.020558741265255986,0.6596244131455399,4.598591549295775,0.0,240000.0
gp,50,2,none,426,3,0.9694835680751174,0.06001503244375436,0.0236258719047859,0.17964532171433276,1.0407984553702794,0.0148038839400784,0.715962441314554,9.422535211267606,0.0,240000.0
gp,50,3,none,426,3,0.9812206572769953,0.06447165435226865,0.02449410439720385,0.1858224620649239,1.0407984553702794,0.01040732625005286,0.715962441314554,13.97887323943662,0.0,240000.0
knn,50,1,none,426,3,0.9460093896713615,0.015146591034763214,-0.0013812050573209,0.04291124792702988,1.0685375862616606,0.0023744082629775644,0.8732394366197183,3.927230046948357,0.0,240000.0
knn,50,2,none,426,3,0.9882629107981221,0.023059827805546683,-0.0007124558919651,0.0410298987541832,1.0685375862616606,0.00156840995289256,0.9107981220657277,8.12206572769953,0.0,240000.0
knn,50,3,none,426,3,0.9906103286384976,0.023073796183094172,-0.0004944234904103499,0.03722047386642425,1.0685375862616606,0.004845757895859076,0.9154929577464789,12.051643192488262,0.0,240000.0
mlp,50,1,none,426,3,0.9694835680751174,0.08126108737093679,0.0336754980697724,0.2296482488169778,1.0712984224374398,0.009869072176309298,0.5938967136150235,3.880281690140845,0.0,240000.0
mlp,50,2,none,426,3,0.9882629107981221,0.0847196450612883,0.0309522125505876,0.2275916947688889,1.0712984224374398,0.008602314395165466,0.6173708920187794,7.828638497652582,0.0,240000.0
mlp,50,3,none,426,3,0.9906103286384976,0.08537692166230264,0.031067066055359548,0.22756066675547285,1.0712984224374398,0.005240729171618955,0.6173708920187794,11.612676056338028,0.0,240000.0
poly3,50,1,none,426,3,0.9413145539906104,0.10440757649126806,0.0511997663173582,0.2394086782975473,1.029252078360119,0.007707328436970063,0.4647887323943662,3.967136150234742,0.0,240000.0
poly3,50,2,none,426,3,0.9882629107981221,0.111426602310217,0.0471356379688296,0.2474918764327718,1.102913522973278,0.011855175994822078,0.5093896713615024,7.934272300469484,0.0,240000.0
poly3,50,3,none,426,3,0.9929577464788732,0.11386167029898916,0.0470011568598289,0.24748359824316782,1.1177014128603036,0.013710597946588562,0.5140845070422535,11.76056338028169,0.0,240000.0
gp,100,1,none,426,3,0.9131455399061033,0.050531197658778976,0.0280523018318716,0.1660425486557784,0.7040200082477033,0.021921696641518936,0.6338028169014085,4.544600938967136,0.0,480000.0
gp,100,2,none,426,3,0.9436619718309859,0.05034878980158873,0.02400013389469465,0.1713411400462798,0.895156717798379,0.019079518511768034,0.6807511737089202,9.549295774647888,0.0,480000.0
gp,100,3,none,426,3,0.9694835680751174,0.057038657991090924,0.0249593384689355,0.18343455670946013,0.895156717798379,0.014822592580114397,0.6807511737089202,13.990610328638498,0.0,480000.0
knn,100,1,none,426,3,0.9647887323943662,0.010369679930461638,-0.0002188575491781,0.0420664499309995,0.7397545359290632,0.0011746378431659597,0.9014084507042254,3.607981220657277,0.0,480000.0
knn,100,2,none,426,3,0.9812206572769953,0.01166175383452837,-0.0001343039512935,0.03757814699502116,1.0839990288215224,0.004783189573579681,0.9272300469483568,7.97887323943662,0.0,480000.0
knn,100,3,none,426,3,0.9882629107981221,0.01179884797449766,-0.0001033964542777,0.0382240124719415,1.0839990288215224,0.005850900149887204,0.9272300469483568,11.76056338028169,0.0,480000.0
mlp,100,1,none,426,3,0.9624413145539906,0.08970969949246772,0.03888475039774905,0.24461688442597962,0.7539915084442559,0.002369408409872042,0.5375586854460094,3.784037558685446,0.0,480000.0
mlp,100,2,none,426,3,0.9812206572769953,0.08832272340920386,0.03406706995862195,0.24043870926883557,1.039711763858132,0.0012776913946377793,0.5657276995305164,8.004694835680752,0.0,480000.0
mlp,100,3,none,426,3,0.9882629107981221,0.08796478046791807,0.0345485146005821,0.238897457728193,1.039711763858132,0.0023950378763883205,0.5657276995305164,11.504694835680752,0.0,480000.0
poly3,100,1,none,426,3,0.9530516431924883,0.09531643597877101,0.04724905193239345,0.240039412784603,0.7597456069175446,0.004479018409850242,0.49765258215962443,3.868544600938967,0.0,480000.0
poly3,100,2,none,426,3,0.9788732394366197,0.09391940049094975,0.0442619278573899,0.24003734318771697,0.9933527244504952,0.0051854204796183065,0.5422535211267606,8.0962441314554,0.0,480000.0
poly3,100,3,none,426,3,0.9882629107981221,0.09415992205396653,0.045040025330802,0.24163646047284,0.9933527244504952,0.0074726862582838345,0.5422535211267606,11.666666666666666,0.0,480000.0
gp,208,1,none,426,3,0.92018779342723,0.0617696784746744,0.029382682684929,0.19668004047399917,0.2975536644874599,0.025110830768183656,0.5938967136150235,4.15962441314554,0.0,998400.0
gp,208,2,none,426,3,0.9577464788732394,0.061336052112493905,0.027688685154265348,0.19338581727994036,0.6044561746905115,0.026517504740144734,0.6314553990610329,8.69718309859155,0.0,998400.0
gp,208,3,none,426,3,0.9788732394366197,0.06563663988940344,0.028903066560467,0.20027458065453574,0.6044561746905115,0.019593840816828415,0.6314553990610329,12.694835680751174,0.0,998400.0
knn,208,1,none,426,3,0.9624413145539906,0.001677608190042199,-0.00168395565486835,0.028344074721236276,0.2847489468643971,0.0023289189285609973,0.931924882629108,3.6502347417840375,0.0,998400.0
knn,208,2,none,426,3,0.9812206572769953,0.003934319597345398,-0.0016032873802603,0.025133752156851704,0.6509128857158752,0.004289785466756679,0.9507042253521126,7.913145539906103,0.0,998400.0
knn,208,3,none,426,3,0.9906103286384976,0.006309933295537729,-0.00144892572569405,0.02673990944418412,0.6509128857158752,0.0031214275161482283,0.9507042253521126,11.553990610328638,0.0,998400.0
mlp,208,1,none,426,3,0.9553990610328639,0.0719519177251935,0.03319504201024,0.2238616279058462,0.3204771198371201,0.026639149296900533,0.5985915492957746,3.7652582159624415,0.0,998400.0
mlp,208,2,none,426,3,0.9812206572769953,0.07266804541044689,0.030231097226973,0.22527601549602494,0.6352653940127775,0.027305790861869333,0.6267605633802817,7.929577464788732,0.0,998400.0
mlp,208,3,none,426,3,0.9906103286384976,0.07378758966271484,0.03073575228795075,0.22550646808611244,0.6352653940127775,0.02652077325865126,0.6267605633802817,11.389671361502348,0.0,998400.0
poly3,208,1,none,426,3,0.9389671361502347,0.10153546687842002,0.0494411151205408,0.23959906339389753,0.319061791931108,0.004589410703921584,0.4765258215962441,3.931924882629108,0.0,998400.0
poly3,208,2,none,426,3,0.9812206572769953,0.10032368263550573,0.04825859755986035,0.23985259183457366,0.6669212294556468,0.006868198481811292,0.5093896713615024,8.056338028169014,0.0,998400.0
poly3,208,3,none,426,3,0.9906103286384976,0.100899800808803,0.04846433802986801,0.23976574151479377,0.6669212294556468,0.006082536857056607,0.5117370892018779,11.572769953051644,0.0,998400.0
gp,50,1,scale,426,3,0.9929577464788732,0.04726264259344332,0.0232155071968369,0.08012264423528269,1.0379692012034978,0.018565913434938994,0.755868544600939,22.633802816901408,18.035211267605632,240000.0
gp,50,2,scale,426,3,1.0,0.059912858897230185,0.02198936564384405,0.18332969504353208,1.0379692012034978,0.012440804458138593,0.7535211267605634,27.460093896713616,18.037558685446008,240000.0
gp,50,3,scale,426,3,1.0,0.06432139306587834,0.0233552783127276,0.20864941473582455,1.0379692012034978,0.008607821881730862,0.744131455399061,32.00469483568075,18.025821596244132,240000.0
