reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
PPO OOD (ppo_ood_load),gp,208,1,none,0.021225799761334548,0.2571821328613087,-0.2359563330999741,-0.25282622802472704,-0.21918906124176243,1.0,6.539007092198582,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,1,scale,0.02850389758738513,0.19725311922256164,-0.16874922163517653,-0.2416537913774821,-0.10951765412806555,1.0,23.45390070921986,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,1,scale+thin,0.025086153562170293,0.11060185211679252,-0.08551569855462224,-0.1517703285976785,-0.034559809534247275,0.75,68.94326241134752,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,2,none,0.021540024633154693,0.25887042042332226,-0.23733039579016751,-0.25431013231023547,-0.21962069153445252,1.0,12.872340425531915,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,2,scale,0.019388426564199222,0.1953549143445198,-0.17596648778032056,-0.24728353878873077,-0.11912440463799565,1.0,29.829787234042552,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,2,scale+thin,0.015754761875767926,0.10920869615331547,-0.09345393427754758,-0.15261108212627011,-0.044634212483749276,0.8333333333333334,76.94326241134752,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,3,none,0.04414595343429043,0.2919982947152477,-0.24785234128095723,-0.28979067702806677,-0.21073911240577645,0.9736842105263158,18.29078014184397,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,3,scale,0.055336029633759366,0.2122201668941404,-0.15688413726038097,-0.21505047747504843,-0.10680792764389192,0.9318181818181818,35.652482269503544,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),gp,208,3,scale+thin,0.05298722560958387,0.12364167543728745,-0.07065444982770358,-0.11808195946183286,-0.02913422663418058,0.7727272727272727,84.34751773049645,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,1,none,0.006647541003061657,0.29562080854615314,-0.28897326754309144,-0.34927633524271273,-0.2440576188209181,1.0,6.553191489361702,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,1,scale,0.018307327104312505,0.19725311922256164,-0.17894579211824913,-0.25368719557876973,-0.11999866647951972,1.0,23.50354609929078,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,1,scale+thin,0.016061499820587005,0.11060185211679252,-0.09454035229620553,-0.1589009630461589,-0.04193071991633839,0.875,68.41843971631205,113.83829787234042,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,2,none,0.007561254338344652,0.29619445824019836,-0.28863320390185376,-0.35051756927817745,-0.2443591662934972,1.0,12.836879432624114,38.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,2,scale,0.007793494243591088,0.1953549143445198,-0.18756142010092872,-0.25819053790193996,-0.13033772061584617,1.0,29.822695035460992,55.98723404255319,load_extrapolation
PPO OOD (ppo_ood_load),knn,208,2,scale+thin,0.006216213197959861,0.10920869615331547,-0.10299248295535564,-0.1631646140622785,-0.0531910943854904,0.9523809523809523,74.73758865248227,113.83829787234042,load_extrapolation
