context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
0,6.0,150.0,718.2839060185494,ppo_ood_load,policy,40,0,none,40,1,41,1,944.8114829051648,0.31537331546555003
1,6.0,165.714286,766.0869680124856,ppo_ood_load,policy,40,0,none,40,1,41,1,1113.0880079766584,0.45295254253498474
2,6.0,181.428571,809.0128740060688,ppo_ood_load,policy,40,0,none,40,1,41,1,1194.2768879111825,0.4762149358604937
3,6.0,197.142857,854.6554477993761,ppo_ood_load,policy,40,0,none,40,1,41,1,1357.1880010050263,0.5879943250810657
4,6.0,212.857143,895.7569021904145,ppo_ood_load,policy,40,0,none,40,1,41,1,1265.1612768284303,0.4123935564824597
5,6.0,228.571429,927.0052988628717,ppo_ood_load,policy,40,0,none,40,1,41,1,1234.6534866743095,0.3318731707238569
6,6.0,244.285714,968.4098952439792,ppo_ood_load,policy,40,0,none,40,1,41,1,1196.8108330038165,0.23585151172200103
7,6.0,260.0,1013.7382545756694,ppo_ood_load,policy,40,0,none,40,1,41,1,1323.814317808953,0.30587388986625075
8,7.285714,150.0,1153.3708205133214,ppo_ood_load,policy,40,0,none,40,1,41,1,1662.1284425195608,0.4411049880556288
9,7.285714,165.714286,1218.9044722408655,ppo_ood_load,policy,40,0,none,40,1,41,1,1405.568653199142,0.1531409435352291
10,7.285714,181.428571,1289.0609260869776,ppo_ood_load,policy,40,0,none,40,1,41,1,1587.499960286985,0.231516624358429
11,7.285714,197.142857,1353.7155222893743,ppo_ood_load,policy,40,0,none,40,1,41,1,2030.1723463820135,0.4997038247361085
12,7.285714,212.857143,1426.808505633445,ppo_ood_load,policy,40,0,none,40,1,41,1,2156.278992338404,0.5112602594004747
13,7.285714,228.571429,1481.0244610123186,ppo_ood_load,policy,40,0,none,40,1,41,1,1897.4726685550452,0.281189283840777
14,7.285714,244.285714,1543.6092503419804,ppo_ood_load,policy,40,0,none,40,1,41,1,2021.2977075792523,0.3094620333037277
15,7.285714,260.0,1618.4847454305025,ppo_ood_load,policy,40,0,none,40,1,41,1,2190.257176048028,0.35327637917615307
16,8.571429,150.0,1686.3433188884542,ppo_ood_load,policy,40,0,none,40,1,41,1,2414.8089650344486,0.43197944213765394
17,8.571429,165.714286,1809.7430894999927,ppo_ood_load,policy,40,0,none,40,1,41,1,2273.395126563313,0.2561977110195355
18,8.571429,181.428571,1926.769836691324,ppo_ood_load,policy,40,0,none,40,1,41,1,2803.209293143343,0.4548750140063711
19,8.571429,197.142857,2004.21381384588,ppo_ood_load,policy,40,0,none,40,1,41,1,3041.25899995601,0.5174324111259103
20,8.571429,212.857143,2119.4215005582246,ppo_ood_load,policy,40,0,none,40,1,41,1,3195.8249660018187,0.5078760714468948
21,8.571429,228.571429,2258.167962393494,ppo_ood_load,policy,40,0,none,40,1,41,1,2851.812373527346,0.26288762440178837
22,8.571429,244.285714,2347.8753054507297,ppo_ood_load,policy,40,0,none,40,1,41,1,3326.708941010578,0.41690188285869745
23,8.571429,260.0,2454.6466970028446,ppo_ood_load,policy,40,0,none,40,1,41,1,3200.4728831344128,0.3038425802956619
24,9.857143,150.0,2401.6635135318147,ppo_ood_load,policy,40,0,none,40,1,41,1,3306.9943066201445,0.37695988134365144
25,9.857143,165.714286,2596.489349148936,ppo_ood_load,policy,40,0,none,40,1,41,1,3732.35149824217,0.43746073884937786
26,9.857143,181.428571,2778.4364695846,ppo_ood_load,policy,40,0,none,40,1,41,1,3721.3377076816673,0.3393639726583486
27,9.857143,197.142857,2934.59017073786,ppo_ood_load,policy,40,0,none,40,1,41,1,3791.215848879925,0.2919064088348251
28,9.857143,212.857143,3092.903946849261,ppo_ood_load,policy,40,0,none,40,1,41,1,3830.801862437864,0.23857770181977345
29,9.857143,228.571429,3278.0505051710666,ppo_ood_load,policy,40,0,none,40,1,41,1,4310.390814809152,0.31492507757570753
30,9.857143,244.285714,3503.3130527973344,ppo_ood_load,policy,40,0,none,40,1,41,1,4402.172313298775,0.2565740620250072
31,9.857143,260.0,3720.59576057169,ppo_ood_load,policy,40,0,none,40,1,41,1,4411.798447287907,0.1857774214659671
32,11.142857,150.0,3412.4966998531304,ppo_ood_load,policy,40,0,none,40,1,41,1,4369.432423086479,0.2804209959454418
33,11.142857,165.714286,3681.539358959639,ppo_ood_load,policy,40,0,none,40,1,41,1,4809.568560786483,0.3064015054141953
34,11.142857,181.428571,4001.813446814073,ppo_ood_load,policy,40,0,none,40,1,41,1,4989.198557398459,0.2467344177101669
35,11.142857,197.142857,4332.975062229721,ppo_ood_load,policy,40,0,none,40,1,41,1,5592.901274999999,0.2907762437298518
36,11.142857,212.857143,4658.140801057062,ppo_ood_load,policy,40,0,none,40,1,41,1,10781.871179039998,1.3146297287950786
37,11.142857,228.571429,5137.886749115688,ppo_ood_load,policy,40,0,none,40,1,41,1,10658.92613412099,1.074573974592873
38,11.142857,244.285714,6871.433005819378,ppo_ood_load,policy,40,0,none,40,1,41,1,11966.939539798635,0.7415493288901895
39,11.142857,260.0,8337.065935629631,ppo_ood_load,policy,40,0,none,40,1,41,1,12202.784170154622,0.4636785008505566
40,12.428571,150.0,4886.521183652799,ppo_ood_load,policy,40,0,none,40,1,41,1,5566.725450000001,0.13920010592049303
41,12.428571,165.714286,5340.456835444255,ppo_ood_load,policy,40,0,none,40,1,41,1,8165.568744000001,0.5290019179268834
42,12.428571,181.428571,7499.029230834781,ppo_ood_load,policy,40,0,none,40,1,41,1,13322.027132833491,0.7765002272634831
43,12.428571,197.142857,9997.68170860264,ppo_ood_load,policy,40,0,none,40,1,41,1,13268.644601693635,0.32717213734424555
44,12.428571,212.857143,12790.67961945902,ppo_ood_load,policy,40,0,none,12,1,13,1,14174.436264305716,0.10818476312560632
45,13.714286,150.0,11343.005436312367,ppo_ood_load,policy,40,0,none,7,1,8,1,14930.482692269838,0.3162721975317828
46,13.714286,165.714286,15604.275186931443,ppo_ood_load,policy,40,0,none,10,1,11,1,15738.784012463851,0.00861999829668858
0,6.0,150.0,718.2839060185494,ppo_ood_load,policy,40,0,scale,40,18,58,1,784.0191836231721,0.09151712443202809
1,6.0,165.714286,766.0869680124856,ppo_ood_load,policy,40,0,scale,40,18,58,1,958.513438120406,0.2511809731043282
2,6.0,181.428571,809.0128740060688,ppo_ood_load,policy,40,0,scale,40,18,58,1,991.6769529500132,0.22578636856472833
3,6.0,197.142857,854.6554477993761,ppo_ood_load,policy,40,0,scale,40,18,58,1,1062.017565581904,0.2426265676027195
4,6.0,212.857143,895.7569021904145,ppo_ood_load,policy,40,0,scale,40,18,58,1,971.3690369784472,0.08441144534095879
5,6.0,228.571429,927.0052988628717,ppo_ood_load,policy,40,0,scale,40,18,58,1,1025.6417793138487,0.1064033620648892
6,6.0,244.285714,968.4098952439792,ppo_ood_load,policy,40,0,scale,40,18,58,1,1039.1173520457314,0.07301397595068804
7,6.0,260.0,1013.7382545756694,ppo_ood_load,policy,40,0,scale,40,18,58,1,1084.736876917469,0.07003644384665964
8,7.285714,150.0,1153.3708205133214,ppo_ood_load,policy,40,0,scale,40,18,58,1,1430.496757364182,0.24027479447375177
9,7.285714,165.714286,1218.9044722408655,ppo_ood_load,policy,40,0,scale,40,18,58,1,1333.426573768947,0.09395494407985971
10,7.285714,181.428571,1289.0609260869776,ppo_ood_load,policy,40,0,scale,40,18,58,1,1364.6171815816815,0.0586134091613959
11,7.285714,197.142857,1353.7155222893743,ppo_ood_load,policy,40,0,scale,40,18,58,1,1765.6194446582772,0.3042765747949021
12,7.285714,212.857143,1426.808505633445,ppo_ood_load,policy,40,0,scale,40,18,58,1,1974.1363188128887,0.383602852813421
13,7.285714,228.571429,1481.0244610123186,ppo_ood_load,policy,40,0,scale,40,18,58,1,1583.783596075039,0.06938382029995771
14,7.285714,244.285714,1543.6092503419804,ppo_ood_load,policy,40,0,scale,40,18,58,1,1738.0679891651855,0.1259766607255841
15,7.285714,260.0,1618.4847454305025,ppo_ood_load,policy,40,0,scale,40,18,58,1,1919.0822662727337,0.18572774423170424
16,8.571429,150.0,1686.3433188884542,ppo_ood_load,policy,40,0,scale,40,18,58,1,2023.681564204806,0.20004126178689807
17,8.571429,165.714286,1809.7430894999927,ppo_ood_load,policy,40,0,scale,40,18,58,1,1957.59209667051,0.08169613025645872
18,8.571429,181.428571,1926.769836691324,ppo_ood_load,policy,40,0,scale,40,18,58,1,2216.480697964844,0.1503609075441079
19,8.571429,197.142857,2004.21381384588,ppo_ood_load,policy,40,0,scale,40,18,58,1,2538.6706291476416,0.2666665660168235
20,8.571429,212.857143,2119.4215005582246,ppo_ood_load,policy,40,0,scale,40,18,58,1,2668.696079149101,0.25916250186487466
21,8.571429,228.571429,2258.167962393494,ppo_ood_load,policy,40,0,scale,40,18,58,1,2489.5741739666487,0.10247519911135439
22,8.571429,244.285714,2347.8753054507297,ppo_ood_load,policy,40,0,scale,40,18,58,1,2732.3966832402607,0.16377419060409304
23,8.571429,260.0,2454.6466970028446,ppo_ood_load,policy,40,0,scale,40,18,58,1,2864.6805203113263,0.16704392685478453
24,9.857143,150.0,2401.6635135318147,ppo_ood_load,policy,40,0,scale,40,18,58,1,3112.4643594029035,0.29596187886695513
25,9.857143,165.714286,2596.489349148936,ppo_ood_load,policy,40,0,scale,40,18,58,1,3351.6743996362297,0.2908485069406599
26,9.857143,181.428571,2778.4364695846,ppo_ood_load,policy,40,0,scale,40,18,58,1,3237.679123391344,0.16528816074581854
27,9.857143,197.142857,2934.59017073786,ppo_ood_load,policy,40,0,scale,40,18,58,1,3521.549801669356,0.20001417464841897
28,9.857143,212.857143,3092.903946849261,ppo_ood_load,policy,40,0,scale,40,18,58,1,3518.4618197367445,0.13759168735938232
29,9.857143,228.571429,3278.0505051710666,ppo_ood_load,policy,40,0,scale,40,18,58,1,3980.91392084478,0.21441506607813365
30,9.857143,244.285714,3503.3130527973344,ppo_ood_load,policy,40,0,scale,40,18,58,1,4201.092646805253,0.19917705996920643
31,9.857143,260.0,3720.59576057169,ppo_ood_load,policy,40,0,scale,40,18,58,1,4367.47996632212,0.17386575897485645
32,11.142857,150.0,3412.4966998531304,ppo_ood_load,policy,40,0,scale,40,18,58,1,3867.59073135467,0.1333610173223394
33,11.142857,165.714286,3681.539358959639,ppo_ood_load,policy,40,0,scale,40,18,58,1,4384.256160501881,0.1908758084663862
34,11.142857,181.428571,4001.813446814073,ppo_ood_load,policy,40,0,scale,40,18,58,1,4739.354063125016,0.18430159879094687
35,11.142857,197.142857,4332.975062229721,ppo_ood_load,policy,40,0,scale,40,18,58,1,5021.489027798558,0.1589009758146478
36,11.142857,212.857143,4658.140801057062,ppo_ood_load,policy,40,0,scale,40,18,58,1,9100.949037081677,0.9537728518245772
37,11.142857,228.571429,5137.886749115688,ppo_ood_load,policy,40,0,scale,40,18,58,1,10454.516188325551,1.034789145581097
38,11.142857,244.285714,6871.433005819378,ppo_ood_load,policy,40,0,scale,40,18,58,1,11128.059764481644,0.6194671118902495
39,11.142857,260.0,8337.065935629631,ppo_ood_load,policy,40,0,scale,40,18,58,1,11654.325826566794,0.39789296576873445
40,12.428571,150.0,4886.521183652799,ppo_ood_load,policy,40,0,scale,40,18,58,1,5527.424680907396,0.13115741714139162
41,12.428571,165.714286,5340.456835444255,ppo_ood_load,policy,40,0,scale,40,18,58,1,7598.634605306873,0.42284355804081075
42,12.428571,181.428571,7499.029230834781,ppo_ood_load,policy,40,0,scale,40,18,58,1,12612.781170745078,0.681921857149641
43,12.428571,197.142857,9997.68170860264,ppo_ood_load,policy,40,0,scale,40,18,58,1,13048.775275421449,0.3051801063233943
44,12.428571,212.857143,12790.67961945902,ppo_ood_load,policy,40,0,scale,12,18,30,1,13953.81713682393,0.09093633426603676
45,13.714286,150.0,11343.005436312367,ppo_ood_load,policy,40,0,scale,7,18,25,1,14826.46415092624,0.30710191705121415
46,13.714286,165.714286,15604.275186931443,ppo_ood_load,policy,40,0,scale,10,18,28,1,15724.111596807088,0.007679716516151069
0,6.0,150.0,718.2839060185494,ppo_ood_load,policy,40,0,scale+thin,40,71,111,1,732.1163891113152,0.019257682062569614
1,6.0,165.714286,766.0869680124856,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,852.3298833219969,0.11257588095155491
2,6.0,181.428571,809.0128740060688,ppo_ood_load,policy,40,0,scale+thin,40,72,112,1,884.2647939814253,0.09301696226751521
3,6.0,197.142857,854.6554477993761,ppo_ood_load,policy,40,0,scale+thin,40,72,112,1,922.4213680043308,0.0792903390242734
4,6.0,212.857143,895.7569021904145,ppo_ood_load,policy,40,0,scale+thin,40,71,111,1,906.914017070288,0.012455516505193165
5,6.0,228.571429,927.0052988628717,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,947.5607026590754,0.022173987377869908
6,6.0,244.285714,968.4098952439792,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,985.8446913785276,0.018003529518000105
7,6.0,260.0,1013.7382545756694,ppo_ood_load,policy,40,0,scale+thin,40,73,113,1,1025.252206647004,0.011357914155221582
8,7.285714,150.0,1153.3708205133214,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,1243.9430091951174,0.07852824700514427
9,7.285714,165.714286,1218.9044722408655,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,1239.2300166376508,0.016675256231867275
10,7.285714,181.428571,1289.0609260869776,ppo_ood_load,policy,40,0,scale+thin,40,74,114,1,1315.4318593899586,0.020457476267651264
11,7.285714,197.142857,1353.7155222893743,ppo_ood_load,policy,40,0,scale+thin,40,77,117,1,1594.5548527688957,0.1779098536686785
12,7.285714,212.857143,1426.808505633445,ppo_ood_load,policy,40,0,scale+thin,40,81,121,1,1448.4489502357662,0.015167028032758711
13,7.285714,228.571429,1481.0244610123186,ppo_ood_load,policy,40,0,scale+thin,40,75,115,1,1508.453448070544,0.018520279563429387
14,7.285714,244.285714,1543.6092503419804,ppo_ood_load,policy,40,0,scale+thin,40,75,115,1,1567.9585292368815,0.015774250439032134
15,7.285714,260.0,1618.4847454305025,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,1613.179179383121,-0.003278106922144808
16,8.571429,150.0,1686.3433188884542,ppo_ood_load,policy,40,0,scale+thin,40,77,117,1,1739.516759074717,0.031531799954775286
17,8.571429,165.714286,1809.7430894999927,ppo_ood_load,policy,40,0,scale+thin,40,76,116,1,1836.035751309605,0.01452839464461042
18,8.571429,181.428571,1926.769836691324,ppo_ood_load,policy,40,0,scale+thin,40,75,115,1,1932.219163003745,0.0028282186116110886
19,8.571429,197.142857,2004.21381384588,ppo_ood_load,policy,40,0,scale+thin,40,77,117,1,2019.5131732534628,0.0076335964266331935
20,8.571429,212.857143,2119.4215005582246,ppo_ood_load,policy,40,0,scale+thin,40,79,119,1,2133.9984440277176,0.006877793523210718
21,8.571429,228.571429,2258.167962393494,ppo_ood_load,policy,40,0,scale+thin,40,80,120,1,2292.987551476407,0.015419397344565544
22,8.571429,244.285714,2347.8753054507297,ppo_ood_load,policy,40,0,scale+thin,40,83,123,1,2459.132727552216,0.04738642714252994
23,8.571429,260.0,2454.6466970028446,ppo_ood_load,policy,40,0,scale+thin,40,85,125,1,2611.5039853392987,0.06390218540532899
24,9.857143,150.0,2401.6635135318147,ppo_ood_load,policy,40,0,scale+thin,40,82,122,1,2426.844494680745,0.01048480813696484
