model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals,region
gp,208,1,none,141,3,0.6099290780141844,0.021290985266551522,0.018160557471642247,0.041933592556754995,0.18526885151346195,0.005954844785909479,0.5886524822695035,6.539007092198582,0.0,,load_extrapolation
gp,208,2,none,141,3,0.7092198581560284,0.01828333028466491,0.014382132057466857,0.027171023566607597,0.18526885151346195,0.002014774835882901,0.6950354609929078,12.872340425531915,0.0,,load_extrapolation
gp,208,3,none,141,3,0.7659574468085106,0.035691023571847946,0.015894778286428934,0.034637410260957346,0.26427536351857084,0.0036406059675045867,0.6950354609929078,18.29078014184397,0.0,,load_extrapolation
knn,208,1,none,141,3,0.5886524822695035,0.006192504187232653,0.0018229290555797917,0.03174173567138325,0.04642718391270173,0.008579356104082269,0.5886524822695035,6.553191489361702,0.0,,load_extrapolation
knn,208,2,none,141,3,0.6950354609929078,0.004376288697192649,0.0010623304081318619,0.011407603020819243,0.18413409504031275,0.0012466846143529896,0.6879432624113475,12.836879432624114,0.0,,load_extrapolation
knn,208,3,none,141,3,0.7730496453900709,0.030126266919154945,0.0032329693606514276,0.1953787198947168,0.2910099577852825,0.004555257066042074,0.6879432624113475,18.070921985815602,0.0,,load_extrapolation
mlp,208,1,none,141,3,0.6170212765957447,0.035160607237790284,0.020301763846662713,0.08858868070860795,0.1924509194105417,0.013764999622375356,0.48226950354609927,6.560283687943262,0.0,,load_extrapolation
mlp,208,2,none,141,3,0.7375886524822695,0.032440452051007346,0.018190453224097625,0.0881813198938755,0.1924509194105417,0.014111479128268475,0.5886524822695035,12.843971631205674,0.0,,load_extrapolation
mlp,208,3,none,141,3,0.8297872340425532,0.05794963502582192,0.021343000657269462,0.2257150074962362,0.2818350806114187,0.013545781606366398,0.5886524822695035,17.98581560283688,0.0,,load_extrapolation
poly3,208,1,none,141,3,0.5602836879432624,0.15592653616226895,0.15816566747925354,0.32306122273584115,0.49340593809485034,0.02056651689364285,0.1773049645390071,7.23404255319149,0.0,,load_extrapolation
poly3,208,2,none,141,3,0.7021276595744681,0.14836226480202294,0.17021045755000053,0.282690774806199,0.49340593809485034,0.009300196816573075,0.19148936170212766,14.23404255319149,0.0,,load_extrapolation
poly3,208,3,none,141,3,0.7872340425531915,0.15823247771463503,0.17603445207852353,0.2826100567032044,0.49340593809485034,0.016140842905813333,0.19148936170212766,20.368794326241133,0.0,,load_extrapolation
gp,208,1,scale,141,3,0.851063829787234,0.028503897587385127,0.01781576335312285,0.058603014338018566,0.18859649153610247,0.0046590098973904506,0.7375886524822695,23.45390070921986,16.914893617021278,,load_extrapolation
gp,208,2,scale,141,3,0.8652482269503546,0.017364983255383326,0.013265497431914075,0.025230173695895867,0.18859649153610247,0.0037428760904667235,0.8439716312056738,29.829787234042552,16.95744680851064,,load_extrapolation
gp,208,3,scale,141,3,0.9078014184397163,0.05453079782596799,0.015537675012292418,0.2507908444605722,0.26977204148151257,0.0066372720277650945,0.7446808510638298,35.652482269503544,17.361702127659573,,load_extrapolation
knn,208,1,scale,141,3,0.851063829787234,0.018307327104312505,0.0059843803225223535,0.06804505779189737,0.15050840400922083,0.0049057533959038285,0.7446808510638298,23.50354609929078,16.95035460992908,,load_extrapolation
knn,208,2,scale,141,3,0.8652482269503546,0.0050561129579461865,0.0015652257156704152,0.016215089355359275,0.18257600364018756,0.0021854186416543006,0.8581560283687943,29.822695035460992,16.98581560283688,,load_extrapolation
knn,208,3,scale,141,3,0.9078014184397163,0.04789602848978483,0.0020203360439938756,0.2512896836138488,0.2910099577852825,0.0025405369497726055,0.7375886524822695,35.41843971631206,17.347517730496453,,load_extrapolation
