reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
PPO OOD (ppo_ood_span),gp,208,1,none,0.03484936998601262,0.2877822185548122,-0.25293284856879955,-0.2991868655332903,-0.20826335155907258,1.0,7.923076923076923,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,1,scale,0.026476408746496125,0.18902366612939292,-0.16254725738289674,-0.23745469290919421,-0.11369564849264935,1.0,23.67948717948718,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,1,scale+thin,0.026009599887434155,0.10485557204645757,-0.0788459721590234,-0.1535504333334455,-0.032063493552319376,1.0,70.55128205128206,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,2,none,0.03706287113408664,0.25932532054662827,-0.22226244941254164,-0.2743527289713789,-0.16877400888872443,1.0,14.538461538461538,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,2,scale,0.034865949040026115,0.2065317702212762,-0.17166582118125004,-0.24657038610483786,-0.1157776156064098,1.0,31.28205128205128,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,2,scale+thin,0.03438722847022217,0.12539557777595714,-0.09100834930573497,-0.1687613021058749,-0.032001740252086026,0.7142857142857143,84.06410256410257,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,3,none,0.05151548892077784,0.25932532054662827,-0.2078098316258504,-0.25721275641066993,-0.1570081980186943,1.0,20.82051282051282,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,3,scale,0.05856810528640821,0.2065317702212762,-0.14796366493486793,-0.19982831427416273,-0.10450163774234798,1.0,37.47435897435897,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),gp,208,3,scale+thin,0.05808938471660427,0.12539557777595714,-0.06730619305935287,-0.12368368970030245,-0.021847001229383826,0.6666666666666666,90.3076923076923,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,1,none,0.01403283542855191,0.2975698897290565,-0.28353705430050463,-0.33504563541069404,-0.23299112354890109,1.0,8.179487179487179,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,1,scale,0.009867177825500884,0.18902366612939292,-0.17915648830389205,-0.2519058573755994,-0.12954038308416752,1.0,24.0,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,1,scale+thin,0.009768640557273837,0.10485557204645757,-0.09508693148918373,-0.17015494757075877,-0.04594237243087625,1.0,70.66666666666667,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,2,none,0.04303015522583743,0.25932532054662827,-0.21629516532079074,-0.2741041622952676,-0.158596921923569,0.95,14.961538461538462,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,2,scale,0.04041345375994391,0.2065317702212762,-0.16611831646133227,-0.2391449566510959,-0.10659262175869363,0.9523809523809523,31.692307692307693,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,2,scale+thin,0.02499458147088499,0.12539557777595714,-0.10040099630507214,-0.18414280988161505,-0.03879346028122118,0.7142857142857143,83.96153846153847,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,3,none,0.04303015522583743,0.25932532054662827,-0.21629516532079074,-0.2758962644949759,-0.15877579141961923,0.95,21.128205128205128,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,3,scale,0.05063296801413222,0.2065317702212762,-0.15589880220714397,-0.21270058647348214,-0.10491494521645375,0.9523809523809523,37.782051282051285,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),knn,208,3,scale+thin,0.03521409892536011,0.12539557777595714,-0.09018147885059702,-0.1506010332086717,-0.04036893916540714,0.7142857142857143,89.96153846153847,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,1,none,0.11578010001228127,0.24568314761193713,-0.1299030475996558,-0.1808381445717792,-0.08108595104760577,0.8823529411764706,7.0,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,1,scale,0.10628492075090827,0.18902366612939292,-0.08273874537848463,-0.1679866785191487,-0.029133053876985317,0.8421052631578947,22.602564102564102,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,1,scale+thin,0.03829090730052672,0.10485557204645757,-0.06656466474593084,-0.1462591346508272,-0.020421127794184674,0.9473684210526315,70.97435897435898,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,2,none,0.12251731049856118,0.25932532054662827,-0.13680801004806706,-0.18511728692458068,-0.09183753009756307,0.9,11.897435897435898,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,2,scale,0.11542713495338591,0.2065317702212762,-0.09110463526789021,-0.16948139291871572,-0.03941789062576328,0.7619047619047619,28.641025641025642,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,2,scale+thin,0.04011312749250459,0.12539557777595714,-0.08528245028345253,-0.1623387310668598,-0.030655367658278334,0.9047619047619048,81.56410256410257,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,3,none,0.12368696046612015,0.25932532054662827,-0.13563836008050809,-0.17932437863648898,-0.09001819505368841,0.9,16.397435897435898,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,3,scale,0.12705940900233315,0.2065317702212762,-0.07947236121894302,-0.13481120824294873,-0.036164576825309734,0.7619047619047619,33.06410256410256,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),mlp,208,3,scale+thin,0.053714197103966826,0.12539557777595714,-0.0716813806719903,-0.12796872703368287,-0.029180779218829347,0.9047619047619048,85.88461538461539,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,1,none,0.15920132653769892,0.25568437097778896,-0.09648304444009004,-0.15678790100308818,-0.04032434817143423,0.625,7.115384615384615,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,1,scale,0.14016728533430736,0.18902366612939292,-0.04885638079508551,-0.13743535448442326,0.017079442822606653,0.631578947368421,22.71794871794872,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,1,scale+thin,0.058839621839244606,0.10485557204645757,-0.04601595020721298,-0.12644635269094745,0.005327448893239259,0.7894736842105263,71.6923076923077,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,2,none,0.14964793743170923,0.25932532054662827,-0.10967738311491904,-0.17082503578749,-0.04865565330191765,0.65,12.628205128205128,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,2,scale,0.14051814079413832,0.2065317702212762,-0.06601362942713784,-0.15374080094037182,0.005439101767603111,0.6190476190476191,29.346153846153847,48.02307692307692,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,2,scale+thin,0.057810842850288834,0.12539557777595714,-0.0675847349256683,-0.1516180091407682,-0.005766668098174721,0.7619047619047619,83.03846153846153,103.96153846153847,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,3,none,0.15677050726824382,0.2847816129499095,-0.12801110568166577,-0.2001888587713912,-0.061034353400473175,0.6666666666666666,17.76923076923077,31.515384615384615,span_extrapolation
PPO OOD (ppo_ood_span),poly3,208,3,scale,0.15557264532312748,0.2065317702212762,-0.050959124898148675,-0.1211094304554607,0.00874490050590201,0.6190476190476191,34.41025641025641,48.02307692307692,span_extrapolation
