context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
0,16.0,20.0,2421.4508823550423,ppo_ood_span,policy,40,0,none,40,1,41,1,3877.9048027925214,0.6014798528644814
1,16.0,37.14285714285714,3516.030947725065,ppo_ood_span,policy,40,0,none,40,1,41,1,5537.829048172915,0.5750228398177182
2,16.0,54.285714285714285,4818.031502286582,ppo_ood_span,policy,40,0,none,40,1,41,1,6221.812132951786,0.291359786667851
3,16.0,71.42857142857143,6040.8149576734495,ppo_ood_span,policy,40,0,none,40,1,41,1,7114.800659719342,0.17778821393653899
4,16.0,88.57142857142857,7740.122846398965,ppo_ood_span,policy,40,0,none,40,1,41,1,8030.8326,0.0375588035707064
5,16.857142857142858,20.0,2765.6018704601493,ppo_ood_span,policy,40,0,none,40,1,41,1,4135.374074602781,0.4952890069873739
6,16.857142857142858,37.14285714285714,4191.730814567369,ppo_ood_span,policy,40,0,none,40,1,41,1,5366.995472138527,0.28037693963715493
7,16.857142857142858,54.285714285714285,5746.32444658975,ppo_ood_span,policy,40,0,none,40,1,41,1,6576.90494475492,0.1445411768662126
8,16.857142857142858,71.42857142857143,7246.974901538043,ppo_ood_span,policy,40,0,none,40,1,41,1,18992.347154233245,1.6207276018304482
9,16.857142857142858,88.57142857142857,19199.44257726372,ppo_ood_span,policy,40,0,none,9,1,10,1,19379.394863775007,0.009372787037285724
10,17.714285714285715,20.0,3088.9917829239694,ppo_ood_span,policy,40,0,none,40,1,41,1,5017.796694791283,0.62441244503459
11,17.714285714285715,37.14285714285714,4941.944563380349,ppo_ood_span,policy,40,0,none,40,1,41,1,6872.9990813941495,0.39074791172747125
12,17.714285714285715,54.285714285714285,6713.5931419363405,ppo_ood_span,policy,40,0,none,11,1,12,1,7548.813593936908,0.12440736790905271
13,17.714285714285715,71.42857142857143,14833.40139842013,ppo_ood_span,policy,40,0,none,6,1,7,1,17140.41059232,0.15552799603640355
14,18.57142857142857,20.0,3503.887898866028,ppo_ood_span,policy,40,0,none,40,1,41,1,5275.495964128598,0.5056120847461814
15,18.57142857142857,37.14285714285714,5769.316751136709,ppo_ood_span,policy,40,0,none,40,1,41,1,7060.221703787556,0.22375352374204516
16,18.57142857142857,54.285714285714285,8018.356569936577,ppo_ood_span,policy,40,0,none,8,1,9,1,9321.502124999995,0.16252028002213503
17,19.428571428571427,20.0,4106.725084470224,ppo_ood_span,policy,40,0,none,40,1,41,1,6071.094139557529,0.47832981626056736
18,19.428571428571427,37.14285714285714,6707.685574377439,ppo_ood_span,policy,40,0,none,40,1,41,1,7655.513508838302,0.14130476510131218
19,19.428571428571427,54.285714285714285,16356.728333954406,ppo_ood_span,policy,40,0,none,40,1,41,1,18799.16000448,0.1493227508985051
20,20.285714285714285,20.0,4751.567875374571,ppo_ood_span,policy,40,0,none,40,1,41,1,6954.216863873078,0.4635625642462007
21,20.285714285714285,37.14285714285714,7669.906780167899,ppo_ood_span,policy,40,0,none,6,1,7,1,8032.720321593596,0.04730351382676834
22,21.142857142857142,20.0,5513.290592155899,ppo_ood_span,policy,40,0,none,40,1,41,1,6964.285386540625,0.26318126536793596
23,21.142857142857142,37.14285714285714,9160.10981105924,ppo_ood_span,policy,40,0,none,40,1,41,0,,
24,22.0,20.0,6287.717386669555,ppo_ood_span,policy,40,0,none,40,1,41,1,7201.524075713862,0.14533202318883598
25,22.0,37.14285714285714,18414.0359884616,ppo_ood_span,policy,40,0,none,40,1,41,0,,
0,16.0,20.0,2421.4508823550423,ppo_ood_span,policy,40,0,scale,40,18,58,1,3143.9899699263296,0.2983909741206743
1,16.0,37.14285714285714,3516.030947725065,ppo_ood_span,policy,40,0,scale,40,18,58,1,4693.576726068407,0.3349076830808999
2,16.0,54.285714285714285,4818.031502286582,ppo_ood_span,policy,40,0,scale,40,18,58,1,5262.933320850622,0.09234099410784169
3,16.0,71.42857142857143,6040.8149576734495,ppo_ood_span,policy,40,0,scale,40,18,58,1,6727.756559301352,0.11371670982162829
4,16.0,88.57142857142857,7740.122846398965,ppo_ood_span,policy,40,0,scale,40,18,58,1,7946.136334284062,0.026616307256795535
5,16.857142857142858,20.0,2765.6018704601493,ppo_ood_span,policy,40,0,scale,40,18,58,1,3845.6995591041054,0.39054706325616073
6,16.857142857142858,37.14285714285714,4191.730814567369,ppo_ood_span,policy,40,0,scale,40,18,58,1,4818.896232087319,0.1496196786636168
7,16.857142857142858,54.285714285714285,5746.32444658975,ppo_ood_span,policy,40,0,scale,40,18,58,1,6000.337538115153,0.04420444649207922
8,16.857142857142858,71.42857142857143,7246.974901538043,ppo_ood_span,policy,40,0,scale,40,18,58,1,17475.179068492725,1.4113756851543569
9,16.857142857142858,88.57142857142857,19199.44257726372,ppo_ood_span,policy,40,0,scale,9,18,27,1,19331.39242704404,0.006872587537336994
10,17.714285714285715,20.0,3088.9917829239694,ppo_ood_span,policy,40,0,scale,40,18,58,1,4289.804793344853,0.38873946413810834
11,17.714285714285715,37.14285714285714,4941.944563380349,ppo_ood_span,policy,40,0,scale,40,18,58,1,5545.648821910241,0.12215925346539125
12,17.714285714285715,54.285714285714285,6713.5931419363405,ppo_ood_span,policy,40,0,scale,11,18,29,1,7512.573680675914,0.11900937722138027
13,17.714285714285715,71.42857142857143,14833.40139842013,ppo_ood_span,policy,40,0,scale,6,18,24,1,16783.221803401186,0.13144796345824816
14,18.57142857142857,20.0,3503.887898866028,ppo_ood_span,policy,40,0,scale,40,18,58,1,4262.740071000539,0.2165743294413327
15,18.57142857142857,37.14285714285714,5769.316751136709,ppo_ood_span,policy,40,0,scale,40,18,58,1,6698.321644439922,0.16102511499653316
16,18.57142857142857,54.285714285714285,8018.356569936577,ppo_ood_span,policy,40,0,scale,8,18,26,1,8941.005590475794,0.1150670979136208
17,19.428571428571427,20.0,4106.725084470224,ppo_ood_span,policy,40,0,scale,40,18,58,1,4856.513994971405,0.18257587130352193
18,19.428571428571427,37.14285714285714,6707.685574377439,ppo_ood_span,policy,40,0,scale,40,18,58,1,7026.628847981012,0.04754893026320417
19,19.428571428571427,54.285714285714285,16356.728333954406,ppo_ood_span,policy,40,0,scale,40,18,58,1,18481.02061272427,0.12987268819279185
20,20.285714285714285,20.0,4751.567875374571,ppo_ood_span,policy,40,0,scale,40,18,58,1,6012.140575156224,0.26529615757246905
21,20.285714285714285,37.14285714285714,7669.906780167899,ppo_ood_span,policy,40,0,scale,6,18,24,1,7867.739603381224,0.025793380399988797
22,21.142857142857142,20.0,5513.290592155899,ppo_ood_span,policy,40,0,scale,40,18,58,1,6502.609430856183,0.1794425347555324
23,21.142857142857142,37.14285714285714,9160.10981105924,ppo_ood_span,policy,40,0,scale,40,9,49,0,,
24,22.0,20.0,6287.717386669555,ppo_ood_span,policy,40,0,scale,40,18,58,1,7175.339980808874,0.14116769879338853
25,22.0,37.14285714285714,18414.0359884616,ppo_ood_span,policy,40,0,scale,40,9,49,0,,
0,16.0,20.0,2421.4508823550423,ppo_ood_span,policy,40,0,scale+thin,40,71,111,1,2643.1539043022717,0.0915579265153652
1,16.0,37.14285714285714,3516.030947725065,ppo_ood_span,policy,40,0,scale+thin,40,80,120,1,3716.641914929212,0.05705608687373642
2,16.0,54.285714285714285,4818.031502286582,ppo_ood_span,policy,40,0,scale+thin,40,85,125,1,4910.871607834172,0.019269302308116965
3,16.0,71.42857142857143,6040.8149576734495,ppo_ood_span,policy,40,0,scale+thin,40,72,112,1,6294.800479520708,0.04204491010350009
4,16.0,88.57142857142857,7740.122846398965,ppo_ood_span,policy,40,0,scale+thin,40,73,113,1,7739.846325095126,-3.5725699620736684e-05
5,16.857142857142858,20.0,2765.6018704601493,ppo_ood_span,policy,40,0,scale+thin,40,78,118,1,3173.893825539211,0.1476322240883967
6,16.857142857142858,37.14285714285714,4191.730814567369,ppo_ood_span,policy,40,0,scale+thin,40,80,120,1,4221.123157145851,0.007011982371658121
7,16.857142857142858,54.285714285714285,5746.32444658975,ppo_ood_span,policy,40,0,scale+thin,40,71,111,1,5952.785654646508,0.03592926399749086
8,16.857142857142858,71.42857142857143,7246.974901538043,ppo_ood_span,policy,40,0,scale+thin,40,80,120,1,14808.94953329745,1.0434663752118847
9,16.857142857142858,88.57142857142857,19199.44257726372,ppo_ood_span,policy,40,0,scale+thin,9,71,80,1,19199.35663180502,-4.476455936264223e-06
10,17.714285714285715,20.0,3088.9917829239694,ppo_ood_span,policy,40,0,scale+thin,40,75,115,1,3754.188612784687,0.21534431834294399
11,17.714285714285715,37.14285714285714,4941.944563380349,ppo_ood_span,policy,40,0,scale+thin,40,83,123,1,5059.112976225352,0.02370896948404022
12,17.714285714285715,54.285714285714285,6713.5931419363405,ppo_ood_span,policy,40,0,scale+thin,11,73,84,1,6831.758070837201,0.017600847475064407
13,17.714285714285715,71.42857142857143,14833.40139842013,ppo_ood_span,policy,40,0,scale+thin,6,69,75,1,15751.013933074346,0.0618612353301482
14,18.57142857142857,20.0,3503.887898866028,ppo_ood_span,policy,40,0,scale+thin,40,74,114,1,4043.1522420402302,0.15390456508289718
15,18.57142857142857,37.14285714285714,5769.316751136709,ppo_ood_span,policy,40,0,scale+thin,40,71,111,1,6232.938440763063,0.08035989522242959
16,18.57142857142857,54.285714285714285,8018.356569936577,ppo_ood_span,policy,40,0,scale+thin,8,71,79,1,8398.434258961235,0.047400946279901435
17,19.428571428571427,20.0,4106.725084470224,ppo_ood_span,policy,40,0,scale+thin,40,75,115,1,4459.467726367002,0.08589390198791036
18,19.428571428571427,37.14285714285714,6707.685574377439,ppo_ood_span,policy,40,0,scale+thin,40,71,111,1,7004.151781328225,0.04419798806361053
19,19.428571428571427,54.285714285714285,16356.728333954406,ppo_ood_span,policy,40,0,scale+thin,40,69,109,1,17637.058735622606,0.07827545799671953
20,20.285714285714285,20.0,4751.567875374571,ppo_ood_span,policy,40,0,scale+thin,40,81,121,1,5017.112227273633,0.055885627410537486
21,20.285714285714285,37.14285714285714,7669.906780167899,ppo_ood_span,policy,40,0,scale+thin,6,72,78,1,7867.739603381224,0.025793380399988797
22,21.142857142857142,20.0,5513.290592155899,ppo_ood_span,policy,40,0,scale+thin,40,82,122,1,5517.755296373292,0.0008098075265152715
23,21.142857142857142,37.14285714285714,9160.10981105924,ppo_ood_span,policy,40,0,scale+thin,40,33,73,0,,
24,22.0,20.0,6287.717386669555,ppo_ood_span,policy,40,0,scale+thin,40,69,109,1,6456.024407908916,0.026767586850545255
25,22.0,37.14285714285714,18414.0359884616,ppo_ood_span,policy,40,0,scale+thin,40,33,73,0,,
0,16.0,20.0,2421.4508823550423,ppo_ood_span,policy,40,0,none,40,1,41,1,3165.9453796040634,0.3074580214176983
1,16.0,37.14285714285714,3516.030947725065,ppo_ood_span,policy,40,0,none,40,1,41,1,4030.7407432229593,0.14638943830426765
2,16.0,54.285714285714285,4818.031502286582,ppo_ood_span,policy,40,0,none,40,1,41,1,5797.694437473069,0.20333261306439177
3,16.0,71.42857142857143,6040.8149576734495,ppo_ood_span,policy,40,0,none,40,1,41,1,7215.729144488788,0.19449597364721183
4,16.0,88.57142857142857,7740.122846398965,ppo_ood_span,policy,40,0,none,9,1,10,1,14690.843749789494,0.8980117036029087
