model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals,region
gp,208,1,none,78,3,0.46153846153846156,0.03659924851586551,0.03291302366016913,0.07991957534132488,0.08475328816866345,0.00662139254124582,0.32051282051282054,7.923076923076923,0.0,,span_extrapolation
gp,208,2,none,78,3,0.7692307692307693,0.03738212437575839,0.03291302366016913,0.07330283294992923,0.08475328816866345,0.006005227019870736,0.5256410256410257,14.538461538461538,0.0,,span_extrapolation
gp,208,3,none,78,3,0.8076923076923077,0.050026985976209276,0.03435679522124957,0.08083256300880241,0.30726176453097165,0.027040075079048674,0.5256410256410257,20.82051282051282,0.0,,span_extrapolation
knn,208,1,none,78,3,0.41025641025641024,0.016418628210073772,0.01317325053201257,0.04583804928886193,0.06547226979839493,0.014481674599698811,0.38461538461538464,8.179487179487179,0.0,,span_extrapolation
knn,208,2,none,78,3,0.7948717948717948,0.04186663182317445,0.02844858839239739,0.0653899425199402,0.21693515752913295,0.008457439551644706,0.6025641025641025,14.961538461538462,0.0,,span_extrapolation
knn,208,3,none,78,3,0.8076923076923077,0.045852065453443176,0.028489514152693962,0.16622364064991454,0.2929489505301044,0.008388524253437819,0.6025641025641025,21.128205128205128,0.0,,span_extrapolation
mlp,208,1,none,78,3,0.6282051282051282,0.11713545143435637,0.10974128388055338,0.27289920308527477,0.3425571726249397,0.09149817949558973,0.21794871794871795,7.0,0.0,,span_extrapolation
mlp,208,2,none,78,3,0.782051282051282,0.11755358523661712,0.11124842179606964,0.24887616502149368,0.3425571726249397,0.08286306495137447,0.28205128205128205,11.897435897435898,0.0,,span_extrapolation
mlp,208,3,none,78,3,0.8076923076923077,0.12245543149344969,0.11648149951514686,0.2684000702847778,0.3425571726249397,0.08593978729693671,0.28205128205128205,16.397435897435898,0.0,,span_extrapolation
poly3,208,1,none,78,3,0.6153846153846154,0.15920132653769892,0.09389366984873826,0.3384012809638623,0.5136858886896887,0.08759964511431108,0.21794871794871795,7.115384615384615,0.0,,span_extrapolation
poly3,208,2,none,78,3,0.7948717948717948,0.14782557758316925,0.09389366984873826,0.3141033431982507,0.5136858886896887,0.06078735510802949,0.2692307692307692,12.628205128205128,0.0,,span_extrapolation
poly3,208,3,none,78,3,0.8205128205128205,0.15155785821905088,0.10151323918867983,0.31347010608578346,0.5136858886896887,0.05497628043744465,0.2692307692307692,17.76923076923077,0.0,,span_extrapolation
gp,208,1,scale,78,3,0.717948717948718,0.02694984639694225,0.01777242552009417,0.07248804092084105,0.08266873587167423,0.004749042760314035,0.5897435897435898,23.67948717948718,15.756410256410257,,span_extrapolation
gp,208,2,scale,78,3,0.8461538461538461,0.034182798020286134,0.02798915394568824,0.07151997512336772,0.08266873587167423,0.003867882181769114,0.6153846153846154,31.28205128205128,16.743589743589745,,span_extrapolation
gp,208,3,scale,78,3,0.8461538461538461,0.056807583528196336,0.033615832241136956,0.08242613707361857,0.3066335022411979,0.025705206078473444,0.5384615384615384,37.47435897435897,16.653846153846153,,span_extrapolation
knn,208,1,scale,78,3,0.717948717948718,0.010044014283599039,0.0041899954338006085,0.03936969833020598,0.0641557935567878,0.008866007257968699,0.6923076923076923,24.0,15.820512820512821,,span_extrapolation
knn,208,2,scale,78,3,0.8461538461538461,0.03883195526763429,0.023347623636680415,0.06424401583640982,0.21537586496332906,0.008486000035562807,0.6538461538461539,31.692307692307693,16.73076923076923,,span_extrapolation
knn,208,3,scale,78,3,0.8461538461538461,0.05296806655141709,0.02933432577584205,0.19669705915986102,0.29262344523698425,0.008035049120614389,0.6025641025641025,37.782051282051285,16.653846153846153,,span_extrapolation
mlp,208,1,scale,78,3,0.717948717948718,0.10818351023579627,0.08260969617530856,0.257623088956351,0.3404991393618204,0.0853749597825087,0.28205128205128205,22.602564102564102,15.602564102564102,,span_extrapolation
mlp,208,2,scale,78,3,0.8461538461538461,0.11307604608435384,0.10893218596017473,0.24319159224583398,0.3404991393618204,0.07700947901306182,0.32051282051282054,28.641025641025642,16.743589743589745,,span_extrapolation
mlp,208,3,scale,78,3,0.8461538461538461,0.1256801325721507,0.12058790948334919,0.2643039958698159,0.3404991393618204,0.08190451219417712,0.28205128205128205,33.06410256410256,16.666666666666668,,span_extrapolation
poly3,208,1,scale,78,3,0.717948717948718,0.14267091627859965,0.07404157226850716,0.31295649324438224,0.5118156086587566,0.07230991331838313,0.28205128205128205,22.71794871794872,15.602564102564102,,span_extrapolation
poly3,208,2,scale,78,3,0.8461538461538461,0.13823866245815317,0.08284342879946704,0.3112147539768968,0.5118156086587566,0.059561247533377146,0.32051282051282054,29.346153846153847,16.71794871794872,,span_extrapolation
poly3,208,3,scale,78,3,0.8461538461538461,0.15260887132673373,0.10670852998199665,0.31143664659665293,0.5118156086587566,0.05203898880606061,0.2692307692307692,34.41025641025641,16.641025641025642,,span_extrapolation
gp,208,1,scale+thin,78,3,0.717948717948718,0.02647470166539703,0.017616623178590807,0.07248804092084105,0.08266873587167423,0.005276898251129567,0.5897435897435898,70.55128205128206,62.62820512820513,,span_extrapolation
gp,208,2,scale+thin,78,3,0.8461538461538461,0.03372583747638237,0.02766213752204716,0.07151997512336772,0.08266873587167423,0.004239920356500784,0.6153846153846154,84.06410256410257,69.52564102564102,,span_extrapolation
gp,208,3,scale+thin,78,3,0.8461538461538461,0.056350622984292574,0.03341951280069866,0.08242613707361857,0.3066335022411979,0.025984313962165485,0.5384615384615384,90.3076923076923,69.48717948717949,,span_extrapolation
knn,208,1,scale+thin,78,3,0.717948717948718,0.009943718526143999,0.0041899954338006085,0.03714224238300934,0.0641557935567878,0.008900936438275128,0.6923076923076923,70.66666666666667,62.48717948717949,,span_extrapolation
knn,208,2,scale+thin,78,3,0.8461538461538461,0.024113940809896237,0.023347623636680415,0.054624169892868,0.06433223811603184,0.008505761120313237,0.7307692307692307,83.96153846153847,69.0,,span_extrapolation
knn,208,3,scale+thin,78,3,0.8461538461538461,0.03825005514849826,0.02933432577584205,0.059583438140744405,0.29262344523698425,0.007760045231460552,0.6794871794871795,89.96153846153847,68.83333333333333,,span_extrapolation
mlp,208,1,scale+thin,78,3,0.717948717948718,0.03897531797380073,0.03410781080663916,0.09617010962732431,0.1307903478765271,0.006341541122223137,0.5256410256410257,70.97435897435898,63.97435897435897,,span_extrapolation
mlp,208,2,scale+thin,78,3,0.8461538461538461,0.03917005408087702,0.03784681326772621,0.0900732440109594,0.1307903478765271,0.005582329862825955,0.6538461538461539,81.56410256410257,69.66666666666667,,span_extrapolation
mlp,208,3,scale+thin,78,3,0.8461538461538461,0.05566879394189194,0.040257444169509715,0.12487653970432888,0.28034245955237713,0.017137067844175718,0.5897435897435898,85.88461538461539,69.48717948717949,,span_extrapolation
poly3,208,1,scale+thin,78,3,0.717948717948718,0.05989097307826786,0.03512326615671568,0.17489186804137202,0.20600349143200058,0.022345169708357936,0.46153846153846156,71.6923076923077,64.57692307692308,,span_extrapolation
poly3,208,2,scale+thin,78,3,0.8461538461538461,0.05611228212670755,0.0341750828654499,0.16889529418262406,0.20600349143200058,0.018276948322628567,0.5512820512820513,83.03846153846153,70.41025641025641,,span_extrapolation
poly3,208,3,scale+thin,78,3,0.8461538461538461,0.07048249099528811,0.03641005018162258,0.1861503783938655,0.31007740247304083,0.010721955426371596,0.5,88.01282051282051,70.24358974358974,,span_extrapolation
