arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design
gated_cost_merged_seed42,none,16.0,20.0,2421.4508823550423,355,rolled,3877.9048027925223,0.6014798528644817,True,True,0.657816850947133,1,639.7579665812773,265.57816573228047,20.838304058936075,15.874761447737368,355.0,rolled,1.0,False,original,,40,1,41,0.0986623764038086,0.0001423358917236328,0.09880471229553223
gated_cost_merged_seed42,none,16.0,37.14285714285714,3516.030947725065,355,rolled,5537.829048172915,0.5750228398177182,True,True,0.7371224573515622,1,638.4260361777533,253.27866178128474,35.0,20.469023889353632,355.0,rolled,1.0,False,original,,40,1,41,0.05801987648010254,0.00017714500427246094,0.058197021484375
gated_cost_merged_seed42,none,16.0,54.285714285714285,4818.031502286582,355,rolled,6221.812132951786,0.2913597866678511,True,True,0.7348071914324731,1,750.0,300.0,35.0,17.634542715868697,355.0,rolled,1.0,False,original,,40,1,41,0.04804253578186035,0.0001270771026611328,0.048169612884521484
gated_cost_merged_seed42,none,16.0,71.42857142857143,6040.8149576734495,355,rolled,7114.800659719342,0.177788213936539,True,True,0.9033499117854776,1,750.0,300.0,35.0,24.59795309379754,355.0,rolled,1.0,False,original,,40,1,41,0.04628181457519531,0.00011157989501953125,0.046393394470214844
gated_cost_merged_seed42,none,16.0,88.57142857142857,7740.122846398965,460,rolled,8030.8326,0.03755880357070634,True,True,0.9808726685509475,1,750.0,300.0,35.0,25.0,460.0,rolled,1.0,False,original,,40,1,41,0.038826704025268555,0.00014328956604003906,0.038969993591308594
gated_cost_merged_seed42,none,16.857142857142858,20.0,2765.6018704601493,355,rolled,4135.374074602781,0.495289006987374,True,True,0.8665246440051243,1,625.098192912739,222.80177208681704,25.44966348446346,16.497063496410494,355.0,rolled,1.0,False,original,,40,1,41,0.040418386459350586,0.00012540817260742188,0.04054379463195801
gated_cost_merged_seed42,none,16.857142857142858,37.14285714285714,4191.730814567369,355,rolled,5366.995472138527,0.28037693963715504,True,True,0.8126781928622767,1,718.1241019485013,293.5429463592261,27.239133658145008,16.605258608998966,355.0,rolled,1.0,False,original,,40,1,41,0.04199051856994629,0.0001232624053955078,0.0421137809753418
gated_cost_merged_seed42,none,16.857142857142858,54.285714285714285,5746.32444658975,355,rolled,6576.90494475492,0.14454117686621254,True,True,0.8439416350857761,1,750.0,300.0,35.0,17.79575527241357,355.0,rolled,1.0,False,original,,40,1,41,0.03960585594177246,0.00013756752014160156,0.03974342346191406
gated_cost_merged_seed42,none,16.857142857142858,71.42857142857143,7246.974901538043,460,rolled,18992.347154233245,1.6207276018304482,True,True,0.8568596804815412,1,719.6423689883541,300.0,35.0,25.0,690.0,rolled,0.0,False,original,,40,1,41,0.03938794136047363,0.0001289844512939453,0.03951692581176758
gated_cost_merged_seed42,none,16.857142857142858,88.57142857142857,19199.44257726372,690,rolled,19379.394863775007,0.009372787037285701,True,True,0.9962923053066628,1,750.0,300.0,35.0,25.0,690.0,rolled,1.0,False,original,,9,1,10,0.009784698486328125,0.00011324882507324219,0.009897947311401367
gated_cost_merged_seed42,none,17.714285714285715,20.0,3088.9917829239694,355,rolled,5017.796694791283,0.62441244503459,True,True,0.7250987990831779,1,750.0,260.6560415492013,22.53268295121945,17.42812586769302,355.0,rolled,1.0,False,original,,40,1,41,0.03974509239196777,0.00012302398681640625,0.03986811637878418
gated_cost_merged_seed42,none,17.714285714285715,37.14285714285714,4941.944563380349,355,rolled,6872.9990813941495,0.39074791172747114,True,True,0.6681480015242479,1,741.4218205863034,300.0,35.0,17.749737219416467,355.0,rolled,1.0,False,original,,40,1,41,0.039380788803100586,0.00012087821960449219,0.03950166702270508
